Metric,Hits@1,Hits@3,Hits@10,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit100,AUC,AP
node2vec_mrr_cfb4ad8f-4d95-4783-934a-c418e0557759,0.1417,0.1963,0.4174,0.7198,0.217,0.1417,0.1963,0.4174,0.7198,0.8166,0.885
node2vec_mrr_c454f99d-5108-4eb6-9aa1-7bd222b775b5,0.065,0.2008,0.4116,0.7184,0.1657,0.065,0.2008,0.4116,0.7184,0.8129,0.8843
node2vec_mrr_49db7aa0-c9ee-4d2c-bc82-72b5f38cc564,0.0889,0.153,0.2974,0.7261,0.16,0.0889,0.153,0.2974,0.7261,0.8273,0.8913
node2vec_mrr_b935f7e4-cd77-4c92-aa90-f225c0884158,0.0699,0.111,0.3398,0.7229,0.1528,0.0699,0.111,0.3398,0.7229,0.8401,0.8964
node2vec_mrr_34fa4cdd-7184-488f-8566-20db1eec09aa,0.0009,0.0776,0.1385,0.3912,0.0581,0.0009,0.0776,0.1385,0.3912,0.7705,0.7999
node2vec_mrr_dd47823a-c69e-4e8b-9a67-d0f3e0ea95fc,0.0239,0.1494,0.3935,0.7035,0.1354,0.0239,0.1494,0.3935,0.7035,0.8396,0.891
node2vec_mrr_bb9f5d8c-487e-4ba9-9503-324325406a1e,0.0659,0.1688,0.3804,0.7166,0.164,0.0659,0.1688,0.3804,0.7166,0.8098,0.882
node2vec_mrr_1d0a181c-d49c-4720-bafd-a3ceb47136cf,0.1782,0.2419,0.431,0.6846,0.2568,0.1782,0.2419,0.431,0.6846,0.8407,0.8933
node2vec_mrr_3ce3a8f1-9f41-411b-8d86-2b872fd19d4b,0.0894,0.1855,0.4052,0.6634,0.1812,0.0894,0.1855,0.4052,0.6634,0.8389,0.8879
node2vec_mrr_36fdb840-ad48-4924-9487-a74516296d50,0.0794,0.2563,0.3944,0.6579,0.1876,0.0794,0.2563,0.3944,0.6579,0.8319,0.885
node2vec_mrr_9420c606-c184-4abf-a02e-2a5ecbe55120,0.0009,0.0032,0.0036,0.0402,0.0048,0.0009,0.0032,0.0036,0.0402,0.6589,0.5941
