Metric,node2vec_acc
cora_9718f83a-42f7-458f-bfb6-40e69f6621c3,0.7870722433460076
cora_31bdb047-a931-4e70-b25d-93b9caa4dc26,0.8003802281368821
cora_6daadc79-9e9e-4d72-a7ec-7b4482d00db9,0.8003802281368821
cora_431a239f-ba3b-4af7-8766-b28811e860f1,0.8098859315589354
cora_c51c4889-a44c-4db9-b237-61dea99213dc,0.785171102661597
cora_b55e7acc-ae96-4393-af4a-e25110495427,0.7927756653992395
cora_444a0c00-9fab-46eb-ac7b-4e2740e21920,0.8136882129277566
cora_2696d08a-33c9-4700-9368-481dbacc1a46,0.7756653992395437
cora_aa16d91e-48b8-4371-817c-3adb459d8d27,0.6920152091254753
cora_d01d45bb-1afc-4630-9151-4ce9df4c1dff,0.8041825095057035
cora_f668502e-7d56-4001-89f3-35e1deedfa75,0.7946768060836502
cora_9bc23e96-36bc-4232-b40a-401340b70b72,0.8003802281368821
cora_438a6480-a12e-46ba-bb9c-b71454992d56,0.8098859315589354
cora_30203a31-2ddb-432a-a72b-583240815626,0.7908745247148289
cora_b9ca09dd-5d9c-4b13-a98a-f917f86835a2,0.8060836501901141
cora_10fd6e35-31f4-4698-aa19-187ecf077724,0.8022813688212928
cora_c05337a9-4afd-4e7b-85b1-1cabda2d0c6e,0.8041825095057035
cora_0d50bc85-0b5e-45ba-a35e-2139a9e92d14,0.7946768060836502
cora_37f35584-2bcd-4780-ae90-7251896afb64,0.8212927756653993
cora_2b3b7570-7656-485c-afa8-85bd6e0ce8fd,0.7946768060836502
cora_0cd11f86-2bbf-4287-9330-42ef9e25e315,0.8174904942965779
cora_dec2dcbb-77c9-4af7-a8a4-461d4a0ba2e3,0.8155893536121673
cora_8653aa44-1e9b-47e6-989f-61c422827201,0.811787072243346
cora_ee54c40a-d27c-4fd3-a77e-b14062a63c2d,0.8098859315589354
cora_6b044f3e-a089-477e-8104-1ffed98ad56a,0.8003802281368821
cora_b9ad753a-6f44-407e-9576-61d0c455f517,0.7965779467680608
cora_d1af21e2-9d77-4e00-89c2-7700da05a14f,0.8041825095057035
cora_c6f321b7-f375-4b21-b7e3-fc6344e88dba,0.8022813688212928
cora_0c32a284-2793-4b69-8444-32597d557f4f,0.8098859315589354
cora_c18cd6fd-825b-4010-b0d4-ae005e353281,0.7946768060836502
cora_612610f9-6a7c-4a35-ae32-8ca49b5a289e,0.8098859315589354
cora_dd7dee68-1d69-4d94-bd25-da7471f7ca9c,0.8193916349809885
cora_b576691a-c2e9-4844-9b6e-53e7cb10d955,0.7984790874524715
cora_fefb9918-7c3a-475d-ab67-c946e32f2d08,0.8003802281368821
cora_4e3bce74-612c-4fb4-9290-d9d3fcbcc643,0.8155893536121673
cora_20c34954-4eb7-414f-be65-c6acf36ae01b,0.811787072243346
cora_bf5f9e99-f767-4140-bbc1-5f2c72629843,0.7946768060836502
cora_9fb53b13-384b-4941-a2b3-2d8a651c5769,0.7870722433460076
cora_ec963736-037e-44a2-80cc-78a536d5df9f,0.7813688212927756
cora_cdb48230-deb2-4272-afd5-efb81de8dda6,0.779467680608365
cora_8e77f29f-9439-442e-afeb-c00ce1b0a76b,0.7908745247148289
cora_7491403a-8bfb-4d89-87bd-ceb804e1aaed,0.811787072243346
cora_c9be8f02-d351-461a-be5e-8fd8852a7f57,0.8060836501901141
cora_1712faa8-f2bd-43a6-ada5-caf539246823,0.8079847908745247
cora_d2cce7d4-679d-41cb-b3a9-3aba62991ca3,0.785171102661597
cora_7204b7c6-67b3-4902-81e2-bbf0104278cb,0.8060836501901141
cora_600aac8c-504c-48fe-afe9-ae7a703339e8,0.6501901140684411
cora_b4a6d3a0-caec-477f-81f4-dca930df3dee,0.7927756653992395
cora_358da757-b2c1-49bc-9d71-bd3338faffaa,0.785171102661597
cora_13faf205-7c9b-48ef-82ff-a4fdd022f099,0.8288973384030418
cora_f84506ee-fae1-47fa-b84d-baadc10b3f58,0.779467680608365
cora_ca7140a1-4366-49cf-a318-7ccdf591cc7f,0.7680608365019012
cora_806f7dd4-10db-43c6-bb2a-0db0820b41b3,0.7946768060836502
cora_2adee7e4-3f9d-42ac-b138-511a6ab5a098,0.7832699619771863
cora_cc84549d-4683-48cd-b33b-d31f3f9f5a7f,0.7832699619771863
cora_19ce2793-de12-4182-a338-ef09667b43cc,0.779467680608365
cora_da421bc8-ac65-446f-ad1f-f230960cb1d9,0.7813688212927756
cora_cf51729d-a172-445e-a9b3-dfa9bb5fef95,0.7832699619771863
cora_ed52ead4-0cc2-4101-bbd2-605212ecd4b8,0.779467680608365
cora_7131781b-ba91-4de1-b09a-7f308d73199a,0.7908745247148289
cora_a7996234-af07-4d01-af48-8f3a9876a131,0.7699619771863118
cora_b1935279-bde5-4d88-a1c8-8d2bd25b64af,0.7756653992395437
cora_8e2fc5be-afcc-4e86-9a6f-ec8e2273e104,0.7908745247148289
cora_62f17fa0-97d6-4424-ac43-82a3cb35b96d,0.785171102661597
cora_e801b9c4-59b0-42ea-907a-4f5a98794162,0.7832699619771863
cora_7ee88a31-3437-420a-83cb-42c5fb661318,0.7756653992395437
cora_a2921f6c-fb7a-47ec-9851-d36b7fdc7da9,0.779467680608365
cora_f38d2ee0-d65b-4d90-bb93-25e9453a45ab,0.785171102661597
cora_81e73a01-7ffd-4170-9e59-9ef00d52244a,0.7775665399239544
cora_ed7445da-5bb4-4fb5-b1fa-97318b9cffc6,0.7737642585551331
cora_a29722e0-d9f7-4a05-8333-b5cb1bfb333a,0.7699619771863118
cora_86f09aa1-1e35-4088-ade0-e2e1ff6abf5e,0.7490494296577946
cora_dac0c61e-bd1e-4af3-8837-10034af9ebfc,0.7889733840304183
cora_2f46c3c9-cb91-47a3-9b14-0b87451c0448,0.7604562737642585
cora_4f9ae0b2-14a9-4119-b362-8dcfec6d82aa,0.7775665399239544
cora_def470cd-5265-4fbc-8d5f-a63372dd0d50,0.779467680608365
cora_4eecaa08-c9ed-47c6-895c-f80b63f9770d,0.7737642585551331
cora_3cfed7e0-387b-4772-971d-fdd96a55b26b,0.7737642585551331
cora_3edd1300-40fe-46e8-9ebb-a47f9a1e1e28,0.7908745247148289
cora_5a3f8a4b-158a-4576-b2f2-d6a9f95cbed3,0.5152091254752852
cora_38cb1222-d3f0-4efa-aa63-952afde67c9d,0.785171102661597
cora_cf01da01-7dbe-4171-94aa-6d9989738278,0.7889733840304183
cora_df883436-2cb3-4f1e-8a15-5df95ce3773d,0.7889733840304183
cora_597ba7d3-14e1-4295-9a83-4dea73a9f5b7,0.7889733840304183
cora_3465db0c-b7fe-4607-907c-00bf311ff375,0.7965779467680608
cora_89183e0a-e180-4141-9bef-c36d11e9fa3a,0.7832699619771863
cora_e595c618-7906-4808-8a00-4e8176542f69,0.7870722433460076
cora_8959febf-269b-473b-b326-b2645f0b950d,0.7756653992395437
