Metric,Hits@1,Hits@3,Hits@10,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit100,AUC,AP
node2vec_mrr_8f37c427-5a9b-4ee4-82ff-4921fe012962,0.0069,0.03,0.0716,0.3697,0.0342,0.0069,0.03,0.0716,0.3697,0.9149,0.8993
node2vec_mrr_0c3fe4c9-56fa-48af-b5b6-ac182c16ed71,0.0053,0.0204,0.0481,0.3035,0.027,0.0053,0.0204,0.0481,0.3035,0.9021,0.8809
node2vec_mrr_fb7aaeeb-ca88-4dfe-972b-9b9fd70c5018,0.1189,0.1429,0.2078,0.4405,0.149,0.1189,0.1429,0.2078,0.4405,0.9116,0.9094
node2vec_mrr_26a4c346-2ed6-4bec-99bd-950ebafe711a,0.0359,0.0741,0.1688,0.5187,0.0845,0.0359,0.0741,0.1688,0.5187,0.9439,0.9387
node2vec_mrr_db99a072-1f90-4620-bd93-850c13bceb95,0.0247,0.1767,0.1986,0.4439,0.1126,0.0247,0.1767,0.1986,0.4439,0.9278,0.9229
node2vec_mrr_95a05174-8310-4d9e-bb9c-3b6d6e7e7f41,0.0942,0.1373,0.2368,0.5365,0.144,0.0942,0.1373,0.2368,0.5365,0.9337,0.9342
node2vec_mrr_cd17ebf5-84b0-4516-86f1-35345c3f0503,0.0064,0.0293,0.0456,0.3407,0.0301,0.0064,0.0293,0.0456,0.3407,0.9058,0.8864
node2vec_mrr_a60a3f23-edf1-4173-8515-6d59a1e4275a,0.1199,0.1385,0.1691,0.3611,0.1396,0.1199,0.1385,0.1691,0.3611,0.8524,0.8596
node2vec_mrr_1cc4a92a-9c5c-4113-8fc3-db09e50b0f70,0.0759,0.0858,0.1268,0.3733,0.0961,0.0759,0.0858,0.1268,0.3733,0.9251,0.9131
node2vec_mrr_4f4c3160-63bf-474a-808a-00ef94a698c0,0.0097,0.0512,0.1245,0.5062,0.0546,0.0097,0.0512,0.1245,0.5062,0.9348,0.9276
node2vec_mrr_e9e77dd1-27c8-409a-a239-b647b57cba3f,0.0354,0.0629,0.1283,0.437,0.0655,0.0354,0.0629,0.1283,0.437,0.9337,0.9232
node2vec_mrr_f36790cf-ee5c-4805-8c59-e8accd882769,0.0357,0.0553,0.0823,0.3667,0.0603,0.0357,0.0553,0.0823,0.3667,0.9144,0.9021
node2vec_mrr_0f142c94-2094-44b6-92b6-9d1cca3f8069,0.0071,0.053,0.1306,0.4248,0.0542,0.0071,0.053,0.1306,0.4248,0.9297,0.919
node2vec_mrr_bd2894f8-2b87-4bb7-a53e-2d5f9fdb5e43,0.0,0.055,0.1248,0.466,0.0514,0.0,0.055,0.1248,0.466,0.934,0.9249
node2vec_mrr_7c6c6a0e-e7bc-4b48-a6a1-8effc6d88e56,0.1248,0.1334,0.2355,0.5343,0.1562,0.1248,0.1334,0.2355,0.5343,0.9456,0.9423
node2vec_mrr_3348e1e6-d219-44a5-95d3-c3dabe60d5f2,0.0267,0.0654,0.2065,0.4581,0.0757,0.0267,0.0654,0.2065,0.4581,0.935,0.928
node2vec_mrr_c45c334c-79b3-4026-84ca-e9bf7695d610,0.0891,0.0975,0.151,0.4515,0.1116,0.0891,0.0975,0.151,0.4515,0.9383,0.9302
node2vec_mrr_a698d292-cfbb-447f-a822-757ed0edf6c7,0.1034,0.1444,0.2195,0.4803,0.1441,0.1034,0.1444,0.2195,0.4803,0.9279,0.9253
node2vec_mrr_4ac7693a-7975-4142-b939-5614ea7a6e2b,0.0527,0.0693,0.1169,0.4367,0.0811,0.0527,0.0693,0.1169,0.4367,0.9308,0.9204
node2vec_mrr_0f140138-36da-4a19-bfea-9b7b12b66b2c,0.0186,0.0374,0.1248,0.4428,0.0506,0.0186,0.0374,0.1248,0.4428,0.9325,0.922
node2vec_mrr_9c916c5d-bead-4237-be5d-87d8de6075d2,0.0,0.0308,0.0563,0.3379,0.0307,0.0,0.0308,0.0563,0.3379,0.9173,0.8988
node2vec_mrr_5dee5bf3-c528-452f-aff2-1e3790714112,0.0102,0.1276,0.1851,0.5172,0.0822,0.0102,0.1276,0.1851,0.5172,0.9409,0.9354
node2vec_mrr_db32b8d8-8788-491c-9c18-6d2554541dc2,0.0176,0.0812,0.2315,0.4831,0.0767,0.0176,0.0812,0.2315,0.4831,0.9383,0.932
node2vec_mrr_4b96f28c-94bd-4eee-88b2-61c77af74f0d,0.0272,0.0685,0.1431,0.5205,0.0724,0.0272,0.0685,0.1431,0.5205,0.9433,0.9362
node2vec_mrr_039461e8-f2af-4814-b433-4a14d50efa6d,0.0817,0.1003,0.1757,0.4431,0.113,0.0817,0.1003,0.1757,0.4431,0.9342,0.9279
node2vec_mrr_a7dd7f0a-aa15-4d7d-9831-18a20e6b94c7,0.029,0.1525,0.203,0.4461,0.1049,0.029,0.1525,0.203,0.4461,0.929,0.9239
node2vec_mrr_6f0601bc-244d-40f0-ad85-07e0dd3029e5,0.055,0.0611,0.1118,0.4067,0.0767,0.055,0.0611,0.1118,0.4067,0.9308,0.9184
node2vec_mrr_5004a15e-eb8a-46e3-a53c-d1d2405a6355,0.0237,0.0474,0.1755,0.4528,0.0673,0.0237,0.0474,0.1755,0.4528,0.9322,0.9242
node2vec_mrr_3a51c67a-920b-4dad-81d2-91dde406aa49,0.0051,0.0474,0.1092,0.3914,0.0444,0.0051,0.0474,0.1092,0.3914,0.9232,0.9098
node2vec_mrr_87b81baa-1bc9-47ed-ae00-a5552f202fbd,0.0094,0.0632,0.1668,0.5602,0.0639,0.0094,0.0632,0.1668,0.5602,0.9449,0.939
node2vec_mrr_9243f091-5911-4686-a3a4-19cb0190dcc4,0.0204,0.0507,0.0873,0.4227,0.0546,0.0204,0.0507,0.0873,0.4227,0.9318,0.9195
node2vec_mrr_8e92c636-37c3-4f09-a898-f447e48abd35,0.1423,0.176,0.2745,0.5304,0.1827,0.1423,0.176,0.2745,0.5304,0.9345,0.9347
node2vec_mrr_be9c1d35-fc3a-4b03-bf54-614e292e5337,0.0285,0.0761,0.1324,0.4031,0.0687,0.0285,0.0761,0.1324,0.4031,0.9291,0.9184
node2vec_mrr_41f2a010-23e3-459c-9e2c-8b156068540e,0.0031,0.0272,0.0593,0.3186,0.0245,0.0031,0.0272,0.0593,0.3186,0.9098,0.8856
node2vec_mrr_5e1c1033-32e4-4866-a6c5-1c560adf21b0,0.0351,0.0379,0.0474,0.3654,0.0497,0.0351,0.0379,0.0474,0.3654,0.9059,0.8899
node2vec_mrr_cad61020-0cd9-4cf0-bd8f-4bedbc35f018,0.0828,0.0876,0.1655,0.4601,0.1094,0.0828,0.0876,0.1655,0.4601,0.9268,0.9216
node2vec_mrr_5817eee9-dcd9-4124-b5aa-f577c88b20ce,0.107,0.1337,0.1917,0.3919,0.1363,0.107,0.1337,0.1917,0.3919,0.8586,0.8679
node2vec_mrr_96099b96-e128-4a89-868d-3f9273450362,0.0313,0.0527,0.0879,0.3787,0.0576,0.0313,0.0527,0.0879,0.3787,0.917,0.9025
node2vec_mrr_6ee40b79-50e7-4443-b0bc-18ff85544af1,0.0407,0.0789,0.1098,0.4046,0.0745,0.0407,0.0789,0.1098,0.4046,0.9235,0.9146
node2vec_mrr_f63bcfa8-945b-4085-b154-2523f1900c22,0.262,0.2755,0.3328,0.658,0.2902,0.262,0.2755,0.3328,0.658,0.9555,0.9575
node2vec_mrr_f510ad1b-e636-4f93-bf58-b321d8302809,0.0117,0.0644,0.0945,0.3784,0.0456,0.0117,0.0644,0.0945,0.3784,0.9208,0.9075
node2vec_mrr_55e97b86-2dc5-4d7d-a615-59b4cee95869,0.0272,0.0963,0.1513,0.3514,0.079,0.0272,0.0963,0.1513,0.3514,0.8416,0.8505
node2vec_mrr_ce7eb318-4ecc-4bf2-b323-ee5ba4f936e5,0.0081,0.0211,0.0481,0.2964,0.0256,0.0081,0.0211,0.0481,0.2964,0.8917,0.8678
node2vec_mrr_18ba33ce-736d-4f58-8014-dde0591f0c05,0.108,0.1146,0.19,0.3669,0.1318,0.108,0.1146,0.19,0.3669,0.8564,0.8631
node2vec_mrr_ce988f4f-25a5-44b6-a694-219fcad65a01,0.0563,0.0845,0.194,0.5521,0.0998,0.0563,0.0845,0.194,0.5521,0.9414,0.9383
node2vec_mrr_d5e3b1f8-8829-4d61-a881-222a8a62a35b,0.0255,0.0349,0.0695,0.4245,0.0487,0.0255,0.0349,0.0695,0.4245,0.9232,0.9119
node2vec_mrr_a5ebafa5-473f-4c7c-8568-9652bd69f8b9,0.0155,0.0227,0.0889,0.3799,0.0421,0.0155,0.0227,0.0889,0.3799,0.9151,0.9029
node2vec_mrr_28633808-d2b8-4463-9ebc-cb348fb43db4,0.0354,0.0448,0.1513,0.4876,0.0738,0.0354,0.0448,0.1513,0.4876,0.9375,0.9315
node2vec_mrr_4475d7eb-9837-48d4-8b85-ad37ed983c92,0.0479,0.1609,0.2129,0.4204,0.1107,0.0479,0.1609,0.2129,0.4204,0.8912,0.8962
node2vec_mrr_1b04999c-0ce0-42c9-bd7e-4871c92d285a,0.0985,0.1342,0.1864,0.4507,0.1335,0.0985,0.1342,0.1864,0.4507,0.928,0.9216
node2vec_mrr_203c8386-c595-4aca-9d4e-e5eb4918d44e,0.0196,0.0341,0.069,0.3677,0.0417,0.0196,0.0341,0.069,0.3677,0.9103,0.895
node2vec_mrr_452b9d9d-4280-4e88-8b99-8999e1d5162d,0.0341,0.043,0.0665,0.4214,0.0535,0.0341,0.043,0.0665,0.4214,0.9179,0.9055
node2vec_mrr_13101a52-20cb-4dcc-88c5-49d76344f3e8,0.0046,0.0428,0.0713,0.2142,0.0325,0.0046,0.0428,0.0713,0.2142,0.7473,0.7572
node2vec_mrr_aee016a3-9132-4e56-b849-40fbfad4da53,0.0186,0.0272,0.0494,0.3756,0.0385,0.0186,0.0272,0.0494,0.3756,0.9119,0.8945
node2vec_mrr_fe31a9fc-1fe0-4d79-8192-66eb73eb703f,0.0438,0.0565,0.1449,0.5009,0.0749,0.0438,0.0565,0.1449,0.5009,0.9327,0.9274
node2vec_mrr_3f99b005-0b84-4883-97f2-b926ff3b2914,0.1029,0.1202,0.1752,0.4135,0.1296,0.1029,0.1202,0.1752,0.4135,0.9236,0.9185
node2vec_mrr_48d767f8-643b-4195-a5c7-c5552de8de7a,0.014,0.0222,0.0662,0.3621,0.0365,0.014,0.0222,0.0662,0.3621,0.9099,0.8948
