model,seed,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC
MLP-tfidf,1,7.01,11.81,23.99,30.63,53.14,75.28,10.08,7.01,11.81,23.99,30.63,53.14,75.28,76.41,76.35,69.74
MLP-tfidf,2,7.01,10.7,25.09,38.75,54.61,79.34,10.53,7.01,10.7,25.09,38.75,54.61,79.34,78.21,77.95,71.59
MLP-tfidf,3,2.21,17.71,32.47,39.85,57.93,78.23,11.25,2.21,17.71,32.47,39.85,57.93,78.23,78.56,78.9,71.03
MLP-tfidf,4,4.43,11.44,26.57,43.17,59.41,75.65,12.0,4.43,11.44,26.57,43.17,59.41,75.65,78.15,78.62,69.93
MLP-tfidf,0,11.07,17.34,26.94,35.79,59.41,78.23,16.62,11.07,17.34,26.94,35.79,59.41,78.23,78.48,79.42,71.03
MLP-tfidf,1,3.32,12.92,29.89,36.9,57.2,78.23,15.97,3.32,12.92,29.89,36.9,57.2,78.23,77.97,78.76,71.59
MLP-tfidf,2,14.39,15.5,31.0,40.96,62.36,82.29,18.88,14.39,15.5,31.0,40.96,62.36,82.29,79.98,80.99,73.62
MLP-tfidf,3,2.95,9.59,25.46,42.44,60.15,79.7,15.44,2.95,9.59,25.46,42.44,60.15,79.7,78.66,79.73,71.03
MLP-tfidf,4,3.32,19.19,26.57,39.11,58.67,78.23,15.16,3.32,19.19,26.57,39.11,58.67,78.23,78.07,79.21,71.03
MLP-tfidf,0,7.01,7.38,12.92,19.93,40.59,66.05,9.69,7.01,7.38,12.92,19.93,40.59,66.05,69.02,68.7,61.99
MLP-tfidf,1,7.38,8.49,14.02,22.14,38.75,66.79,10.46,7.38,8.49,14.02,22.14,38.75,66.79,70.11,69.75,61.81
MLP-tfidf,2,5.54,7.75,15.13,23.99,41.33,64.21,9.19,5.54,7.75,15.13,23.99,41.33,64.21,69.46,69.25,62.36
MLP-tfidf,3,5.54,6.27,15.13,23.25,43.17,68.63,8.97,5.54,6.27,15.13,23.25,43.17,68.63,70.72,70.13,63.84
MLP-tfidf,4,7.38,7.38,15.5,19.56,41.33,68.27,10.22,7.38,7.38,15.5,19.56,41.33,68.27,70.25,69.78,63.28
MLP-tfidf,0,18.45,24.35,32.1,38.01,69.37,79.34,23.99,18.45,24.35,32.1,38.01,69.37,79.34,80.91,82.55,74.35
MLP-tfidf,1,19.19,29.52,35.06,41.7,63.1,81.55,26.76,19.19,29.52,35.06,41.7,63.1,81.55,80.72,82.61,72.88
MLP-tfidf,2,19.56,21.4,33.58,44.28,66.79,79.34,24.78,19.56,21.4,33.58,44.28,66.79,79.34,81.24,83.17,74.72
MLP-tfidf,0,23.62,15.5,39.85,55.35,65.68,81.92,24.81,23.62,15.5,39.85,55.35,65.68,81.92,82.87,85.02,75.83
MLP-tfidf,1,17.34,29.15,45.02,52.4,67.53,80.81,27.47,17.34,29.15,45.02,52.4,67.53,80.81,83.25,85.17,74.35
MLP-tfidf,3,18.08,26.2,35.06,41.7,67.16,80.81,24.81,18.08,26.2,35.06,41.7,67.16,80.81,80.95,82.93,73.25
MLP-tfidf,2,19.93,13.28,42.8,49.45,67.53,78.97,25.36,19.93,13.28,42.8,49.45,67.53,78.97,82.63,84.45,74.35
MLP-tfidf,4,23.99,26.2,36.53,43.17,60.52,79.7,28.61,23.99,26.2,36.53,43.17,60.52,79.7,81.0,83.12,73.99
MLP-tfidf,3,19.56,22.51,44.65,51.29,64.21,78.97,24.36,19.56,22.51,44.65,51.29,64.21,78.97,82.19,84.05,74.72
MLP-tfidf,4,13.28,18.45,40.22,50.92,63.84,80.81,23.62,13.28,18.45,40.22,50.92,63.84,80.81,82.62,84.31,73.8
MLP-tfidf,0,1.85,10.33,12.92,20.3,38.01,56.46,6.81,1.85,10.33,12.92,20.3,38.01,56.46,64.38,65.55,60.33
MLP-tfidf,1,0.0,9.96,13.65,21.77,37.64,56.09,6.99,0.0,9.96,13.65,21.77,37.64,56.09,64.15,65.38,59.78
MLP-tfidf,2,0.0,10.33,13.28,19.93,39.11,57.93,7.16,0.0,10.33,13.28,19.93,39.11,57.93,64.85,65.88,60.52
MLP-tfidf,3,1.48,9.96,12.92,21.4,38.75,56.09,6.74,1.48,9.96,12.92,21.4,38.75,56.09,64.37,65.55,60.15
MLP-tfidf,4,0.37,10.33,12.55,21.77,39.11,56.83,7.17,0.37,10.33,12.55,21.77,39.11,56.83,64.67,65.94,60.52
MLP-tfidf,0,2.21,5.9,18.82,28.41,49.45,67.53,9.42,2.21,5.9,18.82,28.41,49.45,67.53,70.97,72.08,64.58
MLP-tfidf,1,5.54,8.49,21.03,28.78,49.45,68.63,10.31,5.54,8.49,21.03,28.78,49.45,68.63,71.3,72.64,64.76
MLP-tfidf,2,5.17,4.8,19.93,28.04,49.08,67.9,10.03,5.17,4.8,19.93,28.04,49.08,67.9,71.19,72.48,65.13
MLP-tfidf,3,5.54,8.86,21.03,28.04,47.23,68.63,10.26,5.54,8.86,21.03,28.04,47.23,68.63,71.32,72.73,64.58
MLP-tfidf,0,0.0,8.86,13.28,21.77,39.85,68.27,6.64,0.0,8.86,13.28,21.77,39.85,68.27,70.7,69.15,66.24
MLP-tfidf,4,5.54,8.49,19.56,26.57,48.34,68.27,10.18,5.54,8.49,19.56,26.57,48.34,68.27,71.18,72.52,64.76
MLP-tfidf,1,0.0,9.59,12.92,21.77,40.22,68.63,6.78,0.0,9.59,12.92,21.77,40.22,68.63,70.88,69.37,66.05
MLP-tfidf,2,0.0,9.23,12.92,22.51,40.96,68.63,6.7,0.0,9.23,12.92,22.51,40.96,68.63,70.79,69.33,65.68
MLP-tfidf,3,0.0,10.33,12.92,21.77,41.33,68.63,6.88,0.0,10.33,12.92,21.77,41.33,68.63,70.81,69.29,65.87
MLP-tfidf,4,0.0,10.33,13.28,21.4,42.44,69.0,6.62,0.0,10.33,13.28,21.4,42.44,69.0,70.89,69.24,66.05
MLP-tfidf,0,6.27,9.23,18.08,25.09,50.18,72.69,10.19,6.27,9.23,18.08,25.09,50.18,72.69,73.92,73.51,69.0
MLP-tfidf,1,6.64,9.96,17.71,28.04,56.09,72.32,11.05,6.64,9.96,17.71,28.04,56.09,72.32,74.64,74.71,67.53
MLP-tfidf,0,16.24,21.77,31.73,45.02,67.53,84.5,21.91,16.24,21.77,31.73,45.02,67.53,84.5,83.24,83.43,75.09
MLP-tfidf,1,11.44,21.03,33.21,43.54,61.25,83.76,19.66,11.44,21.03,33.21,43.54,61.25,83.76,82.9,82.98,75.65
MLP-tfidf,0,9.96,12.18,31.0,41.33,59.04,75.65,16.28,9.96,12.18,31.0,41.33,59.04,75.65,78.53,80.05,69.93
MLP-tfidf,0,13.28,12.92,31.37,39.11,55.35,76.38,17.88,13.28,12.92,31.37,39.11,55.35,76.38,76.37,77.93,66.42
MLP-tfidf,2,5.17,14.39,35.06,45.39,66.79,80.81,15.98,5.17,14.39,35.06,45.39,66.79,80.81,82.12,82.23,73.8
MLP-tfidf,1,10.7,12.18,32.47,41.7,58.67,73.8,16.67,10.7,12.18,32.47,41.7,58.67,73.8,78.5,80.04,70.11
MLP-tfidf,3,10.33,20.66,30.26,41.7,63.84,80.81,18.39,10.33,20.66,30.26,41.7,63.84,80.81,81.99,82.33,74.54
MLP-tfidf,1,15.5,12.55,30.63,37.64,53.51,75.65,17.51,15.5,12.55,30.63,37.64,53.51,75.65,76.42,78.02,67.34
MLP-tfidf,4,14.02,22.14,33.58,45.02,66.42,83.39,19.84,14.02,22.14,33.58,45.02,66.42,83.39,82.71,83.03,74.91
MLP-tfidf,2,10.7,10.7,32.1,40.96,59.78,75.28,16.68,10.7,10.7,32.1,40.96,59.78,75.28,78.58,80.08,69.56
MLP-tfidf,2,15.5,14.76,29.52,38.01,54.61,75.65,17.52,15.5,14.76,29.52,38.01,54.61,75.65,76.35,77.95,67.53
MLP-tfidf,3,9.23,12.18,32.47,41.7,59.41,75.65,15.71,9.23,12.18,32.47,41.7,59.41,75.65,78.48,80.02,69.56
MLP-tfidf,3,15.5,13.28,31.0,38.38,52.77,77.12,19.69,15.5,13.28,31.0,38.38,52.77,77.12,76.41,78.03,67.16
MLP-tfidf,4,9.59,9.23,31.0,41.33,60.15,75.28,16.13,9.59,9.23,31.0,41.33,60.15,75.28,78.58,80.1,69.93
MLP-tfidf,4,15.13,12.18,30.63,38.01,54.61,76.38,17.99,15.13,12.18,30.63,38.01,54.61,76.38,76.45,77.97,66.24
MLP-tfidf,0,17.71,19.56,30.63,39.11,60.52,79.34,21.25,17.71,19.56,30.63,39.11,60.52,79.34,79.34,80.52,71.96
MLP-tfidf,1,15.87,20.3,30.26,41.7,61.25,78.97,22.29,15.87,20.3,30.26,41.7,61.25,78.97,79.43,80.56,72.14
MLP-tfidf,2,15.87,20.3,30.63,39.48,60.89,79.34,21.48,15.87,20.3,30.63,39.48,60.89,79.34,79.37,80.69,72.14
MLP-tfidf,0,0.74,9.96,27.68,37.27,64.58,76.01,11.42,0.74,9.96,27.68,37.27,64.58,76.01,77.38,78.35,73.25
MLP-tfidf,3,14.02,19.19,26.94,41.7,60.52,78.6,21.52,14.02,19.19,26.94,41.7,60.52,78.6,79.36,80.55,72.51
MLP-tfidf,1,2.21,11.81,27.31,36.9,63.84,74.17,11.73,2.21,11.81,27.31,36.9,63.84,74.17,77.28,78.24,72.69
MLP-tfidf,4,15.87,20.66,28.41,39.48,61.25,79.7,22.71,15.87,20.66,28.41,39.48,61.25,79.7,79.5,80.72,71.96
MLP-tfidf,2,1.85,9.59,27.68,35.06,63.47,75.28,11.67,1.85,9.59,27.68,35.06,63.47,75.28,77.29,78.28,71.96
MLP-tfidf,3,2.95,9.96,27.68,35.79,64.58,74.54,12.39,2.95,9.96,27.68,35.79,64.58,74.54,77.21,78.06,72.69
MLP-tfidf,4,0.74,9.96,28.04,35.42,65.31,74.54,11.28,0.74,9.96,28.04,35.42,65.31,74.54,77.35,78.27,73.25
MLP-tfidf,0,2.58,12.18,26.2,44.28,60.15,71.59,9.88,2.58,12.18,26.2,44.28,60.15,71.59,77.34,78.08,71.4
MLP-tfidf,1,2.95,11.44,25.83,44.65,60.89,71.22,9.83,2.95,11.44,25.83,44.65,60.89,71.22,77.33,78.02,70.29
MLP-tfidf,0,5.17,8.49,11.07,15.5,24.72,46.49,8.01,5.17,8.49,11.07,15.5,24.72,46.49,55.18,58.95,53.32
MLP-tfidf,1,5.54,7.01,10.33,14.76,29.15,42.07,7.99,5.54,7.01,10.33,14.76,29.15,42.8,54.78,58.86,54.8
MLP-tfidf,2,5.54,7.75,10.7,14.39,27.31,45.76,8.16,5.54,7.75,10.7,14.39,27.31,45.76,54.73,58.81,54.06
MLP-tfidf,3,5.54,7.38,9.59,14.76,23.99,45.39,8.01,5.54,7.38,9.59,14.76,23.99,45.39,54.87,58.78,53.69
MLP-tfidf,4,5.17,7.38,9.59,15.13,25.09,44.65,7.94,5.17,7.38,9.59,15.13,25.09,44.65,54.97,58.81,54.61
MLP-tfidf,0,1.11,5.54,11.81,13.65,28.41,47.23,5.14,1.11,5.54,11.81,13.65,28.41,47.23,58.99,60.03,53.32
MLP-tfidf,1,1.11,5.17,10.7,15.5,25.09,43.17,4.87,1.11,5.17,10.7,15.5,25.09,43.17,59.02,59.69,53.32
MLP-tfidf,2,1.11,5.9,12.55,14.39,28.04,43.91,5.0,1.11,5.9,12.55,14.39,28.04,43.91,59.34,59.91,54.98
MLP-tfidf,3,1.11,5.54,12.92,16.61,24.35,43.91,5.03,1.11,5.54,12.92,16.61,24.35,43.91,59.22,60.04,53.32
MLP-tfidf,4,1.11,5.17,12.55,15.5,24.35,42.8,4.94,1.11,5.17,12.55,15.5,24.35,42.8,59.16,59.87,53.88
MLP-tfidf,0,4.43,4.06,11.44,14.76,30.26,46.49,6.95,4.43,4.06,11.44,14.76,30.26,46.49,57.48,60.07
MLP-tfidf,0,3.32,7.38,11.44,15.5,28.41,42.8,7.2,3.32,7.38,11.44,15.5,28.41,42.8,56.52,60.59
MLP-tfidf,1,4.8,8.49,10.33,18.82,29.15,44.28,7.58,4.8,8.49,10.33,18.82,29.15,44.28,57.53,61.2
MLP-tfidf,2,3.69,7.01,9.96,16.97,28.41,40.59,7.19,3.69,7.01,9.96,16.97,28.41,40.59,56.48,60.73
MLP-tfidf,3,4.06,6.27,10.7,16.97,28.78,39.11,6.99,4.06,6.27,10.7,16.97,28.78,39.11,56.34,60.19
MLP-tfidf,4,3.69,7.01,9.96,16.97,30.26,47.97,6.74,3.69,7.01,9.96,16.97,30.26,47.97,59.13,61.81
MLP-tfidf,0,5.54,8.86,13.65,18.08,29.15,47.23,8.91,5.54,8.86,13.65,18.08,29.15,48.71,61.39,63.17
MLP-tfidf,1,5.9,8.86,13.65,18.08,32.1,50.18,9.4,5.9,8.86,13.65,18.08,32.1,50.18,61.83,63.91
MLP-tfidf,2,6.27,9.59,13.65,17.34,29.15,48.34,9.56,6.27,9.59,13.65,17.34,29.15,48.34,61.69,63.26
MLP-tfidf,3,5.54,9.23,12.92,17.71,28.41,52.77,9.57,5.54,9.23,12.92,17.71,28.41,52.77,61.01,63.3
MLP-tfidf,4,6.64,8.86,12.92,17.34,28.41,49.82,9.64,6.64,8.86,12.92,17.34,28.41,49.82,60.75,62.87
MLP-tfidf,0,1.48,5.54,10.33,13.28,23.99,41.7,4.46,1.48,5.54,10.33,13.28,23.99,42.07,54.25,56.68
MLP-tfidf,1,2.58,5.54,9.23,13.65,23.99,43.17,4.46,2.58,5.54,9.23,13.65,23.99,43.17,54.38,56.65
MLP-tfidf,2,1.48,5.17,7.75,12.18,23.25,42.8,4.72,1.48,5.17,7.75,12.18,23.25,42.8,53.78,56.31
MLP-tfidf,3,1.48,5.17,7.38,12.18,23.25,43.17,4.37,1.48,5.17,7.38,13.28,23.25,43.17,53.69,56.34
MLP-tfidf,4,1.48,5.17,9.23,14.02,24.72,42.44,4.35,1.48,5.17,9.23,14.02,24.72,42.44,54.14,56.72
MLP-tfidf,0,1.48,3.32,10.7,15.87,27.68,42.44,4.81,1.48,3.32,10.7,15.87,27.68,42.44,54.14,57.84
MLP-tfidf,1,1.11,3.32,11.07,17.71,26.57,43.17,4.59,1.11,3.32,11.07,17.71,26.57,43.17,54.17,57.8
MLP-tfidf,2,1.11,3.69,9.23,17.71,27.31,43.91,4.58,1.11,3.69,9.23,17.71,27.31,43.91,53.35,57.53
MLP-tfidf,3,1.11,2.21,10.33,17.34,24.35,43.91,4.4,1.11,2.21,10.33,17.71,24.35,43.91,55.39,58.61
MLP-tfidf,4,1.11,2.58,11.81,17.34,24.72,44.65,4.64,1.11,2.58,11.81,17.34,24.72,44.65,55.51,58.79
MLP-tfidf,0,2.21,16.24,22.51,38.01,58.67,80.07,11.17,2.21,16.24,22.51,38.01,58.67,80.07,77.63,78.01
