model,seed,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC
MLP-tfidf,3,1.85,1.11,6.64,12.18,24.72,48.34,2.49,1.85,1.11,6.64,12.18,24.72,48.34,56.95,57.86
MLP-tfidf,4,2.21,3.32,5.54,11.44,25.83,45.39,3.43,2.21,3.32,5.54,11.44,25.83,45.39,55.43,56.1
MLP-tfidf,0,0.74,3.32,5.54,11.07,23.62,49.82,4.9,0.74,3.32,5.54,11.07,23.62,49.82,59.36,58.42
MLP-tfidf,1,0.74,2.21,5.54,9.23,31.0,49.82,2.95,0.74,2.21,5.54,9.23,31.0,49.82,58.99,58.49
MLP-tfidf,2,0.0,1.48,6.27,13.65,27.68,51.29,4.13,0.0,1.48,6.27,13.65,27.68,51.29,57.93,58.27
MLP-tfidf,3,0.74,1.48,5.9,12.18,29.52,45.39,3.58,0.74,1.48,5.9,12.18,29.52,45.39,59.23,57.5
MLP-tfidf,4,1.48,3.69,7.01,15.13,30.26,50.92,4.2,1.48,3.69,7.01,15.13,30.26,50.92,58.55,58.71
MLP-tfidf,0,0.0,0.37,3.32,4.06,16.24,38.75,1.57,0.0,0.37,3.32,4.06,16.24,38.75,53.81,50.15
MLP-tfidf,1,0.0,0.37,2.21,5.17,19.19,37.64,1.5,0.0,0.37,2.21,5.17,19.19,37.64,54.29,49.98
MLP-tfidf,2,0.37,1.11,3.32,4.06,18.82,42.44,2.03,0.37,1.11,3.32,4.06,18.82,42.44,55.39,50.81
MLP-tfidf,3,0.37,1.11,1.85,3.69,15.87,42.07,2.02,0.37,1.11,1.85,3.69,15.87,42.07,54.57,50.68
MLP-tfidf,4,0.37,1.48,4.06,4.06,15.5,40.59,2.11,0.37,1.48,4.06,4.06,15.5,40.59,54.84,52.16
MLP-tfidf,0,1.85,9.96,28.78,40.59,61.62,77.49,12.14,1.85,9.96,28.78,40.59,61.62,77.49,78.53,79.57
MLP-tfidf,1,3.69,8.86,28.41,41.33,61.99,77.12,12.08,3.69,8.86,28.41,41.33,61.99,77.12,78.62,79.68
MLP-tfidf,2,3.32,9.96,29.52,41.33,61.62,76.75,11.76,3.32,9.96,29.52,41.33,61.62,76.75,78.4,79.43
MLP-tfidf,3,4.06,8.49,28.41,42.44,61.62,77.12,12.1,4.06,8.49,28.41,42.44,61.62,77.12,78.37,79.47
MLP-tfidf,4,3.32,9.59,26.94,41.7,60.89,77.12,11.9,3.32,9.59,26.94,41.7,60.89,77.12,78.59,79.54
MLP-tfidf,0,11.44,19.19,35.06,47.23,69.74,86.35,17.96,11.44,19.19,35.06,47.23,69.74,86.35,84.11,84.36
MLP-tfidf,1,13.28,23.99,32.84,49.82,67.9,83.76,20.89,13.28,23.99,32.84,49.82,67.9,83.76,83.46,84.48
MLP-tfidf,2,14.02,19.19,29.89,46.13,66.42,85.61,19.92,14.02,19.19,29.89,46.13,66.42,85.61,82.88,83.46
MLP-tfidf,3,13.28,14.39,31.0,43.17,65.31,82.29,18.43,13.28,14.39,31.0,43.17,65.31,82.29,82.14,83.3
MLP-tfidf,4,12.55,19.19,33.95,45.76,69.37,82.66,18.32,12.55,19.19,33.95,45.76,69.37,82.66,82.72,83.24
MLP-tfidf,0,0.37,13.65,19.93,35.79,56.83,74.91,9.91,0.37,13.65,19.93,35.79,56.83,74.91,76.07,76.45
MLP-tfidf,1,2.58,13.65,21.03,39.48,51.29,73.43,10.76,2.58,13.65,21.03,39.48,51.29,73.43,75.11,75.83
MLP-tfidf,2,0.37,9.96,16.24,31.73,52.03,74.91,8.52,0.37,9.96,16.24,31.73,52.03,74.91,75.0,74.51
MLP-tfidf,3,0.74,7.75,20.66,35.06,57.56,71.59,9.89,0.74,7.75,20.66,35.06,57.56,71.59,75.5,75.96
MLP-tfidf,4,2.21,12.92,22.88,33.58,51.29,71.22,11.11,2.21,12.92,22.88,33.58,51.29,71.22,75.37,76.24
MLP-tfidf,0,15.87,39.85,47.97,60.15,72.69,85.24,29.57,15.87,39.85,47.97,60.15,72.69,85.24,86.11,87.39
MLP-tfidf,1,15.5,32.84,46.86,59.41,73.06,85.98,28.95,15.5,32.84,46.86,59.41,73.06,85.98,85.43,87.36
MLP-tfidf,0,35.42,38.38,46.86,53.14,66.79,81.18,39.28,35.42,38.38,46.86,53.14,66.79,81.18,82.43,85.24
MLP-tfidf,2,15.87,36.53,47.23,65.31,72.69,85.24,29.58,15.87,36.53,47.23,65.31,72.69,85.24,85.94,87.35
MLP-tfidf,1,35.06,37.27,45.02,55.35,67.53,80.81,38.92,35.06,37.27,45.02,55.35,67.53,80.81,81.83,85.15
MLP-tfidf,3,15.87,37.27,43.91,60.15,73.06,85.98,29.15,15.87,37.27,43.91,60.15,73.06,86.35,85.45,87.35
MLP-tfidf,2,34.32,37.27,43.91,55.72,66.79,81.18,38.61,34.32,37.27,44.65,55.72,66.79,81.18,82.1,85.31
MLP-tfidf,4,15.13,36.53,44.28,64.58,73.06,85.98,28.41,15.13,36.53,44.28,64.58,73.06,86.35,85.53,87.4
MLP-tfidf,3,35.06,36.16,47.23,53.87,66.79,80.81,38.79,35.06,36.16,47.23,53.87,66.79,80.81,82.36,85.36
MLP-tfidf,0,14.39,19.56,35.42,47.23,66.42,83.39,20.63,14.39,19.56,35.42,47.23,66.42,83.39,83.17,83.71
MLP-tfidf,4,35.06,35.42,42.8,53.87,67.53,81.55,39.1,35.06,35.42,43.54,53.87,66.79,81.18,80.84,85.05
MLP-tfidf,1,10.7,18.08,38.01,48.34,67.16,83.76,18.26,10.7,18.08,38.01,48.34,67.16,83.76,83.07,83.34
MLP-tfidf,0,7.01,18.08,31.73,50.18,70.85,87.08,15.59,7.01,18.08,31.73,50.18,70.85,87.08,84.29,84.18
MLP-tfidf,2,5.17,12.18,35.06,47.97,67.9,83.39,17.56,5.17,12.18,35.06,47.97,67.9,83.39,83.14,83.12
MLP-tfidf,1,6.27,12.55,35.79,42.07,70.11,86.72,13.94,6.27,12.55,35.79,42.07,70.11,86.72,84.02,83.63
MLP-tfidf,3,8.49,16.61,36.53,46.86,64.21,83.39,17.67,8.49,16.61,36.53,46.86,64.21,83.39,82.58,82.92
MLP-tfidf,2,3.69,12.18,31.73,45.39,70.11,86.72,13.18,3.69,12.18,31.73,45.39,70.11,86.72,83.88,83.28
MLP-tfidf,4,5.54,11.44,32.84,46.86,64.58,84.13,21.52,5.54,11.44,32.84,46.86,64.58,84.13,82.89,83.42
MLP-tfidf,3,5.54,13.65,35.79,44.65,71.59,87.82,13.62,5.54,13.65,35.79,44.65,71.59,87.82,84.19,83.71
MLP-tfidf,0,11.44,21.77,43.91,52.4,70.85,86.35,20.1,11.44,21.77,43.91,52.4,70.85,86.35,85.01,85.88
MLP-tfidf,4,7.38,17.34,32.84,46.49,71.22,87.45,14.59,7.38,17.34,32.84,46.49,71.22,87.45,84.12,83.74
MLP-tfidf,1,6.27,18.45,41.7,52.4,70.48,87.45,17.85,6.27,18.45,41.7,52.4,70.48,87.45,84.71,85.26
MLP-tfidf,0,9.96,16.24,42.07,56.09,70.11,85.61,18.19,9.96,16.24,42.07,56.09,70.11,85.61,85.6,86.24
MLP-tfidf,2,10.7,17.71,41.7,52.77,73.06,85.98,17.02,10.7,17.71,41.7,52.77,73.06,85.98,85.19,85.57
MLP-tfidf,1,10.7,21.03,45.02,57.2,71.96,85.61,18.76,10.7,21.03,45.02,57.2,71.96,85.61,85.92,86.71
MLP-tfidf,3,7.38,16.61,42.8,49.82,73.06,86.35,19.18,7.38,16.61,42.8,49.82,73.06,86.35,85.1,85.79
MLP-tfidf,2,9.23,15.87,39.48,54.61,71.96,87.45,19.34,9.23,15.87,39.48,54.61,71.96,87.45,85.78,86.3
MLP-tfidf,4,10.7,29.15,37.27,51.29,71.22,84.87,17.6,10.7,29.15,37.27,51.29,71.22,84.87,84.31,84.96
MLP-tfidf,3,7.75,15.5,43.17,55.35,73.06,86.35,16.02,7.75,15.5,43.17,55.35,73.06,86.35,86.01,86.35
MLP-tfidf,4,8.12,19.56,46.49,57.2,72.32,86.35,18.31,8.12,19.56,46.49,57.2,72.32,86.35,86.03,86.8
MLP-tfidf,0,1.48,8.86,12.18,17.34,25.83,33.95,8.25,1.48,8.86,12.18,17.34,25.83,43.54,54.82,58.99
MLP-tfidf,1,1.48,8.49,14.02,15.13,25.46,33.58,8.15,1.48,8.49,14.02,15.13,25.46,43.17,54.85,59.3
MLP-tfidf,2,1.85,9.59,12.55,15.87,26.2,33.21,7.85,1.85,9.59,12.55,15.87,26.2,42.8,55.4,59.52
MLP-tfidf,3,1.48,9.23,11.81,14.39,24.72,33.95,8.09,1.48,9.23,11.81,14.39,24.72,43.54,55.19,59.2
MLP-tfidf,4,1.48,8.86,13.28,15.13,24.72,35.06,8.78,1.48,8.86,13.28,15.13,24.72,44.65,55.32,59.24
MLP-tfidf,0,4.43,7.38,11.07,20.66,31.0,46.86,7.62,4.43,7.38,11.07,20.66,31.0,46.86,60.04,62.82
MLP-tfidf,1,4.43,8.86,12.55,16.24,32.84,45.39,7.82,4.43,8.86,12.55,16.24,32.84,45.39,60.58,63.14
MLP-tfidf,2,5.54,8.86,11.81,19.56,29.89,46.86,8.48,5.54,8.86,11.81,19.56,29.89,46.86,60.02,62.59
MLP-tfidf,3,4.8,7.38,14.39,21.77,31.37,49.82,7.95,4.8,7.38,14.39,21.77,31.37,49.82,61.17,64.28
MLP-tfidf,4,4.43,7.75,11.81,15.87,34.32,49.08,8.19,4.43,7.75,11.81,15.87,34.32,49.08,59.85,63.3
MLP-tfidf,0,0.0,4.06,6.64,13.65,27.31,43.91,4.29,0.0,4.06,6.64,13.65,27.31,43.91,56.17,57.7
MLP-tfidf,1,1.11,1.48,7.01,15.87,26.57,42.8,3.74,1.11,1.48,7.01,15.87,26.57,42.8,55.34,57.1
MLP-tfidf,2,0.37,3.32,7.75,11.44,24.35,46.86,4.35,0.37,3.32,7.75,11.44,24.35,46.86,57.13,57.89
MLP-tfidf,3,1.11,3.32,8.49,11.07,26.57,43.91,4.55,1.11,3.32,8.49,11.07,26.57,43.91,55.3,57.01
MLP-tfidf,4,0.0,2.21,5.54,14.02,25.46,47.97,4.25,0.0,2.21,5.54,14.02,25.46,47.97,56.68,57.71
MLP-tfidf,0,1.11,2.95,12.55,16.97,26.94,45.76,5.37,1.11,2.95,12.55,16.97,26.94,45.76,54.36,57.78
MLP-tfidf,1,1.85,1.48,8.86,16.61,29.15,40.96,5.01,1.85,1.48,8.86,16.61,29.15,40.96,55.15,57.87
MLP-tfidf,2,1.48,5.17,12.92,11.81,27.31,44.65,5.41,1.48,5.17,12.92,11.81,27.31,44.65,54.53,57.66
MLP-tfidf,3,1.48,3.32,11.07,12.55,31.0,43.17,5.18,1.48,3.32,11.07,12.55,31.0,43.17,54.3,57.23
MLP-tfidf,4,1.48,4.43,13.65,12.92,24.72,48.34,4.88,1.48,4.43,13.65,12.92,24.72,48.34,53.52,56.99
MLP-tfidf,0,2.58,3.69,6.64,15.87,23.25,41.33,4.84,2.58,3.69,6.64,15.87,23.25,41.33,55.18,57.35
MLP-tfidf,1,2.58,3.69,8.49,14.02,26.2,40.22,5.09,2.58,3.69,8.49,14.02,26.2,40.22,55.95,57.67
MLP-tfidf,2,2.58,4.06,7.38,13.28,22.88,45.39,5.15,2.58,4.06,7.38,13.28,22.88,45.76,57.23,58.04
MLP-tfidf,3,3.32,3.32,6.64,14.02,22.88,43.91,5.49,3.32,3.32,6.64,14.02,22.88,43.91,56.71,58.05
MLP-tfidf,4,2.95,3.69,8.49,15.13,22.51,42.8,5.42,2.95,3.69,8.49,15.13,22.51,42.8,55.14,57.41
MLP-tfidf,0,0.37,0.74,3.69,9.23,22.51,33.58,2.29,0.37,0.74,3.69,9.23,22.51,33.21,49.98,51.36
MLP-tfidf,1,0.0,1.11,2.21,7.38,21.77,32.84,2.14,0.0,1.11,2.21,7.38,21.77,39.11,49.32,50.22
MLP-tfidf,2,0.0,0.37,3.69,4.06,22.51,33.95,1.81,0.0,0.37,3.69,4.06,22.51,33.95,49.11,51.29
