model,seed,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC
MLP-tfidf,0,0.0,10.53,31.58,100.0,100.0,100.0,13.98,0.0,10.53,31.58,100.0,100.0,100.0,43.77,49.15,50.0
MLP-tfidf,1,26.32,26.32,52.63,100.0,100.0,100.0,32.6,26.32,26.32,52.63,100.0,100.0,100.0,53.74,63.97,52.63
MLP-tfidf,2,5.26,10.53,47.37,100.0,100.0,100.0,16.89,5.26,10.53,47.37,100.0,100.0,100.0,49.58,53.43,50.0
MLP-tfidf,3,15.79,36.84,52.63,100.0,100.0,100.0,31.86,15.79,36.84,52.63,100.0,100.0,100.0,60.39,67.87,55.26
MLP-tfidf,4,15.79,47.37,63.16,100.0,100.0,100.0,33.67,15.79,47.37,63.16,100.0,100.0,100.0,65.1,71.78,60.53
MLP-tfidf,0,0.36,1.85,7.46,9.83,17.7,23.11,2.65,0.36,1.85,7.46,9.83,17.7,23.11,67.27,69.52,61.94
MLP-tfidf,1,0.41,2.57,7.77,11.07,16.62,23.42,2.92,0.41,2.57,7.77,11.07,16.62,23.42,67.04,69.39,61.94
MLP-tfidf,2,0.46,1.96,7.1,11.68,17.5,23.83,2.7,0.46,1.96,7.1,11.68,17.5,23.83,67.12,69.39,61.79
MLP-tfidf,3,0.46,2.47,7.51,10.14,17.7,23.42,2.87,0.46,2.47,7.51,10.14,17.7,23.42,66.98,69.38,62.02
MLP-tfidf,0,0.93,2.99,5.92,9.73,16.62,24.34,2.82,0.93,2.99,5.92,9.73,16.62,24.34,67.49,69.54,62.48
MLP-tfidf,1,1.39,3.35,6.18,9.37,16.21,24.76,3.25,1.39,3.35,6.18,9.37,16.21,24.76,67.19,69.48,62.56
MLP-tfidf,2,1.44,2.99,5.71,9.93,17.65,25.12,3.22,1.44,2.99,5.71,9.93,17.65,25.12,67.46,69.79,62.48
MLP-tfidf,3,1.54,2.47,5.61,9.98,16.78,24.91,3.25,1.54,2.47,5.61,9.98,16.78,24.91,67.29,69.62,62.61
MLP-tfidf,4,0.72,3.96,5.66,9.98,16.42,23.83,2.84,0.72,3.96,5.66,9.98,16.42,23.83,67.86,69.75,62.58
MLP-tfidf,0,11.68,19.09,34.84,51.21,62.48,72.26,18.91,11.68,19.09,34.84,51.21,62.48,72.26,92.98,93.59,85.51
MLP-tfidf,1,10.76,19.87,40.61,51.36,64.49,72.0,17.92,10.76,19.87,40.61,51.36,64.49,72.0,92.73,93.42,85.08
MLP-tfidf,2,10.24,19.4,33.3,53.22,62.48,72.47,18.17,10.24,19.4,33.3,53.22,62.48,72.47,92.75,93.42,84.82
MLP-tfidf,3,13.54,19.25,37.88,52.34,65.67,72.57,20.38,13.54,19.25,37.88,52.34,65.67,72.57,92.91,93.6,84.56
MLP-tfidf,4,9.83,23.47,36.13,51.62,63.41,71.44,18.57,9.83,23.47,36.13,51.62,63.41,71.44,92.86,93.53,85.08
MLP-tfidf,0,3.29,20.28,40.3,44.62,56.92,66.29,15.14,3.29,20.28,40.3,44.62,56.92,66.29,90.18,91.57,82.58
MLP-tfidf,1,3.45,31.76,38.91,42.97,56.82,66.08,19.2,3.45,31.76,38.91,42.97,56.82,66.08,90.22,91.63,82.66
MLP-tfidf,2,2.73,29.08,41.33,45.7,56.2,66.03,18.65,2.73,29.08,41.33,45.7,56.2,66.03,90.19,91.59,82.48
MLP-tfidf,3,3.45,17.14,39.53,43.85,57.08,65.93,18.46,3.45,17.14,39.53,43.85,57.08,65.93,90.18,91.56,82.5
MLP-tfidf,4,3.6,30.37,38.19,43.23,56.3,66.5,15.25,3.6,30.37,38.19,43.23,56.3,66.5,90.17,91.58,82.5
MLP-tfidf,0,17.65,21.15,38.91,47.35,58.36,67.47,24.35,17.65,21.15,38.91,47.35,58.36,67.47,92.27,93.13,84.35
MLP-tfidf,1,13.07,22.8,39.11,49.72,62.84,68.55,22.16,13.07,22.8,39.11,49.72,62.84,68.55,92.2,93.14,84.07
MLP-tfidf,2,16.73,23.52,37.88,49.41,59.91,69.33,23.66,16.73,23.52,37.88,49.41,59.91,69.33,92.25,93.17,84.87
MLP-tfidf,3,18.01,22.95,39.84,45.86,59.8,67.32,23.99,18.01,22.95,39.84,45.86,59.8,67.32,92.29,93.11,84.1
MLP-tfidf,4,22.75,28.2,35.46,46.11,59.91,69.99,28.15,22.75,28.2,35.46,46.11,59.91,69.99,92.52,93.36,84.74
MLP-tfidf,0,1.54,7.67,17.34,23.57,42.41,53.53,7.94,1.54,7.67,17.34,23.57,42.41,53.53,87.37,87.83,79.39
MLP-tfidf,1,1.75,8.8,17.19,26.4,40.45,54.66,7.14,1.75,8.8,17.19,26.4,40.45,54.66,87.32,87.76,78.77
MLP-tfidf,2,3.71,6.79,15.54,23.62,39.01,55.07,8.53,3.71,6.79,15.54,23.62,39.01,55.07,87.33,87.69,78.74
MLP-tfidf,3,2.99,9.16,18.94,23.83,39.48,54.86,8.64,2.99,9.16,18.94,23.83,39.48,54.86,87.48,87.92,79.26
MLP-tfidf,4,3.96,11.89,14.98,24.24,37.62,55.22,8.49,3.96,11.89,14.98,24.24,37.62,55.22,87.19,87.68,78.62
MLP-tfidf,0,1.08,4.53,7.05,9.52,14.82,23.11,3.73,1.08,4.53,7.05,9.52,14.82,23.11,67.94,69.89
MLP-tfidf,1,0.77,4.07,7.0,9.52,14.93,22.7,3.52,0.77,4.07,7.0,9.52,14.93,22.7,67.79,69.54
MLP-tfidf,2,0.82,4.43,7.26,9.32,15.59,22.54,3.6,0.82,4.43,7.26,9.32,15.59,22.54,67.75,69.71
