Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP
tfidf-cora-origin,12.00 ± 2.74,17.00 ± 4.47,75.00 ± 25.98,100.00 ± 0.00,100.00 ± 0.00,100.00 ± 0.00,30.51 ± 1.32,12.00 ± 2.74,17.00 ± 4.47,85.00 ± 7.07,100.00 ± 0.00,100.00 ± 0.00,100.00 ± 0.00,76.60 ± 1.98,73.58 ± 1.50
tfidf-cora-origin,25.00 ± 0.00,31.00 ± 5.48,60.00 ± 0.00,92.00 ± 2.74,100.00 ± 0.00,100.00 ± 0.00,35.56 ± 0.47,25.00 ± 0.00,31.00 ± 5.48,60.00 ± 0.00,90.00 ± 0.00,100.00 ± 0.00,100.00 ± 0.00,62.47 ± 2.18,70.89 ± 1.30
tfidf-cora-origin,6.00 ± 2.24,11.00 ± 2.24,70.00 ± 0.00,99.00 ± 2.24,100.00 ± 0.00,100.00 ± 0.00,19.41 ± 2.20,6.00 ± 2.24,11.00 ± 2.24,70.00 ± 0.00,99.00 ± 2.24,100.00 ± 0.00,100.00 ± 0.00,61.15 ± 2.04,59.40 ± 0.67
tfidf-cora-origin,6.00 ± 4.18,39.00 ± 6.52,48.00 ± 10.95,97.00 ± 4.47,100.00 ± 0.00,100.00 ± 0.00,25.78 ± 2.93,6.00 ± 4.18,39.00 ± 6.52,48.00 ± 10.95,97.00 ± 4.47,100.00 ± 0.00,100.00 ± 0.00,54.85 ± 6.14,64.19 ± 2.54
tfidf-cora-origin,0.00 ± 0.00,0.00 ± 0.00,45.00 ± 7.07,96.00 ± 6.52,100.00 ± 0.00,100.00 ± 0.00,10.39 ± 0.63,0.00 ± 0.00,0.00 ± 0.00,45.00 ± 7.07,96.00 ± 6.52,100.00 ± 0.00,100.00 ± 0.00,46.55 ± 2.38,46.72 ± 0.54
tfidf-cora-origin,6.00 ± 2.24,26.00 ± 2.24,78.00 ± 5.70,97.00 ± 2.74,100.00 ± 0.00,100.00 ± 0.00,23.69 ± 1.17,6.00 ± 2.24,26.00 ± 2.24,78.00 ± 5.70,97.00 ± 2.74,100.00 ± 0.00,100.00 ± 0.00,60.70 ± 6.35,65.42 ± 1.12
Best,25.0,39.0,78.0,100.0,100.0,100.0,35.56,25.0,39.0,85.0,100.0,100.0,100.0,76.6,73.58
