Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC
minilm-cora-origin,41.50 ± 0.21,49.09 ± 0.64,72.33 ± 0.82,77.27 ± 0.34,86.33 ± 0.05,92.14 ± 0.04,48.48 ± 0.08,41.50 ± 0.21,49.09 ± 0.64,72.33 ± 0.82,77.27 ± 0.34,86.33 ± 0.05,92.14 ± 0.04,98.88 ± 0.00,98.92 ± 0.00,94.86 ± 0.01
Best,41.5,49.09,72.33,77.27,86.33,92.14,48.48,41.5,49.09,72.33,77.27,86.33,92.14,98.88,98.92,94.86
