model,seed,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC
MLP-minilm,0,41.26,48.4,72.81,77.49,86.35,92.11,48.35,41.26,48.4,72.81,77.49,86.35,92.11,98.88,98.92,94.85
MLP-minilm,1,41.33,48.66,70.88,76.73,86.26,92.21,48.55,41.33,48.66,70.88,76.73,86.26,92.21,98.88,98.92,94.86
MLP-minilm,2,41.52,49.51,72.58,77.13,86.39,92.11,48.46,41.52,49.51,72.58,77.13,86.39,92.11,98.88,98.92,94.86
MLP-minilm,3,41.72,49.97,72.64,77.49,86.32,92.15,48.55,41.72,49.97,72.64,77.49,86.32,92.15,98.88,98.92,94.86
MLP-minilm,4,41.69,48.89,72.74,77.49,86.32,92.11,48.48,41.69,48.89,72.74,77.49,86.32,92.11,98.88,98.92,94.88
