Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP
tfidf-cora-origin,12.91 ± 0.97,19.19 ± 3.39,32.55 ± 2.11,46.42 ± 2.41,67.75 ± 1.89,84.13 ± 1.79,19.10 ± 1.25,12.91 ± 0.97,19.19 ± 3.39,32.55 ± 2.11,46.42 ± 2.41,67.75 ± 1.89,84.13 ± 1.79,83.06 ± 0.75,83.77 ± 0.60
tfidf-cora-origin,1.25 ± 1.06,11.59 ± 2.63,20.15 ± 2.44,35.13 ± 2.89,53.80 ± 3.12,73.21 ± 1.76,10.04 ± 1.00,1.25 ± 1.06,11.59 ± 2.63,20.15 ± 2.44,35.13 ± 2.89,53.80 ± 3.12,73.21 ± 1.76,75.41 ± 0.42,75.80 ± 0.76
tfidf-cora-origin,15.65 ± 0.33,36.60 ± 2.51,46.05 ± 1.83,61.92 ± 2.79,72.91 ± 0.20,85.68 ± 0.41,29.13 ± 0.49,15.65 ± 0.33,36.60 ± 2.51,46.05 ± 1.83,61.92 ± 2.79,72.91 ± 0.20,85.83 ± 0.56,85.69 ± 0.31,87.37 ± 0.02
tfidf-cora-origin,34.98 ± 0.40,36.90 ± 1.14,45.16 ± 1.89,54.39 ± 1.09,67.09 ± 0.41,81.11 ± 0.31,38.94 ± 0.26,34.98 ± 0.40,36.90 ± 1.14,45.46 ± 1.55,54.39 ± 1.09,66.94 ± 0.33,81.03 ± 0.20,81.91 ± 0.64,85.22 ± 0.12
tfidf-cora-origin,8.86 ± 3.83,15.57 ± 3.60,35.57 ± 1.91,47.45 ± 0.67,66.05 ± 1.61,83.61 ± 0.33,19.13 ± 1.82,8.86 ± 3.83,15.57 ± 3.60,35.57 ± 1.91,47.45 ± 0.67,66.05 ± 1.61,83.61 ± 0.33,82.97 ± 0.24,83.30 ± 0.30
tfidf-cora-origin,5.98 ± 1.46,14.76 ± 2.76,33.58 ± 2.07,45.76 ± 2.96,70.78 ± 0.66,87.16 ± 0.48,14.18 ± 0.94,5.98 ± 1.46,14.76 ± 2.76,33.58 ± 2.07,45.76 ± 2.96,70.78 ± 0.66,87.16 ± 0.48,84.10 ± 0.16,83.71 ± 0.32
tfidf-cora-origin,9.30 ± 2.31,20.74 ± 5.08,41.48 ± 2.52,51.74 ± 1.21,71.73 ± 1.24,86.20 ± 0.93,18.35 ± 1.26,9.30 ± 2.31,20.74 ± 5.08,41.48 ± 2.52,51.74 ± 1.21,71.73 ± 1.24,86.20 ± 0.93,84.86 ± 0.36,85.49 ± 0.38
tfidf-cora-origin,9.15 ± 1.23,17.64 ± 2.49,43.25 ± 2.70,56.09 ± 1.14,71.88 ± 1.09,86.27 ± 0.75,18.12 ± 1.26,9.15 ± 1.23,17.64 ± 2.49,43.25 ± 2.70,56.09 ± 1.14,71.88 ± 1.09,86.27 ± 0.75,85.87 ± 0.18,86.48 ± 0.26
tfidf-cora-origin,1.55 ± 0.17,9.01 ± 0.42,12.77 ± 0.89,15.57 ± 1.12,25.39 ± 0.66,33.95 ± 0.69,8.22 ± 0.34,1.55 ± 0.17,9.01 ± 0.42,12.77 ± 0.89,15.57 ± 1.12,25.39 ± 0.66,43.54 ± 0.69,55.12 ± 0.27,59.25 ± 0.19
tfidf-cora-origin,4.73 ± 0.48,8.05 ± 0.76,12.33 ± 1.27,18.82 ± 2.65,31.88 ± 1.72,47.60 ± 1.81,8.01 ± 0.33,4.73 ± 0.48,8.05 ± 0.76,12.33 ± 1.27,18.82 ± 2.65,31.88 ± 1.72,47.60 ± 1.81,60.33 ± 0.54,63.23 ± 0.65
tfidf-cora-origin,0.52 ± 0.56,2.88 ± 1.02,7.09 ± 1.12,13.21 ± 1.98,26.05 ± 1.16,45.09 ± 2.21,4.24 ± 0.30,0.52 ± 0.56,2.88 ± 1.02,7.09 ± 1.12,13.21 ± 1.98,26.05 ± 1.16,45.09 ± 2.21,56.12 ± 0.81,57.48 ± 0.40
tfidf-cora-origin,1.48 ± 0.26,3.47 ± 1.42,11.81 ± 1.90,14.17 ± 2.43,27.82 ± 2.37,44.58 ± 2.77,5.17 ± 0.23,1.48 ± 0.26,3.47 ± 1.42,11.81 ± 1.90,14.17 ± 2.43,27.82 ± 2.37,44.58 ± 2.77,54.37 ± 0.58,57.51 ± 0.38
tfidf-cora-origin,2.80 ± 0.33,3.69 ± 0.26,7.53 ± 0.93,14.46 ± 1.03,23.54 ± 1.51,42.73 ± 2.05,5.20 ± 0.26,2.80 ± 0.33,3.69 ± 0.26,7.53 ± 0.93,14.46 ± 1.03,23.54 ± 1.51,42.80 ± 2.17,56.04 ± 0.93,57.70 ± 0.33
Best,34.98,36.9,46.05,61.92,72.91,87.16,38.94,34.98,36.9,46.05,61.92,72.91,87.16,85.87,87.37
