Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC
minilm-cora-origin,59.31 ± 0.23,69.66 ± 0.84,79.72 ± 0.80,85.57 ± 0.23,93.94 ± 0.00,98.62 ± 0.00,66.80 ± 0.14,59.31 ± 0.23,69.66 ± 0.84,79.72 ± 0.80,85.57 ± 0.23,93.94 ± 0.00,98.62 ± 0.00,98.19 ± 0.00,98.34 ± 0.01,92.47 ± 0.00
minilm-cora-origin,64.19 ± 0.94,71.94 ± 0.73,84.43 ± 0.00,91.35 ± 0.87,96.64 ± 0.16,98.27 ± 0.00,70.00 ± 1.32,64.19 ± 0.94,71.94 ± 0.73,84.43 ± 0.00,91.35 ± 0.87,96.64 ± 0.16,98.27 ± 0.00,98.72 ± 0.01,98.82 ± 0.00,94.43 ± 0.04
Best,64.19,71.94,84.43,91.35,96.64,98.62,70.0,64.19,71.94,84.43,91.35,96.64,98.62,98.72,98.82,94.43
