Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,out_channels,hidden_channels,heads,negative_slope,dropout,num_layers,base_lr,score_num_layers_predictor,score_gin_mlp_layer,score_hidden_channels,score_out_channels,score_num_layers,score_dropout,product,epochs,train_time,test_time,params
cora_runwvivt6xd_GAT_Variant,89.48,93.54,96.86,97.23,98.15,99.26,91.91,89.48,93.54,96.86,97.23,98.15,99.26,99.66,99.69,97.05,32,8,8,0.1,0.1,3,0.015,3,2,64,1,3,0.1,inner,2000,0.9965877532958984,1.044001579284668,11928
cora_runlu052ksb_GAT_Variant,89.48,93.54,97.79,98.52,98.15,99.45,91.87,89.48,93.54,97.79,98.52,98.15,99.45,99.72,99.76,97.05,64,32,8,0.1,0.0,2,0.015,3,2,64,1,3,0.1,dot,2000,1.2262022495269775,1.2581787109375,56577
cora_runrorik3ki_GAT_Variant,95.57,92.8,97.79,98.52,98.15,99.45,95.85,95.57,92.8,97.79,98.52,98.15,99.45,99.72,99.79,97.05,64,8,4,0.1,0.1,1,0.015,3,2,64,1,3,0.1,inner,2000,0.744318962097168,0.751962423324585,91904
cora_run732fj4mw_GAT_Variant,84.13,95.2,96.31,97.6,97.97,99.08,89.0,84.13,95.2,96.31,97.6,97.97,99.08,99.31,99.48,97.32,32,32,4,0.1,0.0,3,0.015,3,2,64,1,3,0.1,dot,2000,0.6122095584869385,0.7010257244110107,54529
cora_runwvivt6xd_GAT_Variant,89.48,93.54,96.86,97.23,98.15,99.26,91.91,89.48,93.54,96.86,97.23,98.15,99.26,99.66,99.69,97.05,32,8,8,0.1,0.1,3,0.015,3,2,64,1,3,0.1,dot,2000,0.8741207122802734,0.9336578845977784,18265
cora_runrorik3ki_GAT_Variant,95.57,92.8,97.79,98.52,98.15,99.45,95.85,95.57,92.8,97.79,98.52,98.15,99.45,99.72,99.79,97.05,64,8,4,0.1,0.1,1,0.015,3,2,64,1,3,0.1,dot,2000,0.8372359275817871,0.8613131046295166,100289
cora_runlu052ksb_GAT_Variant,89.48,93.54,97.79,98.52,98.15,99.45,91.87,89.48,93.54,97.79,98.52,98.15,99.45,99.72,99.76,97.05,64,32,8,0.1,0.0,3,0.015,3,2,64,1,3,0.1,inner,2000,1.1766314506530762,1.3682074546813965,49312
cora_runwvivt6xd_GAT_Variant,89.48,93.54,96.86,97.23,98.15,99.26,91.91,89.48,93.54,96.86,97.23,98.15,99.26,99.66,99.69,97.05,64,32,4,0.1,0.0,1,0.015,3,2,64,1,3,0.1,inner,2000,0.4071831703186035,0.4454226493835449,91904
cora_runrorik3ki_GAT_Variant,95.57,92.8,97.79,98.52,98.15,99.45,95.85,95.57,92.8,97.79,98.52,98.15,99.45,99.72,99.79,97.05,64,8,4,0.1,0.1,2,0.015,3,2,64,1,3,0.1,inner,2000,0.9047844409942628,0.9902031421661376,12192
cora_runwvivt6xd_GAT_Variant,89.48,93.54,97.79,98.52,98.15,99.26,91.91,89.48,93.54,97.79,98.52,98.15,99.26,99.66,99.84,97.05,64,32,4,0.1,0.0,1,0.015,3,2,64,1,3,0.1,dot,2000,0.912168264389038,0.9446980953216552,100289
