Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,out_channels,hidden_channels,base_lr,score_num_layers_predictor,score_gin_mlp_layer,score_hidden_channels,score_out_channels,score_num_layers,score_dropout,product,epochs,train_time,test_time,params
cora_runl5wdtkix_SAGE_Variant,9.41,71.96,92.25,94.1,96.49,98.34,39.53,9.41,71.96,92.25,94.1,96.49,98.34,98.66,98.51,94.0,128,128,0.0089,3,2,64,1,3,0.1,dot,2000,1.1763436794281006,1.2344002723693848,445249
cora_runl5wdtkix_SAGE_Variant,9.41,71.96,92.25,94.1,96.49,98.34,39.53,9.41,71.96,92.25,94.1,96.49,98.34,98.66,98.51,94.0,128,256,0.0089,3,2,64,1,3,0.1,inner,2000,1.025343894958496,1.1227216720581057,930944
cora_runl5wdtkix_SAGE_Variant,74.91,48.71,93.36,95.57,97.05,98.89,80.78,74.91,48.71,93.36,95.57,97.05,98.89,99.01,99.09,94.46,128,256,0.0089,3,2,64,1,3,0.1,dot,2000,1.063392162322998,1.084329605102539,943425
cora_runl5wdtkix_SAGE_Variant,74.91,48.71,93.36,95.57,97.05,98.89,80.78,74.91,48.71,93.36,95.57,97.05,98.89,99.01,99.09,94.46,256,64,0.0089,3,2,64,1,3,0.1,inner,2000,0.7037115097045898,0.720505952835083,224768
cora_runl5wdtkix_SAGE_Variant,74.91,48.71,93.36,95.57,97.05,98.89,80.78,74.91,48.71,93.36,95.57,97.05,98.89,99.01,99.09,94.46,256,64,0.0089,3,2,64,1,3,0.1,dot,2000,1.0061521530151367,1.0488591194152832,245441
cora_runl5wdtkix_SAGE_Variant,74.91,48.71,93.36,95.57,97.05,98.89,80.78,74.91,48.71,93.36,95.57,97.05,98.89,99.01,99.09,94.46,256,128,0.0089,3,2,64,1,3,0.1,inner,2000,1.0280940532684326,1.172477960586548,465664
cora_runl5wdtkix_SAGE_Variant,74.91,48.71,93.36,95.57,97.05,98.89,80.78,74.91,48.71,93.36,95.57,97.05,98.89,99.01,99.09,94.46,256,128,0.0089,3,2,64,1,3,0.1,dot,2000,1.458637237548828,1.5812857151031494,486337
cora_runl5wdtkix_SAGE_Variant,74.91,48.71,93.36,95.57,97.05,98.89,80.78,74.91,48.71,93.36,95.57,97.05,98.89,99.01,99.09,93.91,256,256,0.0089,3,2,64,1,3,0.1,inner,2000,1.4566936492919922,1.4756600856781006,996608
cora_runx2x9o3ds_SAGE_Variant,65.31,70.3,84.87,90.96,95.57,97.97,70.07,65.31,70.3,84.87,90.96,95.57,97.97,98.28,98.61,92.8,128,64,0.0089,3,2,64,1,3,0.1,inner,2000,0.5992696285247803,0.6474301815032959,208256
cora_runx2x9o3ds_SAGE_Variant,65.31,70.3,84.87,93.36,97.05,98.34,70.07,65.31,70.3,84.87,93.36,97.05,98.34,98.98,98.99,91.97,128,64,0.0089,3,2,64,1,3,0.1,dot,2000,1.017136573791504,1.08136248588562,220737
cora_runl5wdtkix_SAGE_Variant,74.91,48.71,93.36,95.57,97.42,98.89,80.78,74.91,48.71,93.36,95.57,97.42,98.89,99.06,99.18,93.91,256,256,0.0089,3,2,64,1,3,0.1,dot,2000,1.3990745544433594,1.4241642951965332,1017281
Best,74.91,81.92,93.36,95.57,98.52,99.45,80.78,74.91,81.92,93.36,95.57,98.52,99.45,99.06,99.18,95.48,256,256,0.0089,3,2,64,1,3,0.1,inner,2000,2.0042378902435303,2.0639352798461914,1017281
