Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC
llama-citationv8-origin,12.54 ± 2.34,33.76 ± 4.81,58.84 ± 0.75,69.64 ± 2.17,79.68 ± 1.93,87.68 ± 0.50,27.50 ± 2.17,12.54 ± 2.34,33.76 ± 4.81,58.84 ± 0.75,69.64 ± 2.17,79.68 ± 1.93,87.68 ± 0.50,99.05 ± 0.01,99.04 ± 0.03,95.12 ± 0.12
Best,13.7,33.76,58.84,69.64,79.68,87.68,27.5,13.7,33.76,58.84,69.64,79.68,87.68,99.05,99.04,95.12
