Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,out_channels,hidden_channels,batch_size,dropout,num_layers,negative_slope,base_lr,score_num_layers_predictor,score_gin_mlp_layer,score_hidden_channels,score_out_channels,score_num_layers,score_dropout,product,epochs,train_time,test_time,params
arxiv_2023_run6eu9r66k_GCN_Variant,20.03,29.61,40.37,61.71,72.01,82.1,27.12,20.03,29.61,40.37,61.71,72.01,82.1,95.02,95.46,92.44,64,64,1024,0.1,1,0.1,0.0089,3,2,64,1,3,0.1,inner,100,1.5598559379577637,1.5760715007781982,19264
arxiv_2023_run6eu9r66k_GCN_Variant,20.03,29.61,40.37,61.71,72.01,82.1,27.12,20.03,29.61,40.37,61.71,72.01,82.1,95.02,95.46,92.44,64,64,1024,0.1,1,0.1,0.0089,3,2,64,1,3,0.1,dot,100,1.675590991973877,1.6942949295043943,27649
arxiv_2023_run6eu9r66k_GCN_Variant,20.03,29.61,40.37,61.71,72.01,82.1,27.12,20.03,29.61,40.37,61.71,72.01,82.1,95.02,95.46,92.44,64,64,1024,0.1,2,0.1,0.0089,3,2,64,1,3,0.1,inner,100,2.213379144668579,2.23476243019104,23424
arxiv_2023_run6eu9r66k_GCN_Variant,20.03,29.61,40.37,61.71,72.01,89.81,27.12,20.03,29.61,40.37,61.71,72.01,89.81,95.02,96.19,92.44,64,64,1024,0.1,2,0.1,0.0089,3,2,64,1,3,0.1,dot,100,2.4891674518585205,2.512449264526367,31809
arxiv_2023_run6eu9r66k_GCN_Variant,20.03,29.61,40.37,61.71,72.01,89.81,27.12,20.03,29.61,40.37,61.71,72.01,89.81,95.02,96.19,92.44,64,64,1024,0.1,3,0.1,0.0089,3,2,64,1,3,0.1,inner,100,3.0668487548828125,3.096552848815918,27584
arxiv_2023_run6eu9r66k_GCN_Variant,20.03,29.61,40.37,61.71,72.01,89.81,27.12,20.03,29.61,40.37,61.71,72.01,89.81,95.02,96.19,92.44,64,64,1024,0.1,3,0.1,0.0089,3,2,64,1,3,0.1,dot,100,3.3574657440185547,3.386780261993408,35969
arxiv_2023_runcj52j2qj_GCN_Variant,13.74,22.46,37.83,53.9,77.89,88.69,26.44,13.74,22.46,37.83,53.9,77.89,88.69,95.39,96.04,91.79,32,32,1024,0.1,1,0.1,0.0089,3,2,64,1,3,0.1,dot,2000,1.240771770477295,1.3008859157562256,15969
arxiv_2023_runcj52j2qj_GCN_Variant,13.74,32.81,37.83,53.9,67.44,88.69,26.44,13.74,32.81,37.83,53.9,67.44,88.69,95.39,96.04,91.79,32,32,1024,0.1,2,0.1,0.0089,3,2,64,1,3,0.1,inner,2000,1.8768198490142824,1.9298019409179688,10688
arxiv_2023_runcj52j2qj_GCN_Variant,21.2,43.91,73.07,78.19,87.73,90.77,34.79,21.2,43.91,73.07,78.19,87.73,90.77,97.9,98.13,92.75,32,32,1024,0.1,2,0.1,0.0089,3,2,64,1,3,0.1,dot,2000,1.683849573135376,1.720020055770874,17025
arxiv_2023_runcj52j2qj_GCN_Variant,21.2,43.91,73.07,78.19,87.73,89.4,34.79,21.2,43.91,73.07,78.19,87.73,89.4,97.9,98.13,92.75,32,32,1024,0.1,3,0.1,0.0089,3,2,64,1,3,0.1,inner,2000,2.4405908584594727,2.497922897338867,11744
arxiv_2023_runcj52j2qj_GCN_Variant,23.43,37.27,63.79,81.44,89.0,90.01,34.62,23.43,37.27,63.79,81.44,89.0,90.01,97.9,98.13,93.18,32,32,1024,0.1,3,0.1,0.0089,3,2,64,1,3,0.1,dot,2000,2.6867568492889404,2.748148202896118,18081
arxiv_2023_runcj52j2qj_GCN_Variant,23.43,37.27,63.79,81.44,89.0,90.01,34.62,23.43,37.27,63.79,81.44,89.0,90.01,97.9,98.13,93.18,32,64,1024,0.1,1,0.1,0.0089,3,2,64,1,3,0.1,inner,2000,1.53670072555542,1.5870096683502195,9632
arxiv_2023_runzrcere5c_GCN_Variant,9.84,17.55,26.77,32.05,39.81,48.58,14.73,9.84,17.55,26.77,32.05,39.81,48.58,84.37,85.86,74.06,32,32,1024,0.1,1,0.1,0.0089,3,2,64,1,3,0.1,inner,2000,6.23151707649231,6.269224166870117,9632
arxiv_2023_runzrcere5c_GCN_Variant,8.87,21.3,43.26,56.8,78.25,89.6,21.74,8.87,21.3,43.26,56.8,78.25,89.6,95.61,96.25,92.27,32,32,1024,0.1,1,0.1,0.0089,3,2,64,1,3,0.1,dot,2000,6.370521306991577,6.563205242156982,15969
arxiv_2023_runzrcere5c_GCN_Variant,0.0,30.48,39.05,56.8,78.25,89.6,17.03,0.0,30.48,39.05,56.8,78.25,89.6,95.61,96.25,92.27,32,32,1024,0.1,2,0.1,0.0089,3,2,64,1,3,0.1,inner,2000,9.637178897857666,9.75733208656311,10688
arxiv_2023_runzrcere5c_GCN_Variant,19.22,26.83,46.1,70.94,88.69,90.72,27.29,19.22,26.83,46.1,70.94,88.69,90.72,96.69,97.39,93.03,32,32,1024,0.1,2,0.1,0.0089,3,2,64,1,3,0.1,dot,2000,9.415262937545776,9.471042156219482,17025
arxiv_2023_runzrcere5c_GCN_Variant,10.34,26.83,48.83,72.57,88.18,90.72,27.29,10.34,26.83,48.83,72.57,88.18,90.72,96.69,97.39,93.03,32,32,1024,0.1,3,0.1,0.0089,3,2,64,1,3,0.1,inner,2000,13.523042440414429,13.598809957504272,11744
arxiv_2023_runzrcere5c_GCN_Variant,22.97,26.83,64.05,82.15,90.37,94.07,33.66,22.97,26.83,64.05,82.15,90.37,94.07,98.55,98.64,94.57,32,32,1024,0.1,3,0.1,0.0089,3,2,64,1,3,0.1,dot,2000,13.064532995223999,13.168086528778076,18081
Best,23.43,43.91,73.07,82.15,90.37,94.07,34.79,23.43,43.91,73.07,82.15,90.37,94.07,98.55,98.64,94.57,64,64,1024,0.1,3,0.1,0.0089,3,2,64,1,3,0.1,inner,2000,13.523042440414429,13.598809957504272,35969
