Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,out_channels,hidden_channels,num_layers,base_lr,mlp_layer,score_num_layers_predictor,score_gin_mlp_layer,score_hidden_channels,score_out_channels,score_num_layers,score_dropout,product,epochs,train_time,test_time,params
cora_runpg9f4jr0_GIN_Variant,66.97,85.42,93.54,95.76,97.23,99.26,77.91,66.97,85.42,93.54,95.76,97.23,99.26,99.24,99.31,95.94,64,64,1,0.0089,1,3,2,64,1,3,0.1,inner,2000,0.1119513511657714,0.131941556930542,91776
cora_runpg9f4jr0_GIN_Variant,93.17,94.83,96.13,97.6,97.97,98.89,94.4,93.17,94.83,96.13,97.6,97.97,98.89,99.37,99.5,97.14,64,64,1,0.0089,1,3,2,64,1,3,0.1,dot,2000,0.2988941669464111,0.3096170425415039,100161
cora_runpg9f4jr0_GIN_Variant,93.17,94.83,96.13,97.6,97.97,98.89,94.4,93.17,94.83,96.13,97.6,97.97,98.89,99.37,99.5,97.14,64,64,1,0.0089,2,3,2,64,1,3,0.1,inner,2000,0.123612642288208,0.1794672012329101,95936
cora_runpg9f4jr0_GIN_Variant,93.17,94.83,96.13,97.6,97.97,98.89,94.4,93.17,94.83,96.13,97.6,97.97,98.89,99.37,99.5,97.14,64,64,1,0.0089,2,3,2,64,1,3,0.1,dot,2000,0.0599687099456787,0.0712225437164306,104321
cora_runpg9f4jr0_GIN_Variant,93.17,94.83,96.13,97.6,97.97,98.89,94.4,93.17,94.83,96.13,97.6,97.97,98.89,99.37,99.5,97.14,64,64,1,0.0089,3,3,2,64,1,3,0.1,inner,2000,0.1110014915466308,0.1342380046844482,100096
cora_runpg9f4jr0_GIN_Variant,93.17,94.83,96.13,97.6,97.97,98.89,94.4,93.17,94.83,96.13,97.6,97.97,98.89,99.37,99.5,97.14,64,64,1,0.0089,3,3,2,64,1,3,0.1,dot,2000,0.0951910018920898,0.1504034996032714,108481
cora_runpg9f4jr0_GIN_Variant,93.17,94.83,96.13,97.6,97.97,98.89,94.4,93.17,94.83,96.13,97.6,97.97,98.89,99.37,99.5,97.14,64,64,2,0.0089,1,3,2,64,1,3,0.1,inner,2000,0.079864501953125,0.1684546470642089,95936
cora_runpg9f4jr0_GIN_Variant,93.17,94.83,96.13,97.6,97.97,98.89,94.4,93.17,94.83,96.13,97.6,97.97,98.89,98.86,99.5,95.94,64,64,2,0.0089,1,3,2,64,1,3,0.1,dot,2000,0.1166794300079345,0.169111967086792,104321
cora_runpg9f4jr0_GIN_Variant,93.17,94.83,96.13,97.6,97.97,98.89,94.4,93.17,94.83,96.13,97.6,97.97,98.89,98.86,99.5,95.94,64,64,2,0.0089,2,3,2,64,1,3,0.1,inner,2000,0.1053931713104248,0.1180827617645263,104256
cora_runpg9f4jr0_GIN_Variant,93.17,94.83,96.13,97.6,97.97,98.89,94.4,93.17,94.83,96.13,97.6,97.97,98.89,98.86,99.5,96.22,64,64,2,0.0089,2,3,2,64,1,3,0.1,dot,2000,0.1141068935394287,0.1465287208557129,112641
cora_runpg9f4jr0_GIN_Variant,93.17,94.83,96.13,97.6,97.97,98.89,94.4,93.17,94.83,96.13,97.6,97.97,98.89,98.86,99.5,96.22,64,64,2,0.0089,3,3,2,64,1,3,0.1,inner,2000,0.1210775375366211,0.1776268482208252,112576
cora_runpg9f4jr0_GIN_Variant,93.17,94.83,96.13,97.6,97.97,98.89,94.4,93.17,94.83,96.13,97.6,97.97,98.89,98.86,99.5,96.22,64,64,2,0.0089,3,3,2,64,1,3,0.1,dot,2000,0.1035869121551513,0.1746320724487304,120961
cora_runpg9f4jr0_GIN_Variant,93.17,94.83,96.13,97.6,97.97,98.89,94.4,93.17,94.83,96.13,97.6,97.97,98.89,98.86,99.5,96.22,64,64,3,0.0089,1,3,2,64,1,3,0.1,inner,2000,0.1361095905303955,0.1528482437133789,100096
cora_runpg9f4jr0_GIN_Variant,93.17,94.83,96.13,97.6,97.97,98.89,94.4,93.17,94.83,96.13,97.6,97.97,98.89,98.86,99.5,96.22,64,64,3,0.0089,1,3,2,64,1,3,0.1,dot,2000,0.1123833656311035,0.1589512825012207,108481
cora_runpg9f4jr0_GIN_Variant,93.17,94.83,96.13,97.6,97.97,98.89,94.4,93.17,94.83,96.13,97.6,97.97,98.89,98.86,99.5,96.22,64,64,3,0.0089,2,3,2,64,1,3,0.1,inner,2000,0.1157641410827636,0.1395859718322754,112576
