Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC
llama-pwc_medium-origin,40.00 ± 5.17,52.53 ± 2.70,76.95 ± 2.16,88.97 ± 0.47,94.46 ± 0.32,97.72 ± 0.33,49.56 ± 1.53,40.00 ± 5.17,52.53 ± 2.70,76.95 ± 2.16,88.97 ± 0.47,94.46 ± 0.32,97.72 ± 0.33,97.74 ± 0.03,97.77 ± 0.03,92.34 ± 0.22
Best,40.0,52.53,76.95,88.97,94.46,97.72,49.56,40.0,52.53,76.95,88.97,94.46,97.72,97.74,97.77,92.34
