Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,out_channels,hidden_channels,num_layers,base_lr,mlp_layer,score_num_layers_predictor,score_gin_mlp_layer,score_hidden_channels,score_out_channels,score_num_layers,score_dropout,product,epochs,train_time,test_time,params
Tune,0.0,45.59,54.21,60.34,76.62,86.61,39.48,0.0,0.0,54.21,60.34,76.62,86.61,97.2,97.37,94.65,16,16,1,0.015,1,1,2,32.0,1,2,0.1,inner,2000,0.9346091747283936,0.9702556133270264,4816
Tune,0.0,45.59,54.21,60.34,76.62,86.61,39.48,0.0,0.0,54.21,60.34,76.62,86.61,97.2,97.37,94.65,16,16,1,0.015,1,1,2,32.0,1,2,0.1,dot,2000,0.8667473793029785,0.927739143371582,5393
Tune,0.0,45.59,54.21,60.34,76.62,86.61,39.48,0.0,0.0,54.21,60.34,76.62,86.61,97.2,97.37,94.65,16,16,1,0.015,1,1,2,32.0,1,3,0.1,inner,2000,0.9404134750366212,0.9761080741882324,4816
Tune,0.0,45.59,54.21,60.34,76.62,86.61,39.48,0.0,0.0,54.21,60.34,76.62,86.61,97.2,97.37,96.07,16,16,1,0.015,1,1,2,32.0,1,3,0.1,dot,2000,1.0491845607757568,1.0787785053253174,6449
Tune,0.0,45.59,54.21,60.34,76.62,86.61,39.48,0.0,0.0,54.21,60.34,76.62,86.61,97.2,97.37,96.07,16,16,1,0.015,1,1,2,16.0,1,1,0.1,inner,2000,0.944632053375244,0.9842872619628906,4816
Tune,0.0,45.59,54.21,60.65,76.62,86.61,39.48,0.0,0.0,54.21,60.65,76.62,86.61,97.2,97.37,96.07,16,16,1,0.015,1,1,2,16.0,1,1,0.1,dot,2000,0.9400694370269777,1.0027992725372314,4833
Tune,0.0,45.59,54.21,60.65,76.62,86.61,39.48,0.0,0.0,54.21,60.65,76.62,86.61,97.2,97.37,96.07,16,16,1,0.015,1,1,2,16.0,1,2,0.1,inner,2000,0.8841991424560547,0.9324948787689208,4816
Tune,0.0,45.59,54.21,60.65,76.62,97.57,39.48,0.0,0.0,54.21,60.65,76.62,97.57,98.77,97.37,96.2,16,16,1,0.015,1,1,2,16.0,1,2,0.1,dot,2000,0.915912628173828,0.9710450172424316,5105
Tune,0.0,45.59,54.21,60.65,76.62,97.57,39.48,0.0,0.0,54.21,60.65,76.62,97.57,98.77,97.37,96.2,16,16,1,0.015,1,1,2,16.0,1,3,0.1,inner,2000,0.8849482536315918,0.921739101409912,4816
Tune,0.0,45.59,54.21,60.65,76.62,97.57,39.48,0.0,0.0,54.21,60.65,76.62,97.57,98.77,97.37,96.2,16,16,1,0.015,1,1,2,16.0,1,3,0.1,dot,2000,0.9822487831115724,1.0340497493743896,5377
