Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC
neognn-cora-llama,28.62 ± 13.31,55.57 ± 5.95,67.91 ± 5.71,73.04 ± 4.32,80.95 ± 3.87,88.77 ± 3.59,43.86 ± 7.03,28.62 ± 13.31,55.57 ± 5.95,67.91 ± 5.71,73.04 ± 4.32,80.95 ± 3.87,88.77 ± 3.59,88.75 ± 3.03,91.28 ± 1.96,81.50 ± 1.53
neognn-arxiv_2023-llama,17.87 ± 13.91,44.42 ± 11.59,56.19 ± 4.82,61.44 ± 4.88,69.66 ± 1.27,74.15 ± 1.13,31.15 ± 9.80,17.87 ± 13.91,44.42 ± 11.59,56.19 ± 4.82,61.44 ± 4.88,69.66 ± 1.27,74.15 ± 1.13,89.89 ± 2.10,91.78 ± 1.96,81.72 ± 0.40
neognn-pubmed-llama,19.90 ± 10.89,37.19 ± 3.84,49.22 ± 5.01,57.74 ± 1.80,64.94 ± 1.01,67.65 ± 0.90,30.58 ± 6.38,19.90 ± 10.89,37.19 ± 3.84,49.22 ± 5.01,57.74 ± 1.80,64.94 ± 1.01,67.65 ± 0.90,87.20 ± 5.64,87.67 ± 4.61,77.99 ± 0.88


neognn-cora-original,24.58 ± 11.65,50.41 ± 5.33,67.38 ± 6.03,75.06 ± 5.23,81.03 ± 3.11,90.04 ± 2.02,41.48 ± 5.11,24.58 ± 11.65,50.41 ± 5.33,67.38 ± 6.03,75.06 ± 5.23,81.03 ± 3.11,90.04 ± 2.02,91.02 ± 1.08,92.67 ± 1.35,82.55 ± 2.57
neognn-arxiv_2023-original,21.90 ± 16.89,42.12 ± 14.85,55.00 ± 10.42,62.49 ± 6.36,72.66 ± 1.44,76.42 ± 1.25,34.63 ± 13.36,21.90 ± 16.89,42.12 ± 14.85,55.00 ± 10.42,62.49 ± 6.36,72.66 ± 1.44,76.44 ± 1.29,89.22 ± 0.38,92.31 ± 0.18,83.64 ± 1.17
neognn-pubmed-original,20.89 ± 7.91,38.88 ± 4.52,51.24 ± 2.85,59.04 ± 2.10,73.17 ± 5.29,81.25 ± 8.14,31.44 ± 3.85,20.89 ± 7.91,38.88 ± 4.52,51.24 ± 2.85,59.04 ± 2.10,73.17 ± 5.29,81.25 ± 8.14,94.69 ± 6.85,94.89 ± 6.31,78.26 ± 1.77
