Metric,Hits@1,Hits@3,Hits@10,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit100,AUC,AP,acc
cora_axqofilo_gae,0.3954,0.4943,0.6084,0.8897,0.4661,0.3954,0.4943,0.6084,0.8897,0.8985,0.9164,0.76996
cora_ucdc6i4u_gae,0.1141,0.1521,0.3764,0.9316,0.1964,0.1141,0.1521,0.3764,0.9316,0.8913,0.8859,0.78517
cora_q5hwwdtt_gae,0.2852,0.4373,0.5894,0.8973,0.3783,0.2852,0.4373,0.5894,0.8973,0.8965,0.9104,0.76616
cora_cazabg84_gae,0.0875,0.1369,0.4411,0.8935,0.1793,0.0875,0.1369,0.4411,0.8935,0.8864,0.884,0.75665
cora_8b2by5a5_gae,0.2053,0.403,0.597,0.8783,0.3539,0.2053,0.403,0.597,0.8783,0.9036,0.918,0.76046
cora_u4tvtn81_gae,0.1027,0.1255,0.4183,0.9163,0.1888,0.1027,0.1255,0.4183,0.9163,0.8677,0.8724,0.80038
cora_i6dgvm42_gae,0.0989,0.3726,0.4791,0.9125,0.2476,0.0989,0.3726,0.4791,0.9125,0.9003,0.9045,0.74525
cora_un39v1ad_gae,0.1407,0.327,0.6388,0.8935,0.2779,0.1407,0.327,0.6388,0.8935,0.897,0.9083,0.76236
cora_0p7fwmyd_gae,0.0989,0.2015,0.4411,0.8783,0.2025,0.0989,0.2015,0.4411,0.8783,0.8837,0.8846,0.77947
cora_xt8g526u_gae,0.1825,0.5475,0.7034,0.9087,0.3642,0.1825,0.5475,0.7034,0.9087,0.9135,0.9253,0.76236
cora_1tbjkguz_gae,0.0684,0.2015,0.4677,0.9011,0.1834,0.0684,0.2015,0.4677,0.9011,0.8885,0.8855,0.76616
cora_nnajx67z_gae,0.1787,0.3802,0.6996,0.9202,0.3361,0.1787,0.3802,0.6996,0.9202,0.9083,0.9199,0.75856
cora_7x69bpm5_gae,0.1673,0.5475,0.6654,0.8897,0.3819,0.1673,0.5475,0.6654,0.8897,0.9091,0.9246,0.75475
cora_3wj7knpd_gae,0.1559,0.2471,0.4791,0.9125,0.2489,0.1559,0.2471,0.4791,0.9125,0.8955,0.8961,0.76236
cora_uxssylrj_gae,0.1293,0.2662,0.4601,0.9087,0.2319,0.1293,0.2662,0.4601,0.9087,0.882,0.8855,0.75475
cora_owd4t9v3_gae,0.0837,0.1445,0.403,0.9468,0.1733,0.0837,0.1445,0.403,0.9468,0.8952,0.8808,0.79848
cora_mld9wcgt_gae,0.0684,0.2433,0.4373,0.9202,0.1938,0.0684,0.2433,0.4373,0.9202,0.8809,0.8873,0.81939
cora_wun5t1mi_gae,0.1635,0.2433,0.3726,0.9125,0.2384,0.1635,0.2433,0.3726,0.9125,0.8822,0.8845,0.76996
cora_wysigixx_gae,0.0646,0.1407,0.3688,0.8935,0.1646,0.0646,0.1407,0.3688,0.8935,0.8602,0.8642,0.80228
cora_7rrycgm9_gae,0.1635,0.2319,0.4829,0.9163,0.2499,0.1635,0.2319,0.4829,0.9163,0.89,0.8941,0.78897
cora_pks22cwz_gae,0.1293,0.1483,0.4144,0.9163,0.1998,0.1293,0.1483,0.4144,0.9163,0.885,0.8797,0.77567
cora_km6zbx6c_gae,0.1407,0.2015,0.4411,0.9354,0.2388,0.1407,0.2015,0.4411,0.9354,0.8942,0.8939,0.80038
cora_pt9wqajj_gae,0.0798,0.1901,0.4525,0.8897,0.177,0.0798,0.1901,0.4525,0.8897,0.8527,0.8637,0.78137
cora_93zwzvoj_gae,0.1103,0.2395,0.4525,0.8707,0.2046,0.1103,0.2395,0.4525,0.8707,0.848,0.8617,0.79087
cora_zhpiascf_gae,0.1559,0.2852,0.4677,0.8935,0.2662,0.1559,0.2852,0.4677,0.8935,0.8637,0.883,0.81179
cora_9635r1cj_gae,0.0722,0.1749,0.3726,0.9049,0.1753,0.0722,0.1749,0.3726,0.9049,0.8528,0.8589,0.77186
cora_klk7ogsg_gae,0.1217,0.27,0.4106,0.8859,0.2425,0.1217,0.27,0.4106,0.8859,0.8825,0.8882,0.75095
cora_g1vu7ko4_gae,0.1673,0.27,0.4487,0.8973,0.2529,0.1673,0.27,0.4487,0.8973,0.8843,0.8881,0.76996
cora_9ppr7l20_gae,0.1559,0.2053,0.4449,0.9278,0.2377,0.1559,0.2053,0.4449,0.9278,0.8921,0.8938,0.79278
cora_omhz3y62_gae,0.1293,0.2357,0.4221,0.924,0.2195,0.1293,0.2357,0.4221,0.924,0.8808,0.8823,0.77947
cora_csr5lee9_gae,0.1749,0.2738,0.4259,0.8821,0.2556,0.1749,0.2738,0.4259,0.8821,0.8529,0.87,0.81369
Best,0.5209,0.5551,0.7186,0.9544,0.5657,0.5209,0.5551,0.7186,0.9544,0.9179,0.9328,0.8308
