Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc,out_channels,hidden_channels,batch_size,batch_size_sampler,walk_length,num_steps,sample_coverage,epochs
cora_runtii018cw_VGAE,33.36,57.47,86.89,97.17,100.0,100.0,49.94,33.36,57.47,86.89,97.17,100.0,100.0,91.84,95.32,85.28,16,16,32,128,10,10,100,200
cora_run2sj6oxq7_VGAE,36.99,64.57,86.89,97.17,100.0,100.0,54.34,36.99,64.57,86.89,97.17,100.0,100.0,91.84,95.32,85.28,16,16,64,128,10,10,100,200
cora_runw9y355gv_VGAE,41.73,63.77,86.97,96.87,100.0,100.0,55.61,41.73,63.77,86.97,96.87,100.0,100.0,91.57,96.11,84.15,16,16,32,128,10,5,100,200
cora_run2driweyb_VGAE,48.27,66.43,86.97,96.87,100.0,100.0,60.3,48.27,66.43,86.97,96.87,100.0,100.0,91.57,96.11,84.15,16,16,32,128,10,10,100,200
cora_runtffwikqs_VGAE,50.96,66.77,86.97,96.87,100.0,100.0,62.03,50.96,66.77,86.97,96.87,100.0,100.0,91.57,96.11,84.15,16,16,64,128,10,5,100,200
cora_runndgplpq5_VGAE,50.96,66.77,86.97,97.84,100.0,100.0,62.03,50.96,66.77,86.97,97.84,100.0,100.0,91.57,96.11,84.15,16,16,64,128,10,10,100,200
cora_runvtp9ml1i_VGAE,50.96,63.59,86.97,95.67,100.0,100.0,55.34,50.96,63.59,86.97,95.67,100.0,100.0,91.56,96.02,83.47,16,16,128,128,10,5,100,200
cora_runawboa4j6_VGAE,50.96,63.59,86.28,95.67,100.0,100.0,55.34,50.96,63.59,86.28,95.67,100.0,100.0,91.56,96.02,83.47,16,16,128,128,10,10,100,200
Best,50.96,66.77,86.97,97.84,100.0,100.0,62.03,50.96,66.77,86.97,97.84,100.0,100.0,91.84,96.11,85.28,16,16,128,128,10,10,100,200
