Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,out_channels,hidden_channels,batch_size,dropout,num_layers,negative_slope,base_lr,score_num_layers_predictor,score_gin_mlp_layer,score_hidden_channels,score_out_channels,score_num_layers,score_dropout,product,epochs,train_time,test_time,params
cora_run9e0gcjvh_GCN_Variant_hyperouii7pbe,4.98,10.15,15.5,35.79,67.53,83.39,10.55,4.98,10.15,15.5,35.79,67.53,83.39,90.06,89.11,82.47,16,16,1024,0.1,1,0.1,0.015,3,2,64,1,1,0.1,dot,400,0.1183304786682128,0.1312422752380371,22961
cora_run9e0gcjvh_GCN_Variant_hyper262scka0,14.21,42.99,61.81,76.2,86.9,96.13,31.39,14.21,42.99,61.81,76.2,86.9,96.13,96.44,96.16,79.98,16,16,1024,0.1,1,0.1,0.015,3,2,64,1,2,0.1,inner,400,0.1130192279815673,0.1258149147033691,22944
cora_run9e0gcjvh_GCN_Variant_hyper0tzvvcv5,35.06,57.93,92.44,96.31,98.15,99.45,49.42,35.06,57.93,92.44,96.31,98.15,99.45,98.88,98.84,96.4,16,16,1024,0.1,1,0.1,0.015,3,2,64,1,2,0.1,dot,400,0.1269769668579101,0.1400635242462158,24097
cora_runcymbo6rs_GCN_Variant_hyper28zas70w,60.52,77.68,94.28,97.42,98.34,98.71,70.89,60.52,77.68,94.28,97.42,98.34,98.71,98.93,99.19,96.77,16,16,1024,0.1,1,0.1,0.015,1,2,32,1,3,0.1,dot,1000,0.3904557228088379,0.3980550765991211,24577
cora_run9e0gcjvh_GCN_Variant_hyperhucwjsns,16.61,40.41,59.04,71.77,87.82,95.39,29.74,16.61,40.41,59.04,71.77,87.82,95.39,96.33,95.96,80.07,16,16,1024,0.1,1,0.1,0.015,3,2,64,1,3,0.1,inner,400,0.1106483936309814,0.1232924461364746,22944
cora_run9e0gcjvh_GCN_Variant_hyper48zahfg9,14.02,39.3,67.34,87.27,97.6,99.08,32.51,14.02,39.3,67.34,87.27,97.6,99.08,98.19,97.75,95.02,16,16,1024,0.1,1,0.1,0.015,3,2,64,1,3,0.1,dot,400,0.1313495635986328,0.1446003913879394,28257
cora_run9e0gcjvh_GCN_Variant_hyperpdc5wjwk,15.5,40.59,59.78,72.88,87.45,95.57,29.46,15.5,40.59,59.78,72.88,87.45,95.57,96.36,96.0,79.15,16,16,1024,0.1,1,0.1,0.015,3,2,32,1,1,0.1,inner,400,0.113640546798706,0.1261117458343505,22944
cora_run9e0gcjvh_GCN_Variant_hyperuhn61c3e,13.1,27.12,37.82,59.59,84.32,92.44,22.22,13.1,27.12,37.82,59.59,84.32,92.44,94.2,93.61,87.55,16,16,1024,0.1,1,0.1,0.015,3,2,32,1,1,0.1,dot,400,0.1256320476531982,0.1389739513397216,22961
cora_run9e0gcjvh_GCN_Variant_hyperos1sy5m1,15.87,36.9,62.55,72.69,87.45,95.76,30.42,15.87,36.9,62.55,72.69,87.45,95.76,96.38,96.05,79.34,16,16,1024,0.1,1,0.1,0.015,3,2,32,1,2,0.1,inner,400,0.1087677478790283,0.1212620735168457,22944
cora_runcymbo6rs_GCN_Variant_hyperagnc0mhw,29.7,53.51,77.12,85.98,96.49,98.89,50.55,29.7,53.51,77.12,85.98,96.49,98.89,98.18,98.09,80.35,16,16,1024,0.1,1,0.1,0.015,1,2,16,1,1,0.1,inner,1000,0.1876623630523681,0.1948208808898925,22944
cora_run9e0gcjvh_GCN_Variant_hyperqwrhitnu,12.73,22.32,45.39,73.43,93.91,97.23,24.95,12.73,22.32,45.39,73.43,93.91,97.23,96.59,95.79,92.34,16,16,1024,0.1,1,0.1,0.015,3,2,32,1,2,0.1,dot,400,0.1266999244689941,0.1399452686309814,23521
