Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc,out_channels,hidden_channels,batch_size,lr
cora_runy2t738p0_VGAE,69.56,76.38,85.79,93.17,98.15,99.45,74.91,69.56,76.38,85.79,93.17,98.15,99.45,98.82,98.84,85.24,160,160,16384,0.04
cora_run0elv3ej9_VGAE,39.3,63.65,79.89,93.54,97.6,99.63,55.74,39.3,63.65,79.89,93.54,97.6,99.63,99.14,99.19,89.11,176,176,1024,0.04
cora_runlll53ulo_VGAE,69.56,76.38,85.79,93.17,98.15,99.45,74.91,69.56,76.38,85.79,93.17,98.15,99.45,98.82,98.84,85.24,160,160,16384,0.1
cora_runjjo87gqe_VGAE,69.56,76.38,85.79,93.17,98.15,99.45,74.91,69.56,76.38,85.79,93.17,98.15,99.45,98.82,98.84,85.24,160,176,1024,0.01
cora_run66fdswgr_VGAE,39.3,63.65,79.89,93.54,97.6,99.63,55.74,39.3,63.65,79.89,93.54,97.6,99.63,99.14,99.19,89.11,176,176,1024,0.1
cora_run3be0s08c_VGAE,69.56,76.38,85.79,94.65,97.97,99.45,74.91,69.56,76.38,85.79,94.65,97.97,99.45,98.82,98.84,87.27,160,176,1024,0.02
cora_runwj2gu1k0_VGAE,69.56,76.38,85.79,94.65,97.97,99.45,74.91,69.56,76.38,85.79,94.65,97.97,99.45,98.82,98.84,87.27,160,176,1024,0.04
cora_runj9bqossw_VGAE,39.3,63.65,79.89,93.54,97.6,99.63,55.74,39.3,63.65,79.89,93.54,97.6,99.63,99.14,99.19,89.11,176,176,2048,0.01
cora_runea4w3ikn_VGAE,69.56,76.38,85.79,94.65,97.97,99.45,74.91,69.56,76.38,85.79,94.65,97.97,99.45,98.82,98.84,87.27,160,176,1024,0.1
cora_runfo2m3v3e_VGAE,69.56,76.38,85.79,94.65,97.97,99.45,74.91,69.56,76.38,85.79,94.65,97.97,99.45,98.82,98.84,87.27,160,176,2048,0.01
cora_runxu0qo9kd_VGAE,39.3,63.65,79.89,93.54,97.6,99.63,55.74,39.3,63.65,79.89,93.54,97.6,99.63,99.14,99.19,89.11,176,176,2048,0.02
cora_runrxhmlxpf_VGAE,69.56,76.38,85.79,94.65,97.97,99.45,74.91,69.56,76.38,85.79,94.65,97.97,99.45,98.82,98.84,87.27,160,176,2048,0.02
cora_runjic128ip_VGAE,69.56,76.38,85.79,94.65,97.97,99.45,74.91,69.56,76.38,85.79,94.65,97.97,99.45,98.82,98.84,87.27,160,176,2048,0.04
cora_runej0r8dhi_VGAE,39.3,63.65,79.89,93.54,97.6,99.63,55.74,39.3,63.65,79.89,93.54,97.6,99.63,99.14,99.19,89.11,176,176,2048,0.04
cora_runb12abgja_VGAE,69.56,76.38,85.79,94.65,97.97,99.45,74.91,69.56,76.38,85.79,94.65,97.97,99.45,98.82,98.84,87.27,160,176,2048,0.1
cora_rungttjcf5c_VGAE,69.56,76.38,85.79,94.65,97.97,99.45,74.91,69.56,76.38,85.79,94.65,97.97,99.45,98.82,98.84,87.27,160,176,4096,0.01
cora_runjijiggjx_VGAE,39.3,63.65,79.89,93.54,97.6,99.63,55.74,39.3,63.65,79.89,93.54,97.6,99.63,99.14,99.19,89.11,176,176,2048,0.1
cora_run5s56cnof_VGAE,69.56,76.38,85.79,94.65,97.97,99.45,74.91,69.56,76.38,85.79,94.65,97.97,99.45,98.82,98.84,87.45,160,176,4096,0.02
cora_runq45t6yv5_VGAE,69.56,76.38,85.79,94.65,97.97,99.45,74.91,69.56,76.38,85.79,94.65,97.97,99.45,98.82,98.84,87.45,160,176,4096,0.04
cora_runvckvd50u_VGAE,39.3,63.65,79.89,93.54,97.6,99.63,55.74,39.3,63.65,79.89,93.54,97.6,99.63,99.14,99.19,89.11,176,176,4096,0.01
cora_runyw0vbwct_VGAE,69.56,76.38,85.79,94.65,97.97,99.45,74.91,69.56,76.38,85.79,94.65,97.97,99.45,98.82,98.84,87.45,160,176,4096,0.1
cora_run7q0urwe4_VGAE,69.56,76.38,85.79,94.65,97.97,99.45,74.91,69.56,76.38,85.79,94.65,97.97,99.45,98.82,98.84,87.45,160,176,8192,0.01
cora_run12wfgswq_VGAE,39.3,63.65,86.53,93.54,97.6,99.63,55.74,39.3,63.65,86.53,93.54,97.6,99.63,99.14,99.19,89.11,176,176,4096,0.02
cora_runs3xga84v_VGAE,69.56,76.38,83.76,94.65,97.97,99.45,74.91,69.56,76.38,83.76,94.65,97.97,99.45,98.82,98.84,87.45,160,176,8192,0.02
cora_runf693fytf_VGAE,39.3,63.65,86.53,93.54,97.6,99.63,55.74,39.3,63.65,86.53,93.54,97.6,99.63,99.14,99.19,89.11,176,176,4096,0.04
cora_runllccqvl5_VGAE,69.56,76.38,83.76,94.65,97.97,99.45,74.91,69.56,76.38,83.76,94.65,97.97,99.45,98.82,98.84,87.45,160,176,8192,0.04
cora_runwcwcxljx_VGAE,69.56,76.38,83.76,94.65,97.97,99.45,74.91,69.56,76.38,83.76,94.65,97.97,99.45,98.82,98.84,87.45,160,176,8192,0.1
cora_runv6tr4p6z_VGAE,39.3,63.65,86.53,93.54,97.6,99.63,55.74,39.3,63.65,86.53,93.54,97.6,99.63,99.14,99.19,89.11,176,176,4096,0.1
cora_runmrmqjprj_VGAE,69.56,76.38,83.76,94.65,97.97,99.45,74.91,69.56,76.38,83.76,94.65,97.97,99.45,98.82,98.84,87.45,160,176,16384,0.01
cora_runimjlqrum_VGAE,69.56,76.38,83.76,94.65,97.97,99.45,74.91,69.56,76.38,83.76,94.65,97.97,99.45,98.82,98.84,87.45,160,176,16384,0.02
cora_runbb3xitq4_VGAE,39.3,63.65,86.53,93.54,97.6,99.63,55.74,39.3,63.65,86.53,93.54,97.6,99.63,99.14,99.19,89.11,176,176,8192,0.01
cora_run2fnzyphk_VGAE,69.56,76.38,83.76,94.65,97.97,99.45,74.91,69.56,76.38,83.76,94.65,97.97,99.45,98.82,98.84,87.45,160,176,16384,0.04
cora_runq0ukio6j_VGAE,69.56,76.38,83.76,94.65,97.97,99.45,74.91,69.56,76.38,83.76,94.65,97.97,99.45,98.82,98.84,87.45,160,176,16384,0.1
cora_run22zapz02_VGAE,39.3,71.59,86.53,93.54,97.6,99.63,55.74,39.3,71.59,86.53,93.54,97.6,99.63,99.14,99.19,89.11,176,176,8192,0.02
cora_runoa3gbiqh_VGAE,69.56,76.38,83.76,94.65,97.97,99.45,74.91,69.56,76.38,83.76,94.65,97.97,99.45,98.82,98.84,87.45,160,192,1024,0.01
