Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc,out_channels,hidden_channels,batch_size,lr
cora_runt43yffwv_VGAE,39.3,71.59,86.53,93.54,97.6,99.63,55.74,39.3,71.59,86.53,93.54,97.6,99.63,99.14,99.19,89.11,176,192,16384,0.04
cora_runb64d8hjt_VGAE,69.56,73.43,83.76,92.99,97.97,99.45,74.91,69.56,73.43,83.76,92.99,97.97,99.45,98.92,98.83,87.55,176,176,4096,0.01
cora_runlv22c2ln_VGAE,69.56,73.43,83.76,92.99,97.97,99.45,74.91,69.56,73.43,83.76,92.99,97.97,99.45,98.92,98.83,87.55,176,176,4096,0.02
cora_runcmesy8tz_VGAE,39.3,71.59,86.53,93.54,97.6,99.63,55.74,39.3,71.59,86.53,93.54,97.6,99.63,99.14,99.19,89.11,176,192,16384,0.1
cora_run4njcniiq_VGAE,69.56,73.43,83.76,92.99,97.97,99.45,74.91,69.56,73.43,83.76,92.99,97.97,99.45,98.92,98.83,87.55,176,176,4096,0.04
cora_runj1pv3ins_VGAE,69.56,73.43,83.76,92.99,97.97,99.45,74.91,69.56,73.43,83.76,92.99,97.97,99.45,98.92,98.83,87.55,176,176,4096,0.1
cora_runeij2s8q9_VGAE,39.3,71.59,86.53,93.54,97.6,99.63,55.74,39.3,71.59,86.53,93.54,97.6,99.63,99.14,99.19,89.11,192,160,1024,0.01
cora_run4s1lku6n_VGAE,69.56,73.43,83.76,92.99,97.97,99.45,74.91,69.56,73.43,83.76,92.99,97.97,99.45,98.92,98.83,87.55,176,176,8192,0.01
cora_run6yub7xos_VGAE,42.99,73.43,83.76,92.99,97.97,99.45,58.56,42.99,73.43,83.76,92.99,97.97,99.45,98.92,98.83,87.55,176,176,8192,0.02
cora_runh2d2as9w_VGAE,39.3,71.59,86.53,93.54,97.6,99.63,55.74,39.3,71.59,86.53,93.54,97.6,99.63,99.14,99.19,89.11,192,160,1024,0.02
cora_run6z7sk5wf_VGAE,42.99,73.43,83.76,92.99,97.97,99.45,58.56,42.99,73.43,83.76,92.99,97.97,99.45,98.92,98.83,87.55,176,176,8192,0.04
cora_rune1ftbrfi_VGAE,42.99,73.43,83.76,92.99,97.97,99.45,58.56,42.99,73.43,83.76,92.99,97.97,99.45,98.92,98.83,87.55,176,176,8192,0.1
cora_run72w0w7qp_VGAE,39.3,71.59,86.53,93.54,97.6,99.63,55.74,39.3,71.59,86.53,93.54,97.6,99.63,99.14,99.19,89.11,192,160,1024,0.04
cora_runqx41e97m_VGAE,42.99,73.43,83.76,92.99,97.97,99.45,58.56,42.99,73.43,83.76,92.99,97.97,99.45,98.92,98.83,87.55,176,176,16384,0.01
cora_runlypnhvmj_VGAE,42.99,73.43,83.76,92.99,97.97,99.45,58.56,42.99,73.43,83.76,92.99,97.97,99.45,98.92,98.83,87.55,176,176,16384,0.02
cora_run0gldxtaj_VGAE,39.3,71.59,86.53,93.54,97.6,99.63,55.74,39.3,71.59,86.53,93.54,97.6,99.63,99.14,99.19,89.11,192,160,1024,0.1
cora_run9n5cwp4c_VGAE,42.99,73.43,83.76,92.99,97.97,99.45,58.56,42.99,73.43,83.76,92.99,97.97,99.45,98.92,98.83,87.55,176,176,16384,0.04
cora_runtfryqqzh_VGAE,42.99,73.43,83.76,92.99,97.97,99.45,58.56,42.99,73.43,83.76,92.99,97.97,99.45,98.92,98.83,87.55,176,176,16384,0.1
cora_runwto7mb7c_VGAE,39.3,71.59,86.53,93.54,97.6,99.63,55.74,39.3,71.59,86.53,93.54,97.6,99.63,99.14,99.19,89.11,192,160,2048,0.01
cora_runr27tk98f_VGAE,42.99,73.43,83.76,92.99,97.97,99.45,58.56,42.99,73.43,83.76,92.99,97.97,99.45,98.92,98.83,87.55,176,192,1024,0.01
cora_runyj1os7gp_VGAE,42.99,73.43,83.76,92.99,97.97,99.45,58.56,42.99,73.43,83.76,92.99,97.97,99.45,98.92,98.83,87.55,176,192,1024,0.02
cora_run3m7ecz5g_VGAE,39.3,71.59,86.53,93.54,97.6,99.63,55.74,39.3,71.59,86.53,93.54,97.6,99.63,99.14,99.19,89.11,192,160,2048,0.02
cora_runzm23b6jx_VGAE,42.99,73.43,83.76,92.99,97.97,99.45,58.56,42.99,73.43,83.76,92.99,97.97,99.45,98.92,98.83,87.55,176,192,1024,0.04
cora_runbw2rweuc_VGAE,42.99,73.43,83.76,92.99,97.97,99.45,58.56,42.99,73.43,83.76,92.99,97.97,99.45,98.92,98.83,87.55,176,192,1024,0.1
cora_runcfv4spws_VGAE,39.3,71.59,86.53,93.54,97.6,99.63,55.74,39.3,71.59,86.53,93.54,97.6,99.63,99.14,99.19,89.11,192,160,2048,0.04
cora_runrkcg6yo7_VGAE,42.99,73.43,83.76,92.99,97.97,99.45,58.56,42.99,73.43,83.76,92.99,97.97,99.45,98.92,98.83,87.55,176,192,2048,0.01
cora_runjew0x8zk_VGAE,42.99,73.43,83.76,92.99,97.97,99.45,58.56,42.99,73.43,83.76,92.99,97.97,99.45,98.92,98.83,87.55,176,192,2048,0.02
cora_runpugud1gc_VGAE,39.3,71.59,86.53,93.54,97.6,99.63,55.74,39.3,71.59,86.53,93.54,97.6,99.63,99.14,99.19,89.11,192,160,2048,0.1
cora_runp1v6ip17_VGAE,42.99,73.43,83.76,92.99,97.97,99.45,58.56,42.99,73.43,83.76,92.99,97.97,99.45,98.92,98.83,87.55,176,192,2048,0.04
cora_run0basnevz_VGAE,42.99,73.43,83.76,92.99,97.97,99.45,58.56,42.99,73.43,83.76,92.99,97.97,99.45,98.92,98.83,87.55,176,192,2048,0.1
cora_runnug596dn_VGAE,39.3,71.59,86.53,93.54,97.6,99.63,55.74,39.3,71.59,86.53,93.54,97.6,99.63,99.14,99.19,89.11,192,160,4096,0.01
cora_runmkpwp14e_VGAE,42.99,73.43,83.76,92.99,97.97,99.45,58.56,42.99,73.43,83.76,92.99,97.97,99.45,98.92,98.83,87.55,176,192,4096,0.01
cora_runpf8s6eub_VGAE,42.99,73.43,83.76,92.99,97.97,99.45,58.56,42.99,73.43,83.76,92.99,97.97,99.45,98.92,98.83,87.55,176,192,4096,0.02
cora_runvkpt8b4v_VGAE,39.3,71.59,86.53,93.54,97.6,99.63,55.74,39.3,71.59,86.53,93.54,97.6,99.63,99.14,99.19,89.11,192,160,4096,0.02
cora_runtj87if1g_VGAE,42.99,73.43,83.76,92.99,97.97,99.45,58.56,42.99,73.43,83.76,92.99,97.97,99.45,98.92,98.83,87.55,176,192,4096,0.04
cora_run4l3e31h2_VGAE,42.99,73.43,83.76,92.99,97.97,99.45,58.56,42.99,73.43,83.76,92.99,97.97,99.45,98.92,98.83,87.55,176,192,4096,0.1
cora_runw2l78e9g_VGAE,39.3,71.59,86.53,93.54,97.6,99.63,55.74,39.3,71.59,86.53,93.54,97.6,99.63,99.14,99.19,89.11,192,160,4096,0.04
cora_runrykyag1x_VGAE,42.99,73.43,83.76,92.99,97.97,99.45,58.56,42.99,73.43,83.76,92.99,97.97,99.45,98.92,98.83,87.55,176,192,8192,0.01
cora_run7vzj8uqe_VGAE,42.99,73.43,83.76,92.99,97.97,99.45,58.56,42.99,73.43,83.76,92.99,97.97,99.45,98.92,98.83,87.55,176,192,8192,0.02
cora_runymle0wwi_VGAE,39.3,71.59,86.53,93.54,97.6,99.63,55.74,39.3,71.59,86.53,93.54,97.6,99.63,99.14,99.19,89.11,192,160,4096,0.1
cora_runt86uptb6_VGAE,42.99,73.43,83.76,92.99,97.97,99.45,58.56,42.99,73.43,83.76,92.99,97.97,99.45,98.92,98.83,87.55,176,192,8192,0.04
cora_run16aueiii_VGAE,42.99,73.43,83.76,92.99,97.97,99.45,58.56,42.99,73.43,83.76,92.99,97.97,99.45,98.92,98.83,87.55,176,192,8192,0.1
cora_run593mqx9d_VGAE,39.3,71.59,86.53,93.54,97.6,99.63,55.74,39.3,71.59,86.53,93.54,97.6,99.63,99.14,99.19,89.11,192,160,8192,0.01
cora_runvuyvjvui_VGAE,42.99,73.43,83.76,92.99,97.97,99.45,58.56,42.99,73.43,83.76,92.99,97.97,99.45,98.92,98.83,87.55,176,192,16384,0.01
cora_run6x2smj70_VGAE,39.3,71.59,86.53,93.54,97.6,99.63,55.74,39.3,71.59,86.53,93.54,97.6,99.63,99.14,99.19,89.11,192,160,8192,0.02
cora_runa8r4dixa_VGAE,42.99,73.43,83.76,92.99,97.97,99.45,58.56,42.99,73.43,83.76,92.99,97.97,99.45,98.92,98.83,87.55,176,192,16384,0.02
cora_runb7h8kxl4_VGAE,42.99,73.43,83.76,92.99,97.97,99.45,58.56,42.99,73.43,83.76,92.99,97.97,99.45,98.92,98.83,87.55,176,192,16384,0.04
cora_run7727cce9_VGAE,39.3,71.59,86.53,93.54,97.6,99.63,55.74,39.3,71.59,86.53,93.54,97.6,99.63,99.14,99.19,89.11,192,160,8192,0.04
cora_runp2m7v8sb_VGAE,42.99,73.43,83.76,92.99,97.97,99.45,58.56,42.99,73.43,83.76,92.99,97.97,99.45,98.92,98.83,87.55,176,192,16384,0.1
cora_runob82miie_VGAE,42.99,73.43,83.76,92.99,97.97,99.45,58.56,42.99,73.43,83.76,92.99,97.97,99.45,98.92,98.83,87.55,192,160,1024,0.01
cora_runfjjhrevx_VGAE,39.3,71.59,86.53,93.54,97.6,99.63,55.74,39.3,71.59,86.53,93.54,97.6,99.63,99.14,99.19,89.11,192,160,8192,0.1
cora_runjd6r6rym_VGAE,42.99,73.43,83.76,92.99,97.97,99.45,58.56,42.99,73.43,83.76,92.99,97.97,99.45,98.92,98.83,87.55,192,160,1024,0.02
cora_runr3lzl3kp_VGAE,42.99,73.43,83.76,92.99,97.97,99.45,58.56,42.99,73.43,83.76,92.99,97.97,99.45,98.92,98.83,87.55,192,160,1024,0.04
cora_run5z920y1d_VGAE,39.3,71.59,86.53,93.54,97.6,99.63,55.74,39.3,71.59,86.53,93.54,97.6,99.63,99.14,99.19,89.11,192,160,16384,0.01
cora_runlhgryc40_VGAE,42.99,73.43,83.76,92.99,97.97,99.45,58.56,42.99,73.43,83.76,92.99,97.97,99.45,98.92,98.83,87.55,192,160,1024,0.1
cora_runq9x5qq5r_VGAE,42.99,73.43,83.76,92.99,97.97,99.45,58.56,42.99,73.43,83.76,92.99,97.97,99.45,98.92,98.83,87.55,192,160,2048,0.01
cora_runjjq5yyzx_VGAE,39.3,71.59,86.53,93.54,97.6,99.63,55.74,39.3,71.59,86.53,93.54,97.6,99.63,99.14,99.19,89.11,192,160,16384,0.02
cora_runv3843ebf_VGAE,42.99,73.43,83.76,92.99,97.97,99.45,58.56,42.99,73.43,83.76,92.99,97.97,99.45,98.92,98.83,87.55,192,160,2048,0.02
cora_runhw9l1mh2_VGAE,42.99,73.43,83.76,92.99,97.97,99.45,58.56,42.99,73.43,83.76,92.99,97.97,99.45,98.92,98.83,87.55,192,160,2048,0.04
cora_runo7910x9a_VGAE,39.3,71.59,86.53,93.54,97.6,99.63,55.74,39.3,71.59,86.53,93.54,97.6,99.63,99.14,99.19,89.11,192,160,16384,0.04
cora_run3ksjvwqh_VGAE,42.99,73.43,83.76,92.99,97.97,99.45,58.56,42.99,73.43,83.76,92.99,97.97,99.45,98.92,98.83,87.55,192,160,2048,0.1
cora_runzr65s9mi_VGAE,42.99,73.43,83.76,92.99,97.97,99.45,58.56,42.99,73.43,83.76,92.99,97.97,99.45,98.92,98.83,87.55,192,160,4096,0.01
cora_run0yajrkj1_VGAE,39.3,71.59,86.53,93.54,97.6,99.63,55.74,39.3,71.59,86.53,93.54,97.6,99.63,99.14,99.19,89.11,192,160,16384,0.1
cora_runcraqckgf_VGAE,42.99,73.43,83.76,92.99,97.97,99.45,58.56,42.99,73.43,83.76,92.99,97.97,99.45,98.92,98.83,87.55,192,160,4096,0.02
cora_rune7vu37dk_VGAE,42.99,73.43,83.76,92.99,97.97,98.89,58.56,42.99,73.43,83.76,92.99,97.97,98.89,98.63,98.68,86.16,192,160,4096,0.04
cora_runkfm28oh8_VGAE,39.3,71.59,86.53,93.54,97.6,99.63,55.74,39.3,71.59,86.53,93.54,97.6,99.63,99.14,99.19,89.11,192,176,1024,0.01
cora_runht6awd9l_VGAE,42.99,73.43,83.76,92.99,97.97,98.89,58.56,42.99,73.43,83.76,92.99,97.97,98.89,98.63,98.68,86.16,192,160,4096,0.1
cora_runnqt6k4gf_VGAE,42.99,73.43,83.76,92.99,97.97,98.89,58.56,42.99,73.43,83.76,92.99,97.97,98.89,98.63,98.68,86.16,192,160,8192,0.01
cora_run9ukgydhu_VGAE,39.3,71.59,86.53,93.54,97.6,99.63,55.74,39.3,71.59,86.53,93.54,97.6,99.63,99.14,99.19,89.11,192,176,1024,0.02
cora_run73y6ma3y_VGAE,42.99,73.43,83.76,92.99,97.97,98.89,58.56,42.99,73.43,83.76,92.99,97.97,98.89,98.63,98.68,86.16,192,160,8192,0.02
cora_runhuwyvwn5_VGAE,42.99,73.43,83.76,92.99,97.97,98.89,58.56,42.99,73.43,83.76,92.99,97.97,98.89,98.63,98.68,86.16,192,160,8192,0.04
cora_run64qawttn_VGAE,39.3,71.59,86.53,93.54,97.6,99.63,55.74,39.3,71.59,86.53,93.54,97.6,99.63,99.14,99.19,89.11,192,176,1024,0.04
cora_runcgzqfbsz_VGAE,42.99,73.43,83.76,92.99,97.97,98.89,58.56,42.99,73.43,83.76,92.99,97.97,98.89,98.63,98.68,86.16,192,160,8192,0.1
cora_runbth2q8v2_VGAE,42.99,73.43,83.76,92.99,97.97,98.89,58.56,42.99,73.43,83.76,92.99,97.97,98.89,98.63,98.68,86.16,192,160,16384,0.01
cora_runv45hfs9f_VGAE,39.3,71.59,86.53,93.54,97.6,99.63,55.74,39.3,71.59,86.53,93.54,97.6,99.63,99.14,99.19,89.11,192,176,1024,0.1
cora_runipdk3qm7_VGAE,42.99,73.43,83.76,92.99,97.97,98.89,58.56,42.99,73.43,83.76,92.99,97.97,98.89,98.63,98.68,86.16,192,160,16384,0.02
cora_runlgpiw9ba_VGAE,42.99,73.43,83.76,92.99,97.97,98.89,58.56,42.99,73.43,83.76,92.99,97.97,98.89,98.63,98.68,86.16,192,160,16384,0.04
cora_runmek0ncoq_VGAE,39.3,71.59,86.53,93.54,97.6,99.63,55.74,39.3,71.59,86.53,93.54,97.6,99.63,99.14,99.19,89.11,192,176,2048,0.01
cora_runemhdxg1t_VGAE,42.99,73.43,83.76,92.99,97.97,98.89,58.56,42.99,73.43,83.76,92.99,97.97,98.89,98.63,98.68,86.16,192,160,16384,0.1
cora_runkxbmpyu2_VGAE,42.99,73.43,83.76,92.99,97.97,98.89,58.56,42.99,73.43,83.76,92.99,97.97,98.89,98.63,98.68,86.16,192,176,1024,0.01
cora_run0mrbppxd_VGAE,39.3,71.59,86.53,93.54,97.6,99.63,55.74,39.3,71.59,86.53,93.54,97.6,99.63,99.14,99.19,89.11,192,176,2048,0.02
cora_runtcjkfzba_VGAE,42.99,73.43,83.76,92.99,97.97,98.89,58.56,42.99,73.43,83.76,92.99,97.97,98.89,98.63,98.68,86.16,192,176,1024,0.02
cora_runpbhlbemr_VGAE,42.99,73.43,83.76,92.99,97.97,98.89,58.56,42.99,73.43,83.76,92.99,97.97,98.89,98.63,98.68,86.16,192,176,1024,0.04
cora_runop5nvq0c_VGAE,39.3,71.59,86.53,93.54,97.6,99.63,55.74,39.3,71.59,86.53,93.54,97.6,99.63,99.14,99.19,89.11,192,176,2048,0.04
cora_runnmhbne6p_VGAE,42.99,73.43,83.76,92.99,97.97,98.89,58.56,42.99,73.43,83.76,92.99,97.97,98.89,98.63,98.68,86.16,192,176,1024,0.1
cora_run02sf412h_VGAE,42.99,73.43,83.76,92.99,97.97,98.89,58.56,42.99,73.43,83.76,92.99,97.97,98.89,98.63,98.68,86.16,192,176,2048,0.01
cora_runx628arcm_VGAE,42.99,68.63,83.76,92.99,97.97,98.89,58.56,42.99,68.63,83.76,92.99,97.97,98.89,98.63,98.68,86.16,192,176,2048,0.02
cora_rung18w3lla_VGAE,39.3,71.59,86.53,93.54,97.6,99.63,55.74,39.3,71.59,86.53,93.54,97.6,99.63,99.14,99.19,89.11,192,176,2048,0.1
cora_run5haotgbu_VGAE,42.99,68.63,83.76,92.99,97.97,98.89,58.56,42.99,68.63,83.76,92.99,97.97,98.89,98.63,98.68,86.16,192,176,2048,0.04
cora_runp56bv6c5_VGAE,42.99,68.63,83.76,92.99,97.97,98.89,58.56,42.99,68.63,83.76,92.99,97.97,98.89,98.63,98.68,86.16,192,176,2048,0.1
cora_runo8q8x35l_VGAE,42.99,68.63,83.76,92.99,97.97,98.89,58.56,42.99,68.63,83.76,92.99,97.97,98.89,98.63,98.68,86.16,192,176,4096,0.01
cora_run3n5zdv1j_VGAE,39.3,71.59,86.53,93.54,97.6,99.63,55.74,39.3,71.59,86.53,93.54,97.6,99.63,99.14,99.19,89.11,192,176,4096,0.01
cora_runloo79u58_VGAE,42.99,68.63,83.76,92.99,97.97,98.89,58.56,42.99,68.63,83.76,92.99,97.97,98.89,98.63,98.68,86.16,192,176,4096,0.02
cora_runf67879up_VGAE,42.99,68.63,83.76,92.99,97.97,98.89,58.56,42.99,68.63,83.76,92.99,97.97,98.89,98.63,98.68,86.16,192,176,4096,0.04
cora_runuw5dn3g9_VGAE,42.99,68.63,83.76,92.99,97.97,98.89,58.56,42.99,68.63,83.76,92.99,97.97,98.89,98.63,98.68,86.16,192,176,4096,0.1
cora_runm4arvbl8_VGAE,39.3,71.59,86.53,93.54,97.6,99.63,55.74,39.3,71.59,86.53,93.54,97.6,99.63,99.14,99.19,89.11,192,176,4096,0.02
cora_run7fm34lez_VGAE,42.99,68.63,83.76,92.99,97.97,98.89,58.56,42.99,68.63,83.76,92.99,97.97,98.89,98.63,98.68,86.16,192,176,8192,0.01
cora_rundaso2dqq_VGAE,42.99,68.63,83.76,88.93,97.97,98.89,58.56,42.99,68.63,83.76,88.93,97.97,98.89,98.63,98.68,86.16,192,176,8192,0.02
cora_runtcpzl71i_VGAE,42.99,68.63,83.76,88.93,97.97,98.89,58.56,42.99,68.63,83.76,88.93,97.97,98.89,98.63,98.68,86.16,192,176,8192,0.04
cora_run4vkoa29k_VGAE,39.3,71.59,86.53,93.54,97.6,99.63,55.74,39.3,71.59,86.53,93.54,97.6,99.63,99.14,99.19,89.11,192,176,4096,0.04
cora_run8hz6qwuz_VGAE,42.99,68.63,83.76,88.93,97.97,98.89,58.56,42.99,68.63,83.76,88.93,97.97,98.89,98.63,98.68,86.16,192,176,8192,0.1
cora_runqcgkux1g_VGAE,42.99,68.63,83.76,88.93,97.97,98.89,58.56,42.99,68.63,83.76,88.93,97.97,98.89,98.63,98.68,86.16,192,176,16384,0.01
cora_runnxkoxrvw_VGAE,42.99,68.63,83.76,88.93,97.97,98.89,58.56,42.99,68.63,83.76,88.93,97.97,98.89,98.63,98.68,86.16,192,176,16384,0.02
cora_runxtyr1ton_VGAE,39.3,71.59,86.53,93.54,97.6,99.63,55.74,39.3,71.59,86.53,93.54,97.6,99.63,99.14,99.19,89.11,192,176,4096,0.1
cora_runz8x1awna_VGAE,42.99,68.63,83.76,88.93,97.97,98.89,58.56,42.99,68.63,83.76,88.93,97.97,98.89,98.63,98.68,86.16,192,176,16384,0.04
cora_runu31fr555_VGAE,42.99,68.63,83.76,88.93,97.97,98.89,58.56,42.99,68.63,83.76,88.93,97.97,98.89,98.63,98.68,86.16,192,176,16384,0.1
cora_runtcsr6j68_VGAE,42.99,68.63,83.76,88.93,97.97,98.89,58.56,42.99,68.63,83.76,88.93,97.97,98.89,98.63,98.68,86.16,192,192,1024,0.01
cora_runhnxu85rm_VGAE,39.3,71.59,86.53,93.54,97.6,99.63,55.74,39.3,71.59,86.53,93.54,97.6,99.63,99.14,99.19,89.11,192,176,8192,0.01
cora_runh4cr599e_VGAE,42.99,68.63,83.76,88.93,97.97,98.89,58.56,42.99,68.63,83.76,88.93,97.97,98.89,98.63,98.68,86.16,192,192,1024,0.02
cora_runtl0zbcmc_VGAE,42.99,68.63,83.76,88.93,97.97,98.89,58.56,42.99,68.63,83.76,88.93,97.97,98.89,98.63,98.68,86.16,192,192,1024,0.04
cora_runmo6q8dg2_VGAE,42.99,68.63,83.76,88.93,97.97,98.89,58.56,42.99,68.63,83.76,88.93,97.97,98.89,98.63,98.68,86.16,192,192,1024,0.1
cora_runh4wlzsiz_VGAE,39.3,71.59,86.53,93.54,97.6,99.63,55.74,39.3,71.59,86.53,93.54,97.6,99.63,99.14,99.19,89.11,192,176,8192,0.02
cora_runplwqb9h1_VGAE,42.99,68.63,83.76,88.93,97.97,98.89,58.56,42.99,68.63,83.76,88.93,97.97,98.89,98.63,98.68,86.16,192,192,2048,0.01
cora_run66jxffwn_VGAE,42.99,68.63,83.76,88.93,97.97,98.89,58.56,42.99,68.63,83.76,88.93,97.97,98.89,98.63,98.68,86.16,192,192,2048,0.02
cora_runohuo1bwy_VGAE,42.99,68.63,83.76,88.93,97.97,98.89,58.56,42.99,68.63,83.76,88.93,97.97,98.89,98.63,98.68,86.16,192,192,2048,0.04
cora_rundxvpi3oz_VGAE,39.3,71.59,86.53,93.54,97.6,99.63,55.74,39.3,71.59,86.53,93.54,97.6,99.63,99.14,99.19,89.11,192,176,8192,0.04
cora_runtg8gjpdp_VGAE,42.99,68.63,83.76,88.93,97.97,98.89,58.56,42.99,68.63,83.76,88.93,97.97,98.89,98.63,98.68,86.16,192,192,2048,0.1
cora_runsl7d827v_VGAE,42.99,68.63,83.76,88.93,97.97,98.89,58.56,42.99,68.63,83.76,88.93,97.97,98.89,98.63,98.68,86.16,192,192,4096,0.01
cora_runpy96r0hf_VGAE,42.99,68.63,83.76,88.93,97.97,98.89,58.56,42.99,68.63,83.76,88.93,97.97,98.89,98.63,98.68,86.16,192,192,4096,0.02
cora_runrauuk5uy_VGAE,42.99,68.63,83.76,88.93,97.97,98.89,58.56,42.99,68.63,83.76,88.93,97.97,98.89,98.63,98.68,86.16,192,192,4096,0.04
cora_run14pxqrjg_VGAE,39.3,71.59,86.53,93.54,97.6,99.63,55.74,39.3,71.59,86.53,93.54,97.6,99.63,99.14,99.19,89.11,192,176,8192,0.1
cora_runymd2h3id_VGAE,42.99,68.63,83.76,88.93,97.97,98.89,58.56,42.99,68.63,83.76,88.93,97.97,98.89,98.63,98.68,86.16,192,192,4096,0.1
cora_runxznc058h_VGAE,42.99,68.63,83.76,88.93,97.97,98.89,58.56,42.99,68.63,83.76,88.93,97.97,98.89,98.63,98.68,86.16,192,192,8192,0.01
cora_run3pb3to4n_VGAE,42.99,68.63,83.76,88.93,97.97,98.89,58.56,42.99,68.63,83.76,88.93,97.97,98.89,98.63,98.68,86.16,192,192,8192,0.02
cora_runjr3ir956_VGAE,39.3,71.59,86.53,93.54,97.6,99.63,55.74,39.3,71.59,86.53,93.54,97.6,99.63,99.14,99.19,89.11,192,176,16384,0.01
cora_runhy9cdem4_VGAE,42.99,68.63,83.76,88.93,97.97,98.89,58.56,42.99,68.63,83.76,88.93,97.97,98.89,98.63,98.68,86.16,192,192,8192,0.04
cora_runonsejpdl_VGAE,42.99,68.63,83.76,88.93,97.97,98.89,58.56,42.99,68.63,83.76,88.93,97.97,98.89,98.63,98.68,86.16,192,192,8192,0.1
cora_runtc9two64_VGAE,40.04,66.42,86.53,93.54,97.6,99.63,56.01,40.04,66.42,86.53,93.54,97.6,99.63,99.14,99.19,89.11,192,176,16384,0.02
cora_runwsd0vjmm_VGAE,42.99,68.63,83.76,88.93,97.97,98.89,58.56,42.99,68.63,83.76,88.93,97.97,98.89,98.63,98.68,86.16,192,192,16384,0.01
cora_runfxcp4kcg_VGAE,42.99,68.63,83.76,88.93,97.97,98.89,58.56,42.99,68.63,83.76,88.93,97.97,98.89,98.63,98.68,86.16,192,192,16384,0.02
cora_runtaz8e8q7_VGAE,42.99,68.63,83.76,88.93,97.97,98.89,58.56,42.99,68.63,83.76,88.93,97.97,98.89,98.63,98.68,86.16,192,192,16384,0.04
cora_run5azvwlhg_VGAE,40.04,66.42,86.53,93.54,97.6,99.63,56.01,40.04,66.42,86.53,93.54,97.6,99.63,99.14,99.19,89.11,192,176,16384,0.04
cora_runbia6u2oz_VGAE,42.99,68.63,83.76,88.93,97.97,98.89,58.56,42.99,68.63,83.76,88.93,97.97,98.89,98.63,98.68,86.16,192,192,16384,0.1
cora_runq5z1u6rh_VGAE,40.04,66.42,86.53,93.54,97.6,99.63,56.01,40.04,66.42,86.53,93.54,97.6,99.63,99.14,99.19,89.11,192,176,16384,0.1
cora_runtrwyw60l_VGAE,40.04,66.42,86.53,93.54,97.6,99.63,56.01,40.04,66.42,86.53,93.54,97.6,99.63,99.14,99.19,89.11,192,192,1024,0.01
cora_runp2bknm8w_VGAE,40.04,66.42,86.53,93.54,97.6,99.63,56.01,40.04,66.42,86.53,93.54,97.6,99.63,99.14,99.19,89.11,192,192,1024,0.02
cora_runfjb0bo2q_VGAE,40.04,66.42,86.53,93.54,97.6,99.63,56.01,40.04,66.42,86.53,93.54,97.6,99.63,99.14,99.19,89.11,192,192,1024,0.04
cora_run3ct9td3w_VGAE,40.04,66.42,86.53,93.54,97.6,99.63,56.01,40.04,66.42,86.53,93.54,97.6,99.63,99.14,99.19,89.11,192,192,1024,0.1
cora_run7yjh3ity_VGAE,40.04,66.42,86.53,93.54,97.6,99.63,56.01,40.04,66.42,86.53,93.54,97.6,99.63,99.14,99.19,89.11,192,192,2048,0.01
cora_run0xklhvog_VGAE,40.04,66.42,86.53,93.54,97.6,99.63,56.01,40.04,66.42,86.53,93.54,97.6,99.63,99.14,99.19,89.11,192,192,2048,0.02
cora_runz4yolsep_VGAE,40.04,66.42,86.53,93.54,97.6,99.63,56.01,40.04,66.42,86.53,93.54,97.6,99.63,99.14,99.19,89.11,192,192,2048,0.04
cora_runa4g04g4m_VGAE,40.04,66.42,86.53,93.54,97.6,99.63,56.01,40.04,66.42,86.53,93.54,97.6,99.63,99.14,99.19,89.11,192,192,2048,0.1
cora_runk0sgdlnp_VGAE,40.04,66.42,86.53,93.54,97.6,99.63,56.01,40.04,66.42,86.53,93.54,97.6,99.63,99.14,99.19,89.11,192,192,4096,0.01
cora_run121863wq_VGAE,40.04,66.42,86.53,93.54,97.6,99.63,56.01,40.04,66.42,86.53,93.54,97.6,99.63,99.14,99.19,89.11,192,192,4096,0.02
cora_runf62eii66_VGAE,40.04,66.42,86.53,93.54,97.6,99.63,56.01,40.04,66.42,86.53,93.54,97.6,99.63,99.14,99.19,89.11,192,192,4096,0.04
cora_runjp7nv7tv_VGAE,40.04,66.42,86.53,93.54,97.6,99.63,56.01,40.04,66.42,86.53,93.54,97.6,99.63,99.14,99.19,89.11,192,192,4096,0.1
cora_runcbdywagh_VGAE,40.04,66.42,86.53,93.54,97.6,99.63,56.01,40.04,66.42,86.53,93.54,97.6,99.63,99.14,99.19,89.11,192,192,8192,0.01
cora_runo9r62vwm_VGAE,40.04,66.42,86.53,93.54,97.6,99.63,56.01,40.04,66.42,86.53,93.54,97.6,99.63,99.14,99.19,89.11,192,192,8192,0.02
cora_run2kzcdi50_VGAE,40.04,66.42,86.53,93.54,97.6,99.63,56.01,40.04,66.42,86.53,93.54,97.6,99.63,99.14,99.19,89.11,192,192,8192,0.04
cora_rundf92g3my_VGAE,40.04,66.42,86.53,93.54,97.6,99.63,56.01,40.04,66.42,86.53,93.54,97.6,99.63,99.14,99.19,89.11,192,192,8192,0.1
cora_runka8fluqn_VGAE,40.04,66.42,86.53,93.54,97.6,99.63,56.01,40.04,66.42,86.53,93.54,97.6,99.63,99.14,99.19,89.11,192,192,16384,0.01
