Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc,out_channels,hidden_channels,epochs
cora_runcws9wkrh_GraphSage,60.52,65.68,84.32,94.46,97.23,98.34,57.89,60.52,65.68,84.32,94.46,97.23,98.34,98.84,98.65,94.19,512,512,10000
cora_runbswgukrb_GraphSage,54.98,63.47,84.13,95.2,97.42,98.34,57.7,54.98,63.47,84.13,95.2,97.42,98.34,98.83,98.64,94.19,256,256,10000
cora_runob6m96lq_GraphSage,47.05,66.24,84.69,95.2,97.42,98.34,59.34,47.05,66.24,84.69,95.2,97.42,98.34,98.83,98.73,94.19,256,256,10000
cora_run9cobn7l0_GraphSage,47.05,66.24,83.03,95.2,97.05,98.34,59.34,47.05,66.24,83.03,95.2,97.05,98.34,98.83,98.61,94.37,256,256,10000
cora_runrg22yqim_GraphSage,47.05,66.24,83.03,95.2,97.23,98.34,59.34,47.05,66.24,83.03,95.2,97.23,98.34,98.83,98.61,94.37,256,256,10000
Best,60.52,66.24,84.69,95.2,97.42,98.34,59.34,60.52,66.24,84.69,95.2,97.42,98.34,98.84,98.73,94.37,512,512,10000
