Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc,base_lr,batch_size,out_channels,hidden_channels,heads,negative_slope,dropout,num_layers,epochs
cora_runhqcjk5zr_GAT,73.06,81.92,88.01,90.77,91.88,91.88,78.85,73.06,81.92,88.01,90.77,91.88,91.88,96.23,97.28,83.21,0.01,1024,32,32,2,0.1,0.1,7,10000
cora_run4qlxbvof_GAT,66.05,82.1,88.01,90.77,91.33,91.88,81.53,66.05,82.1,88.01,90.77,91.33,91.88,96.43,97.27,83.21,0.01,1024,32,32,4,0.2,0.1,7,10000
cora_runfnw0ew4a_GAT,73.06,81.92,88.01,90.77,91.88,91.88,78.85,73.06,81.92,88.01,90.77,91.88,91.88,96.23,97.28,83.21,0.01,1024,32,32,2,0.2,0.0,5,10000
cora_runa3ii3o7g_GAT,66.05,82.1,88.01,90.77,91.33,91.88,81.53,66.05,82.1,88.01,90.77,91.33,91.88,96.43,97.27,83.21,0.01,1024,32,32,2,0.1,0.0,5,10000
cora_run4k5auzd4_GAT,73.06,81.92,88.01,90.77,91.88,91.88,78.85,73.06,81.92,88.01,90.77,91.88,91.88,96.23,97.28,83.21,0.01,1024,32,32,2,0.2,0.0,6,10000
cora_runobydi6ot_GAT,66.05,82.1,88.01,90.77,91.33,91.88,81.53,66.05,82.1,88.01,90.77,91.33,91.88,96.43,97.27,83.21,0.01,1024,32,32,2,0.1,0.0,6,10000
cora_runlyfis4ip_GAT,73.06,81.92,88.01,90.77,91.88,91.88,78.85,73.06,81.92,88.01,90.77,91.88,91.88,96.23,97.28,83.21,0.01,1024,32,32,2,0.2,0.0,7,10000
cora_runh3uvvfxz_GAT,66.05,82.1,88.01,90.77,91.33,91.88,81.53,66.05,82.1,88.01,90.77,91.33,91.88,96.43,97.27,83.21,0.01,1024,32,32,2,0.1,0.0,7,10000
cora_runnepzf72g_GAT,73.06,81.92,88.01,90.77,91.88,91.88,78.85,73.06,81.92,88.01,90.77,91.88,91.88,96.23,97.28,83.21,0.01,1024,32,32,2,0.2,0.1,5,10000
cora_runx5pjdnik_GAT,66.05,82.1,88.01,90.77,91.33,91.88,81.53,66.05,82.1,88.01,90.77,91.33,91.88,96.43,97.27,83.21,0.01,1024,32,32,2,0.1,0.1,5,10000
cora_run341yfz5z_GAT,73.06,81.92,88.01,90.77,91.88,91.88,78.85,73.06,81.92,88.01,90.77,91.88,91.88,96.23,97.28,83.21,0.01,1024,32,32,2,0.2,0.1,6,10000
cora_run27g6li21_GAT,66.05,82.1,88.01,90.77,91.33,91.88,81.53,66.05,82.1,88.01,90.77,91.33,91.88,96.43,97.27,83.21,0.01,1024,32,32,2,0.1,0.1,6,10000
cora_runuth718xu_GAT,73.06,81.92,88.01,90.77,91.88,91.88,78.85,73.06,81.92,88.01,90.77,91.88,91.88,96.23,97.28,83.21,0.01,1024,32,32,2,0.2,0.1,7,10000
cora_runsndd4z8r_GAT,73.25,82.1,88.01,90.77,91.33,91.88,78.94,73.25,82.1,88.01,90.77,91.33,91.88,96.23,97.27,83.21,0.01,1024,32,32,2,0.1,0.1,7,10000
cora_runfngr1w02_GAT,73.06,81.92,88.01,90.77,91.88,91.88,78.85,73.06,81.92,88.01,90.77,91.88,91.88,96.23,97.28,83.21,0.01,1024,32,32,8,0.1,0.0,5,10000
cora_runh5f1wjt1_GAT,73.25,82.1,88.01,90.77,91.33,91.88,78.94,73.25,82.1,88.01,90.77,91.33,91.88,96.23,97.55,83.21,0.01,1024,32,32,2,0.2,0.0,5,10000
cora_run8y1nuqau_GAT,73.06,81.92,88.01,90.77,91.88,91.88,78.85,73.06,81.92,88.01,90.77,91.88,91.88,96.23,97.51,83.21,0.01,1024,32,32,8,0.1,0.0,6,10000
cora_runh0yoqoj3_GAT,73.25,82.1,88.01,90.77,91.33,91.88,78.94,73.25,82.1,88.01,90.77,91.33,91.88,96.23,97.55,83.21,0.01,1024,32,32,2,0.2,0.0,6,10000
cora_runcy8umim5_GAT,73.06,81.92,88.01,90.77,91.88,92.07,78.85,73.06,81.92,88.01,90.77,91.88,92.07,96.23,97.44,83.21,0.01,1024,32,32,8,0.1,0.0,7,10000
