Metric,Hits@1,Hits@3,Hits@10,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit100,AUC,AP,acc
cora_0hoa2z9q_GraphSage,0.0114,0.0114,0.0608,0.4221,0.0322,0.0114,0.0114,0.0608,0.4221,0.5419,0.5394,0.52471
cora_zaovs49p_GraphSage,0.0038,0.0342,0.0722,0.5247,0.0383,0.0038,0.0342,0.0722,0.5247,0.596,0.5893,0.56274
cora_skr66f5f_GraphSage,0.0038,0.019,0.057,0.5057,0.0301,0.0038,0.019,0.057,0.5057,0.5792,0.5636,0.54183
cora_l64vp6ty_GraphSage,0.0304,0.0456,0.0798,0.4677,0.0551,0.0304,0.0456,0.0798,0.4677,0.5704,0.5858,0.53992
cora_vi89cxal_GraphSage,0.0608,0.2738,0.6692,0.9544,0.2228,0.0608,0.2738,0.6692,0.9544,0.929,0.9259,0.87072
cora_k2bkzsnq_GraphSage,0.4221,0.4677,0.616,0.943,0.4833,0.4221,0.4677,0.616,0.943,0.9248,0.936,0.84411
cora_s3pbaxdn_GraphSage,0.3802,0.4753,0.7338,0.9468,0.4763,0.3802,0.4753,0.7338,0.9468,0.9237,0.9384,0.84981
Best,0.4221,0.4753,0.7338,0.9544,0.4833,0.4221,0.4753,0.7338,0.9544,0.929,0.9384,0.87072
