Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc,out_channels,hidden_channels,base_lr,batch_size,epochs
cora_runme6vkca9_GAE,81.55,94.28,97.05,97.23,98.15,99.08,86.25,81.55,94.28,97.05,97.23,98.15,99.08,99.31,99.5,94.93,128,128,0.01,1024,10000
cora_runih26u2q0_GAE,92.44,95.39,96.86,97.42,97.79,99.08,93.5,92.44,95.39,96.86,97.42,97.79,99.08,99.41,99.34,96.68,32,64,0.1,4096,10000
cora_run4cczdfrc_GAE,92.44,95.39,96.86,97.42,97.79,99.08,93.5,92.44,95.39,96.86,97.42,97.79,99.08,99.41,99.34,96.68,32,128,0.1,4096,10000
cora_run33j0zviz_GAE,81.55,95.39,96.86,97.23,98.15,99.08,86.25,81.55,95.39,96.86,97.23,98.15,99.08,99.31,99.5,94.93,128,256,0.01,1024,10000
cora_runhw2sfzfr_GAE,92.44,95.39,96.86,97.42,97.79,99.08,93.5,92.44,95.39,96.86,97.42,97.79,99.08,99.41,99.34,96.68,32,256,0.1,4096,10000
cora_runkt3qzct7_GAE,92.44,95.39,96.86,97.42,97.79,99.08,93.5,92.44,95.39,96.86,97.42,97.79,99.08,99.41,99.34,96.68,64,32,0.1,4096,10000
cora_run5y59hm25_GAE,81.55,95.39,96.86,97.23,98.15,99.08,86.25,81.55,95.39,96.86,97.23,98.15,99.08,99.31,99.5,94.93,256,32,0.01,1024,10000
cora_run967e0ig1_GAE,92.44,95.39,96.86,97.42,97.79,99.08,93.5,92.44,95.39,96.86,97.42,97.79,99.08,99.41,99.34,96.68,64,64,0.1,4096,10000
cora_runhf54jx1n_GAE,92.44,95.39,96.86,97.42,97.79,99.08,93.5,92.44,95.39,96.86,97.42,97.79,99.08,99.41,99.34,96.68,64,128,0.1,4096,10000
cora_runvsydelqc_GAE,92.44,95.39,96.86,97.42,97.79,99.08,93.5,92.44,95.39,96.86,97.42,97.79,99.08,99.41,99.34,96.68,64,256,0.1,4096,10000
cora_rundvacsyo4_GAE,81.55,95.39,96.86,97.23,98.15,99.08,86.25,81.55,95.39,96.86,97.23,98.15,99.08,99.31,99.5,94.93,256,64,0.01,1024,10000
cora_run3puakrzj_GAE,92.44,95.39,96.86,97.42,97.79,99.08,93.5,92.44,95.39,96.86,97.42,97.79,99.08,99.41,99.34,96.68,128,32,0.1,4096,10000
cora_runejiciah0_GAE,92.44,95.39,96.86,97.42,97.79,99.08,93.5,92.44,95.39,96.86,97.42,97.79,99.08,99.41,99.34,96.68,128,64,0.1,4096,10000
cora_run885zcue1_GAE,81.55,95.39,96.86,97.23,98.15,99.08,86.25,81.55,95.39,96.86,97.23,98.15,99.08,99.31,99.5,94.93,256,128,0.01,1024,10000
cora_runnilnngdk_GAE,92.44,95.39,96.86,97.42,97.79,99.08,93.5,92.44,95.39,96.86,97.42,97.79,99.08,99.41,99.34,96.68,128,128,0.1,4096,10000
cora_runkb01zzwk_GAE,92.44,95.39,96.86,97.42,97.79,99.08,93.5,92.44,95.39,96.86,97.42,97.79,99.08,99.41,99.34,96.68,128,256,0.1,4096,10000
cora_rundtvxruaz_GAE,88.75,96.49,96.86,97.23,98.15,99.08,90.34,88.75,96.49,96.86,97.23,98.15,99.08,99.31,99.5,96.86,256,256,0.01,1024,10000
cora_runx45ty4id_GAE,92.44,95.39,96.86,97.42,97.79,99.08,93.5,92.44,95.39,96.86,97.42,97.79,99.08,99.41,99.34,96.68,256,32,0.1,4096,10000
cora_runkjg4ak5d_GAE,88.75,96.49,96.86,97.23,98.15,99.08,90.34,88.75,96.49,96.86,97.23,98.15,99.08,99.31,99.5,96.86,32,32,0.01,4096,10000
cora_run6e1ycwl0_GAE,92.44,95.39,96.86,97.42,97.79,99.08,93.5,92.44,95.39,96.86,97.42,97.79,99.08,99.41,99.34,96.68,256,64,0.1,4096,10000
cora_runjd1c5jj2_GAE,88.75,96.49,96.86,97.23,98.15,99.08,90.34,88.75,96.49,96.86,97.23,98.15,99.08,99.31,99.5,96.86,32,64,0.01,4096,10000
cora_runld71fh71_GAE,92.44,95.39,96.86,97.42,97.79,99.08,93.5,92.44,95.39,96.86,97.42,97.79,99.08,99.41,99.34,96.68,256,128,0.1,4096,10000
