Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc,out_channels,hidden_channels,batch_size,lr,batch_size_sampler,walk_length,num_steps,sample_coverage,epochs
cora_runh27avvbt_VGAE,0.0,0.0,30.16,48.17,67.37,86.9,13.07,0.0,0.0,30.16,48.17,67.93,88.73,89.04,88.66,75.0,32,32,32,0.01,1024,10,10,100,200
cora_run6ijwv7ur_VGAE,0.0,0.0,25.58,35.67,54.99,81.42,10.39,0.0,11.82,25.58,35.67,58.66,87.34,85.71,85.06,75.03,32,32,32,0.01,1024,10,10,100,200
cora_runnae6wio2_VGAE,0.0,0.0,30.61,45.65,67.9,88.41,11.6,0.0,0.0,30.61,45.65,70.92,87.47,88.35,88.36,77.74,32,32,32,0.01,1024,10,10,100,200
Best,0.0,0.0,30.61,48.17,67.9,88.41,13.07,0.0,11.82,30.61,48.17,70.92,88.73,89.04,88.66,77.74,32,32,32,0.01,1024,10,10,100,200
