Metric,Hits@1,Hits@3,Hits@10,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit100,AUC,AP
node2vec_mrr_840ba7ce-54f6-4f3b-a1df-e2c51e41e5c1,0.0654,0.0787,0.1131,0.2585,0.0829,0.0654,0.0787,0.1131,0.2585,0.8515,0.835
node2vec_mrr_7950f7a7-2dd7-4c03-a94c-47e96632dd66,0.0163,0.0234,0.0397,0.3407,0.0311,0.0163,0.0234,0.0397,0.3407,0.9004,0.8794
node2vec_mrr_d54560e7-8afe-45c1-8379-9d47db809aaa,0.0102,0.0183,0.0397,0.3947,0.0296,0.0102,0.0183,0.0397,0.3947,0.9124,0.8959
node2vec_mrr_16fb987d-1455-42f8-8aae-cf8e166f724f,0.0176,0.0275,0.0379,0.2936,0.0314,0.0176,0.0275,0.0379,0.2936,0.8937,0.8726
node2vec_mrr_a3973d84-1421-4b8b-93b7-9dceabce1587,0.0604,0.0718,0.0817,0.3527,0.0777,0.0604,0.0718,0.0817,0.3527,0.918,0.9046
node2vec_mrr_2006c641-322a-42d4-8a57-a0c2be6e5f98,0.0181,0.0328,0.067,0.3922,0.0411,0.0181,0.0328,0.067,0.3922,0.9164,0.9025
node2vec_mrr_d900e181-faf9-47f5-8862-fac0a7a57abe,0.0216,0.0257,0.0588,0.3919,0.0413,0.0216,0.0257,0.0588,0.3919,0.9104,0.8974
node2vec_mrr_3b3e9ad4-daa1-47e9-8960-c923dfd32128,0.0135,0.0178,0.0316,0.2404,0.0235,0.0135,0.0178,0.0316,0.2404,0.8603,0.8297
node2vec_mrr_c11e83ad-9446-4fe7-8bbc-3f3fb7172f2c,0.0204,0.025,0.0354,0.3394,0.034,0.0204,0.025,0.0354,0.3394,0.8972,0.8777
node2vec_mrr_ec0b404d-b695-4073-b874-c6e2b30eeccb,0.029,0.0298,0.0476,0.3079,0.0416,0.029,0.0298,0.0476,0.3079,0.8956,0.8764
node2vec_mrr_9c877e30-2fb7-423e-934f-d19bc3c354f4,0.0155,0.0178,0.0372,0.3601,0.0312,0.0155,0.0178,0.0372,0.3601,0.9116,0.8912
node2vec_mrr_fe0e9e03-c8f9-4ebe-bd7f-e77860c84213,0.0109,0.0176,0.0392,0.3165,0.0261,0.0109,0.0176,0.0392,0.3165,0.8876,0.8661
node2vec_mrr_b49cfbdd-2ebf-4876-aab3-63f7a065ef7d,0.0132,0.0178,0.0234,0.2409,0.0232,0.0132,0.0178,0.0234,0.2409,0.8697,0.8401
node2vec_mrr_467f1467-3ab0-4e35-a44c-66536f87ca3d,0.0183,0.0211,0.0265,0.2554,0.0274,0.0183,0.0211,0.0265,0.2554,0.8848,0.8556
node2vec_mrr_dcbe25a1-74f3-44bb-b623-f93c6869de1e,0.0229,0.0283,0.0415,0.2715,0.0349,0.0229,0.0283,0.0415,0.2715,0.8933,0.8692
node2vec_mrr_bacbfc4d-cca9-4721-a679-9cec632efb86,0.0138,0.015,0.0328,0.3514,0.0307,0.0138,0.015,0.0328,0.3514,0.9047,0.8883
node2vec_mrr_eda30cbe-72ed-42d4-a1bd-f7db85e45048,0.0176,0.0234,0.0351,0.3089,0.0312,0.0176,0.0234,0.0351,0.3089,0.8963,0.8746
node2vec_mrr_f0ce978c-c098-45c3-a414-ae5c597609de,0.0153,0.0535,0.1115,0.3112,0.0465,0.0153,0.0535,0.1115,0.3112,0.9068,0.8909
node2vec_mrr_c5b49191-8da2-4414-b768-c0eeddf562bc,0.0135,0.0211,0.029,0.2753,0.0257,0.0135,0.0211,0.029,0.2753,0.883,0.8553
node2vec_mrr_04a80f99-d30f-4cdb-bc4c-7b30a99a4156,0.013,0.0183,0.0283,0.3384,0.0253,0.013,0.0183,0.0283,0.3384,0.8962,0.87
node2vec_mrr_7c1a2a67-109d-4976-86aa-f266b7406702,0.0214,0.0298,0.0448,0.3555,0.0377,0.0214,0.0298,0.0448,0.3555,0.9079,0.8897
node2vec_mrr_4206ae8d-e793-486d-b552-9490cd724fb7,0.0122,0.027,0.0357,0.3262,0.0287,0.0122,0.027,0.0357,0.3262,0.8911,0.8691
node2vec_mrr_d3ab0de8-b96e-41d6-b16c-f77f9339a2ac,0.027,0.0326,0.0484,0.3909,0.0463,0.027,0.0326,0.0484,0.3909,0.9088,0.896
node2vec_mrr_91923ef7-e4dd-4aed-bb9c-7fa85b3faebc,0.0583,0.1207,0.1734,0.3104,0.104,0.0583,0.1207,0.1734,0.3104,0.8996,0.889
node2vec_mrr_fb34ad20-5922-491d-a1fc-2d7506f877e1,0.0255,0.0336,0.0486,0.3804,0.0422,0.0255,0.0336,0.0486,0.3804,0.9031,0.8872
node2vec_mrr_c408ca69-4aae-41c5-84c8-264f5d5b2bf6,0.029,0.0418,0.0614,0.3527,0.0484,0.029,0.0418,0.0614,0.3527,0.9104,0.8948
node2vec_mrr_7720abc4-db56-4662-9384-9c43058e2720,0.0239,0.0448,0.0945,0.398,0.0522,0.0239,0.0448,0.0945,0.398,0.9237,0.9107
node2vec_mrr_4c62f399-d7ad-4994-b339-b07cd2d87c3e,0.0122,0.0471,0.1006,0.397,0.0437,0.0122,0.0471,0.1006,0.397,0.9173,0.906
node2vec_mrr_98739319-aa8f-4dd7-bf0a-1b7ec489e4da,0.0158,0.0188,0.0364,0.2839,0.0279,0.0158,0.0188,0.0364,0.2839,0.8903,0.8664
Best,0.1347,0.2442,0.2799,0.4764,0.1985,0.1347,0.2442,0.2799,0.4764,0.9331,0.927
