Metric,Hits@1,Hits@3,Hits@10,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit100,AUC,AP
node2vec_mrr_f767b14b-f445-41d0-bd29-d7e7eed8b242,0.0382,0.0466,0.07,0.4092,0.058,0.0382,0.0466,0.07,0.4092,0.9241,0.9103
node2vec_mrr_4629101a-4efc-470b-8b93-ceec07df3d30,0.1445,0.4753,0.6464,0.8441,0.3454,0.1445,0.4753,0.6464,0.8441,0.8521,0.8922
node2vec_mrr_d48c938e-7322-49f5-a0f6-2fb510e229be,0.2852,0.3726,0.4867,0.8289,0.3509,0.2852,0.3726,0.4867,0.8289,0.8282,0.8693
node2vec_mrr_4b4da28b-2e3a-400d-808e-a52efb1ede27,0.1863,0.4829,0.5817,0.8441,0.3579,0.1863,0.4829,0.5817,0.8441,0.8514,0.8897
node2vec_mrr_ef6365f9-7e9f-465e-b309-e5a48e23f3a2,0.2243,0.4677,0.616,0.8517,0.3693,0.2243,0.4677,0.616,0.8517,0.8484,0.8913
node2vec_mrr_70b16a1b-0ef2-48a7-babb-101ad3b73a68,0.0359,0.0509,0.1042,0.4054,0.0612,0.0359,0.0509,0.1042,0.4054,0.9219,0.9108
node2vec_mrr_23ba0dfd-bafc-4e00-93aa-63255f85d21f,0.3612,0.3916,0.5665,0.8289,0.4186,0.3612,0.3916,0.5665,0.8289,0.8354,0.8813
node2vec_mrr_92b58540-6a43-4a09-9e94-4cc15adc4135,0.3536,0.3916,0.6084,0.8327,0.4307,0.3536,0.3916,0.6084,0.8327,0.834,0.8805
node2vec_mrr_32cd1220-6d8d-441c-9db3-78a900b67f0a,0.1901,0.4905,0.597,0.8555,0.3617,0.1901,0.4905,0.597,0.8555,0.8573,0.8936
node2vec_mrr_981388f1-c84d-4ab7-a6cc-7e9175aaf3dd,0.057,0.3422,0.5437,0.8289,0.2107,0.057,0.3422,0.5437,0.8289,0.8272,0.8601
node2vec_mrr_60c6f098-d36c-42bf-939a-261285bb8846,0.0211,0.0318,0.0456,0.2842,0.0359,0.0211,0.0318,0.0456,0.2842,0.9015,0.8781
node2vec_mrr_bfb8dfa5-e682-45c7-8d78-14f2268ac28c,0.3346,0.4297,0.5894,0.8479,0.4236,0.3346,0.4297,0.5894,0.8479,0.844,0.8889
node2vec_mrr_f7b16ff1-5b94-4426-ae0f-ef8c8b301ea6,0.2548,0.3878,0.5589,0.8821,0.3493,0.2548,0.3878,0.5589,0.8821,0.8697,0.8944
node2vec_mrr_5946c2c0-62a4-4abd-bf2f-0320ea4c972a,0.0798,0.327,0.5551,0.8783,0.2308,0.0798,0.327,0.5551,0.8783,0.8729,0.8904
node2vec_mrr_8db84cbc-2e76-4b69-bd69-62d1bda0e33e,0.0266,0.27,0.635,0.8555,0.1979,0.0266,0.27,0.635,0.8555,0.8531,0.879
node2vec_mrr_624392a8-3999-4cc0-9867-208708e8e823,0.0191,0.0278,0.0461,0.3621,0.037,0.0191,0.0278,0.0461,0.3621,0.9157,0.8975
node2vec_mrr_d74f6378-45ac-4f37-8fa0-bcce422844c4,0.3346,0.5057,0.5856,0.8289,0.4261,0.3346,0.5057,0.5856,0.8289,0.8458,0.8889
node2vec_mrr_02284775-872b-43cb-97fc-df04a4ebb8c6,0.1901,0.3384,0.6312,0.8327,0.3093,0.1901,0.3384,0.6312,0.8327,0.8438,0.8812
node2vec_mrr_9bffb792-a6c2-45ec-b628-89e8a6f3ca85,0.1635,0.3688,0.5589,0.8403,0.2967,0.1635,0.3688,0.5589,0.8403,0.8452,0.88
node2vec_mrr_400acdf4-4d8c-4ab3-a50b-0f8b7b0bea1e,0.2243,0.3954,0.5551,0.8517,0.344,0.2243,0.3954,0.5551,0.8517,0.8557,0.8935
node2vec_mrr_81d382a5-912b-4e7b-8fa9-6cf4f6244874,0.0178,0.0237,0.067,0.3626,0.0375,0.0178,0.0237,0.067,0.3626,0.9108,0.8938
node2vec_mrr_7d56ade0-e64a-496b-8cd9-33cf15a52722,0.0351,0.0397,0.068,0.3639,0.0529,0.0351,0.0397,0.068,0.3639,0.9104,0.8955
node2vec_mrr_2b63e134-7f0b-4877-bc71-a573c4d7763d,0.0145,0.0318,0.07,0.3603,0.0378,0.0145,0.0318,0.07,0.3603,0.9112,0.8956
node2vec_mrr_476fa839-45e1-44ae-8999-98b0c75719ad,0.0331,0.0413,0.0568,0.3542,0.0494,0.0331,0.0413,0.0568,0.3542,0.9134,0.8962
node2vec_mrr_0d963ea8-e82d-480d-8ba1-8c9a75d070cd,0.0115,0.0265,0.0621,0.369,0.0347,0.0115,0.0265,0.0621,0.369,0.91,0.8942
node2vec_mrr_4c855c8e-aea2-4a06-8670-1ef193a7ef48,0.0117,0.028,0.0433,0.3626,0.0331,0.0117,0.028,0.0433,0.3626,0.9141,0.8951
node2vec_mrr_ae35d0b7-1c78-4fc3-95b4-ddcc053ba5d2,0.0127,0.0211,0.0306,0.2595,0.0245,0.0127,0.0211,0.0306,0.2595,0.8903,0.8593
node2vec_mrr_53a77ab6-e61d-4793-9377-dceebebaa4e7,0.027,0.0504,0.0756,0.4031,0.0497,0.027,0.0504,0.0756,0.4031,0.9155,0.9028
node2vec_mrr_911d5a07-a2a5-4d46-b627-a8065757e399,0.014,0.028,0.0466,0.2928,0.0333,0.014,0.028,0.0466,0.2928,0.909,0.8866
node2vec_mrr_3e4638ff-2aff-4053-8f25-8bd9e8ab9ef5,0.0272,0.0507,0.0851,0.4171,0.0519,0.0272,0.0507,0.0851,0.4171,0.9215,0.9087
node2vec_mrr_974116e2-7fef-4c03-b0c2-ec68a431df4a,0.0199,0.0349,0.0624,0.3573,0.0433,0.0199,0.0349,0.0624,0.3573,0.9005,0.8845
node2vec_mrr_5bf7a265-1085-452d-aceb-54338d3e1ba5,0.0359,0.04,0.0563,0.3751,0.0508,0.0359,0.04,0.0563,0.3751,0.9052,0.8901
node2vec_mrr_fa00863c-12cf-4a55-ad1e-02233f175aa0,0.0176,0.025,0.0448,0.2674,0.0325,0.0176,0.025,0.0448,0.2674,0.8925,0.865
node2vec_mrr_b4101bdb-b826-4988-80a5-95dc8f948858,0.0229,0.0374,0.0565,0.3496,0.0421,0.0229,0.0374,0.0565,0.3496,0.9146,0.8946
node2vec_mrr_18eefda0-9f82-4022-af72-4ee1240d743c,0.0265,0.0537,0.0805,0.3789,0.0539,0.0265,0.0537,0.0805,0.3789,0.9154,0.9034
node2vec_mrr_2a19e36a-09ef-40f2-860c-0666e205b4a4,0.0242,0.0321,0.0415,0.3506,0.0384,0.0242,0.0321,0.0415,0.3506,0.9067,0.8863
node2vec_mrr_35cbbc10-f9b6-4b32-8c62-b511d8ecb0da,0.0267,0.0545,0.0896,0.4179,0.0559,0.0267,0.0545,0.0896,0.4179,0.9202,0.9094
node2vec_mrr_c1ef5ce0-85d6-4e70-b704-2b91740633c0,0.0191,0.0413,0.0547,0.372,0.0425,0.0191,0.0413,0.0547,0.372,0.9046,0.8897
node2vec_mrr_61326a34-e6a9-4332-83ec-ff611aed2ea9,0.0237,0.0285,0.056,0.314,0.0393,0.0237,0.0285,0.056,0.314,0.8987,0.8794
