Metric,InverseRA_acc,CN_acc,AA_acc,RA_acc,Ben_PPR_acc,SymPPR_acc,shortest_path_acc,katz_apro_acc,katz_close_acc,pairwise_pred_acc,node2vec_acc
pubmed_0a90d660-8d07-43c4-a360-1e5f045b3edd,0.498194932937622,0.5870938897132874,0.498194932937622,0.498194932937622,0.5121841430664062,0.5135378837585449,0.4183213114738464,0.8240072131156921,0.4183213114738464,0.0,0.0
pubmed_6e810d5a-9783-483a-b42e-82919fa08fbb,0.498194932937622,0.5870938897132874,0.498194932937622,0.498194932937622,0.5121841430664062,0.5135378837585449,0.4183213114738464,0.8240072131156921,0.4183213114738464,0.0,0.7436823104693141
pubmed_742fa871-2d4e-4381-8f53-c57a1a7fd7c8,,,,,,,,,,,0.7393953068592057
pubmed_8e8dfe97-55eb-44e8-8922-82f6fa9d4684,,,,,,,,,,,0.7393953068592057
pubmed_aad24a8d-f64c-4fce-b2b5-d724448b9a9e,,,,,,,,,,,0.7538357400722022
pubmed_1bcd11fd-96f1-4554-bd48-36ba15bdb2b8,,,,,,,,,,,0.7475180505415162
pubmed_865b84a0-fa4a-4816-9a7e-9c4c0d3ca545,,,,,,,,,,,0.7421028880866426
pubmed_b8ee798c-79b0-45dc-a30c-564ef9a23f5e,,,,,,,,,,,0.7603790613718412
pubmed_99f7ca21-a3d8-48d8-9773-5def795c388f,,,,,,,,,,,0.7644404332129964
pubmed_945b0c10-3411-42b0-a797-a729fe69ddc8,,,,,,,,,,,0.7551895306859205
pubmed_1760bca7-24f5-4829-86f2-67438bd49ac9,,,,,,,,,,,0.7369133574007221
pubmed_9966818d-b7e3-4547-b7f0-e5ee210b8514,,,,,,,,,,,0.7317238267148014
pubmed_85a491f9-24bb-437b-a8dd-d1620ddded6c,,,,,,,,,,,0.7459386281588448
pubmed_5e6ce583-68cd-4ebf-9b1c-4cd2ca0eb188,,,,,,,,,,,0.7680608365019012
pubmed_75e7dd3f-f810-4d69-a04a-0e3f5dd65013,,,,,,,,,,,0.7718631178707225
pubmed_5a7c674b-33cf-4867-93ff-6653b2cce9e2,,,,,,,,,,,0.7604562737642585
pubmed_452e1627-7739-4c38-9184-43af13dda240,,,,,,,,,,,0.7623574144486692
pubmed_0c9e6764-a4d1-435d-aaed-fdb9e1169972,,,,,,,,,,,0.7699619771863118
pubmed_10cc1ee3-379a-49af-b03f-db9c46e9ebd7,,,,,,,,,,,0.7623574144486692
pubmed_4a436212-9cdc-4dbf-84a4-7dd090f5957a,,,,,,,,,,,0.8137254901960784
pubmed_5fbd9415-7c7e-4e77-9b35-ef29e82c7778,,,,,,,,,,,0.7604562737642585
pubmed_8b85ff00-8210-4dfe-a209-c2c38b2af2e8,,,,,,,,,,,0.7832699619771863
pubmed_fc0b9384-44f8-4d95-a26b-c1b2cd601b6a,,,,,,,,,,,0.7756653992395437
pubmed_cf777bf8-cdce-4cd7-8611-edaad4beb0f3,,,,,,,,,,,0.7756653992395437
pubmed_cb79a7ad-8d2f-4020-81ea-2f3d57b40bff,,,,,,,,,,,0.7782021899668958
pubmed_ebce1db9-eda8-4855-8c89-3562e0f063a2,,,,,,,,,,,0.7490494296577946
pubmed_b940c6c3-33d2-414f-9421-6f090551c6b3,,,,,,,,,,,0.7661596958174905
pubmed_8e5a205e-fd5d-40ed-8a14-f1cf5b168ba3,,,,,,,,,,,0.7737642585551331
pubmed_80fe1b48-1b76-4910-9b48-1f6035c63e1d,,,,,,,,,,,0.8236567354214414
pubmed_f6f4954a-5e12-4e08-95b8-11ede96317e9,,,,,,,,,,,0.7737642585551331
pubmed_adeaebfb-6441-4768-93e0-e89948fef52a,,,,,,,,,,,0.7642585551330798
pubmed_034673a5-171a-4240-9a81-51ff54202e88,,,,,,,,,,,0.7737642585551331
pubmed_bfb40d2f-cc54-4aae-9483-4de73949a939,,,,,,,,,,,0.7756653992395437
pubmed_ad98b9db-f210-4244-9126-9f471534c875,,,,,,,,,,,0.8203463203463204
pubmed_8cbee1c4-64dc-452d-a228-61f790437170,,,,,,,,,,,0.7414448669201521
pubmed_ac3dbdeb-75de-44df-896b-db7b2a93b2c6,,,,,,,,,,,0.7604562737642585
pubmed_07936893-2211-40ed-9e48-df013a3b828c,,,,,,,,,,,0.7718631178707225
pubmed_1db13821-d848-4eb9-b97e-01bb16cacc8a,,,,,,,,,,,0.820218996689585
pubmed_7aa539c2-2b30-40fb-8e90-3d8eb79a4903,,,,,,,,,,,0.7718631178707225
pubmed_b989e73a-8542-4e38-ad11-5e1cc78f0df0,,,,,,,,,,,0.7566539923954373
pubmed_4f1404e7-ea6b-444f-9ce1-673c0c5be4d4,,,,,,,,,,,0.7680608365019012
pubmed_3378c61f-33cb-43bd-a212-01a8db6f5ef2,,,,,,,,,,,0.7585551330798479
pubmed_ab1ca477-7665-4d8a-90b1-2fe22f995fef,,,,,,,,,,,0.8337153043035396
pubmed_32ca40c1-f646-4c3f-82e3-3402dd85017a,,,,,,,,,,,0.7908745247148289
pubmed_aa669066-c4d0-4335-903e-901e5d6765d5,,,,,,,,,,,0.7490494296577946
pubmed_7886c20b-3b89-400a-9ce1-d13e03a874e6,,,,,,,,,,,0.7661596958174905
pubmed_35bae870-5f41-4867-8b3d-e279666894fd,,,,,,,,,,,0.7775665399239544
pubmed_421c4dda-08ac-40b7-a5b3-2458383875ec,,,,,,,,,,,0.8328240387063917
pubmed_532565a7-041b-4151-a24f-45e49339131c,,,,,,,,,,,0.7642585551330798
pubmed_6d99f438-e824-4ffa-8c36-6e11a6f765ec,,,,,,,,,,,0.7870722433460076
pubmed_35d7faa3-381a-412b-b967-18ffc23deeb9,,,,,,,,,,,0.7737642585551331
pubmed_84e41dc1-6e55-4099-89f9-db4f21517973,,,,,,,,,,,0.7566539923954373
pubmed_c114dc25-2e08-4012-81e7-bf90df5842f1,,,,,,,,,,,0.8110516934046346
pubmed_0d61236a-603f-4e70-aac9-a66ecf74fbe4,,,,,,,,,,,0.7813688212927756
pubmed_20c046ad-6c7c-4f4e-b84b-222ca623a9cf,,,,,,,,,,,0.7680608365019012
pubmed_7f8da386-2516-4255-824f-e3cd7af5571e,,,,,,,,,,,0.7642585551330798
pubmed_6355b7c2-8110-4cf5-8743-2349fc2a974a,,,,,,,,,,,0.7775665399239544
pubmed_14add05a-d85d-4b96-9039-0f16c7d2c38b,,,,,,,,,,,0.8213649096002037
pubmed_19a887e3-9471-4fb0-953e-b32936916784,,,,,,,,,,,0.7699619771863118
pubmed_b79ef58d-1cf3-4fff-bc4c-c534b68659ff,,,,,,,,,,,0.7832699619771863
pubmed_e11dadf6-7c8e-415f-be30-85036c1302a3,,,,,,,,,,,0.7604562737642585
pubmed_243ecfa8-45a8-4007-a971-7907aec7b253,,,,,,,,,,,0.7756653992395437
pubmed_fd940bcb-9cf2-45fe-8cb0-36e6d92a218c,,,,,,,,,,,0.818436465495289
pubmed_9c032520-f86d-4ac2-8182-808aa7cf3098,,,,,,,,,,,0.812070282658518
pubmed_3eead33f-84ce-457e-afdd-32a8e7d5d843,,,,,,,,,,,0.8161446396740515
pubmed_5bf94697-b666-478f-9822-3e8365705e7b,,,,,,,,,,,0.8179271708683473
pubmed_57893066-aa62-4b09-bfe9-cf0f104c47e7,,,,,,,,,,,0.8076139546727782
pubmed_5ad81846-e026-48c6-ad04-d9f2118397f5,,,,,,,,,,,0.8171632289279348
pubmed_8e46a430-5f22-44d4-9c29-23fdac92593e,,,,,,,,,,,0.7857142857142857
pubmed_407ce574-dae4-4e25-a629-36b96842c95e,,,,,,,,,,,0.8132161955691367
pubmed_0ab6e975-37dd-40ab-88f6-c1c39df42d79,,,,,,,,,,,0.8151260504201681
pubmed_7d618a6c-5f9c-4c7a-aaf7-22e523a6baa9,,,,,,,,,,,0.8253119429590018
pubmed_c5244347-59d5-4952-8bf0-8edf28a97f87,,,,,,,,,,,0.7878787878787878
pubmed_f0ebdc86-3035-47ff-aa36-38becc700695,,,,,,,,,,,0.7967914438502673
pubmed_eb782971-d290-4387-86fd-8ddc977fa1c7,,,,,,,,,,,0.8064680417621594
pubmed_a48c1101-1d57-412d-b406-f194a0431df8,,,,,,,,,,,0.8225108225108225
pubmed_4a2eb8d9-6b92-4cbe-add1-4de9c96a4b1c,,,,,,,,,,,0.8190730837789661
pubmed_9d6e4b10-a194-4505-a827-4adff083be86,,,,,,,,,,,0.8046855105678635
pubmed_1f9312d2-2511-472d-9dde-5a72a6da4900,,,,,,,,,,,0.8186911128087598
pubmed_147293b0-b622-456e-83d0-20be3bd4e93b,,,,,,,,,,,0.7899159663865546
pubmed_5b4243d6-d8e9-4f42-bcee-43dfa3624df8,,,,,,,,,,,0.7973007384772091
pubmed_e4392eed-73f3-4437-ba34-8a6231a81d87,,,,,,,,,,,0.8245480010185893
pubmed_8609ce37-0bc1-4c86-a54f-f1194eae14cb,,,,,,,,,,,0.8148714031066973
pubmed_6eb5362f-51b0-406b-a28a-863a9d6a9b11,,,,,,,,,,,0.8134708428826076
pubmed_01ef25d4-5e81-4785-beb8-ad76de289d7b,,,,,,,,,,,0.8325693913929209
pubmed_ba099786-63ee-4994-90b5-5bf935c945e7,,,,,,,,,,,0.8213649096002037
pubmed_2341687e-3ca6-4b58-9767-f6286ad73438,,,,,,,,,,,0.7946768060836502
