Metric,CN_acc,AA_acc,RA_acc,Ben_PPR_acc,shortest_path_acc,katz_apro_acc,pairwise_pred_acc,node2vec_acc
arxiv_2023_8fe506da-d1ae-4a1c-88d1-d95e99335194,0.5017825365066528,0.4994907081127167,0.502546489238739,0.5031830668449402,0.954418122768402,0.9903234243392944,0.0,0.0
arxiv_2023_56dc4bbb-aac2-4aec-ab5a-a5a556c7cf17,0.5017825365066528,0.4994907081127167,0.502546489238739,0.5031830668449402,0.954418122768402,0.9903234243392944,0.0,0.7541380188439012
arxiv_2023_9d44d6be-10ae-47c6-9852-26b00bc57438,0.5017825365066528,0.4994907081127167,0.502546489238739,0.5031830668449402,0.954418122768402,0.9903234243392944,0.0,0.7611408199643493
arxiv_2023_2cd03120-3556-40e4-b7da-8bfddf6110e1,,,,,,,,0.7531194295900179
arxiv_2023_88423757-2a46-4f19-bd41-4ae569954298,,,,,,,,0.764960529666412
arxiv_2023_548c4795-950f-456b-a356-0be58699cd6a,,,,,,,,0.7648332060096766
arxiv_2023_78576c97-0734-4ac4-be9e-08f6d9814476,,,,,,,,0.7752737458619812
arxiv_2023_5fc46dfd-39df-48d9-8942-e47e5050cf19,,,,,,,,0.7971734148204737
arxiv_2023_01e927da-280a-4516-b372-df554898cf01,,,,,,,,0.8183091418385536
arxiv_2023_84637ffa-9b4d-4aab-9211-d5d59add5056,,,,,,,,0.794244970715559
arxiv_2023_17519a76-a331-4c37-8da3-6b8c0bf6c323,,,,,,,,0.8092691622103387
arxiv_2023_7ef948d0-069a-4409-8958-0b7d8922f743,,,,,,,,0.8037942449707156
arxiv_2023_a13de8b9-35f2-48b3-b3d0-3001f6e64179,,,,,,,,0.7973007384772091
arxiv_2023_1b62e703-69d9-46fe-9973-5d1af5c7122e,,,,,,,,0.8180544945250827
arxiv_2023_ab54e365-1fae-4769-a540-c57884e52331,,,,,,,,0.8004838298955946
arxiv_2023_084fc6dc-0633-413d-8b68-210d189ea552,,,,,,,,0.782785841609371
arxiv_2023_6e914654-cc18-4193-b9f3-b0334895e4e3,,,,,,,,0.7611408199643493
arxiv_2023_83d069ee-7cd0-4c51-a87e-14776264cb01,,,,,,,,0.7863509039979628
arxiv_2023_deb954bc-4396-4a76-8e77-292b1b4f80dd,,,,,,,,0.8031576266870385
arxiv_2023_6564efb1-b307-4d9c-beaf-bffc016d4c71,,,,,,,,0.7752737458619812
arxiv_2023_d3ab8422-845d-435f-9da5-37352ca48c32,,,,,,,,0.7997198879551821
arxiv_2023_57fc0c9b-f232-4c81-b716-078c31652698,,,,,,,,0.7841864018334607
arxiv_2023_63b7d778-2dcd-4dd3-b282-9adbae3d3635,,,,,,,,0.8137254901960784
arxiv_2023_06738870-3eee-42dc-9cc3-93db8ead7efb,,,,,,,,0.7663610898905017
arxiv_2023_25e6aa5a-cfc3-4b74-bf05-0b3e06e53bad,,,,,,,,0.7816399286987522
arxiv_2023_259d5e31-8dad-440e-9b79-a2ebdcde3f78,,,,,,,,0.7743824802648333
arxiv_2023_d9e4fb9e-f47f-4228-be46-e094c9e9f24a,,,,,,,,0.8307868601986249
arxiv_2023_e000660f-345c-430b-8820-8d608e679259,,,,,,,,0.7655971479500892
arxiv_2023_67cdace6-4bb8-48d6-8668-dc547dfbf720,,,,,,,,0.7941176470588235
arxiv_2023_9f39bcad-b5d7-432a-aa50-80932b2173b7,,,,,,,,0.7844410491469315
arxiv_2023_07b833db-563a-463c-b3fb-ca3e354aff98,,,,,,,,0.8076139546727782
arxiv_2023_610fbe4f-f017-4da4-b8cc-5a63a4cca5f1,,,,,,,,0.8152533740769035
arxiv_2023_90f36ad9-baf2-4f4e-836f-9037668d7a74,,,,,,,,0.7657244716068246
arxiv_2023_dd8f9351-ec23-46f7-812c-e0c7ecc01e17,,,,,,,,0.7491723962312198
arxiv_2023_d9f7efa7-5e10-4916-812b-f757fec07a1d,,,,,,,,0.8031576266870385
arxiv_2023_cba8e995-2db0-4533-b700-754dc0e50719,,,,,,,,0.8454290807231983
arxiv_2023_4cb82c1c-d331-4709-b50a-7072b9aaa1bb,,,,,,,,0.7881334351922588
arxiv_2023_ca6c7d56-bd07-4cd7-a368-aa34ae12464e,,,,,,,,0.7880061115355232
arxiv_2023_429cb15b-5f8f-4d7c-8b71-724ba11b5f55,,,,,,,,0.8106697224344284
arxiv_2023_011d1f66-f6d7-4082-88d0-25fb4c2239dc,,,,,,,,0.7871148459383753
arxiv_2023_8fbb8b5e-b722-4141-95b6-e6d77868f0da,,,,,,,,0.8278584160937102
arxiv_2023_a7617893-3f32-45eb-ae02-775e2f09b7ee,,,,,,,,0.8216195569136746
arxiv_2023_587c0cdd-ccd6-43a5-b56c-e4fb64bae857,,,,,,,,0.807231983702572
arxiv_2023_56e92cb9-d5e2-428c-9b39-805efdcfa5a8,,,,,,,,0.7421695951107716
arxiv_2023_5ba66e99-b76f-417d-b7b8-2902e1f368da,,,,,,,,0.7890247007894067
arxiv_2023_ca38dac4-5c1e-4680-9d48-771f05bed1ae,,,,,,,,0.7947542653425006
arxiv_2023_e20b11fe-5f6a-49ad-9421-af8af557a586,,,,,,,,0.8155080213903744
arxiv_2023_70b9c19c-8f1e-4fbb-af03-ef9094f08b10,,,,,,,,0.7695441813088872
