Metric,node_sim_acc,Hits@1,Hits@3,Hits@10,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit100,AUC,AP
pubmed_l3pwyfx9_nonlinear_compat,0.8894404332129964,0.0,0.0,0.0,0.0,0.0067,0.0,0.0,0.0,0.0,0.8894,0.8428
pubmed_gwgvkg0m_nonlinear_compat,0.901624548736462,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.9016,0.8611
pubmed_exy9csy2_nonlinear_compat,0.9025270758122744,0.0,0.0,0.0,0.0,0.0072,0.0,0.0,0.0,0.0,0.9025,0.8574
pubmed_1v2aqcqc_nonlinear_compat,0.8986913357400722,0.0,0.0,0.0,0.0,0.0071,0.0,0.0,0.0,0.0,0.8987,0.8538
pubmed_1r97lc8k_nonlinear_compat,0.9056859205776172,0.0,0.0,0.0,0.0,0.0082,0.0,0.0,0.0,0.0,0.9057,0.8657
pubmed_sj3e534k_nonlinear_compat,0.8962093862815885,0.0,0.0,0.0,0.0,0.0064,0.0,0.0,0.0,0.0,0.8962,0.8473
Best,0.9056859205776172,0.0,0.0,0.0,0.0,0.0082,0.0,0.0,0.0,0.0,0.9057,0.8657
