Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc,out_channels,hidden_channels,batch_size_sampler,walk_length,num_steps,sample_coverage,epochs,batch_size
cora_runfaxkq27q_GAE,7.91,38.33,61.81,77.15,94.79,98.88,34.5,7.91,38.33,61.81,79.07,93.83,98.88,92.83,94.94,80.24,160,160,256,80,20,200,50,
cora_run3sjraexu_GAE,7.91,38.33,61.81,77.15,94.79,98.88,34.5,7.91,38.33,61.81,79.07,93.83,98.88,92.83,94.94,80.24,160,160,256,80,30,100,50,
cora_runa49d9xea_GAE,7.91,38.33,61.81,77.15,94.79,98.88,34.5,7.91,38.33,61.81,79.07,93.83,98.88,92.83,94.94,80.24,160,160,256,80,30,150,50,
cora_runifkjperm_GAE,7.91,38.33,61.81,77.15,94.79,98.88,34.5,7.91,38.33,61.81,79.07,93.83,98.88,92.83,94.94,80.24,160,160,256,80,30,200,50,
cora_runkaqlrdlj_GAE,7.91,38.33,61.81,77.15,94.79,98.88,34.5,7.91,38.33,61.81,79.07,93.83,98.88,92.83,94.94,80.24,160,160,512,40,20,100,50,
cora_runugk6tx2q_GAE,0.0,0.0,0.0,0.0,11.37,88.93,3.01,0.0,0.0,0.0,0.0,75.72,88.93,89.16,85.48,75.81,160,160,512,40,20,100,200,
cora_runlk3satc9_GAE,0.0,0.0,0.0,0.0,11.37,88.93,3.01,0.0,0.0,0.0,0.0,75.72,88.93,89.16,85.48,75.11,160,160,512,40,20,150,200,
cora_runtq7e8aps_GAE,0.0,0.0,0.0,0.0,11.37,88.93,3.01,0.0,0.0,0.0,0.0,75.72,88.93,89.16,85.48,76.37,160,160,512,40,20,200,200,
cora_runaxmuke9k_GAE,0.0,0.0,0.0,0.0,11.37,88.93,3.01,0.0,0.0,0.0,0.0,75.72,88.93,89.16,85.48,74.24,160,160,512,40,30,100,200,
cora_runodou90hl_GAE,0.0,0.0,0.0,0.0,11.37,88.93,3.01,0.0,0.0,0.0,0.0,75.72,88.93,89.16,85.48,74.24,160,160,512,40,30,150,200,
cora_runaz1p25q6_GAE,0.0,0.0,0.0,0.0,11.37,88.93,3.01,0.0,0.0,0.0,0.0,75.72,88.93,89.16,85.48,74.24,160,160,512,40,30,200,200,
cora_run1qwzj2xi_GAE,0.0,0.0,0.0,0.0,11.37,88.93,3.01,0.0,0.0,0.0,0.0,75.72,88.93,89.16,85.48,74.24,160,160,512,60,20,100,200,
cora_runnfhpf3f7_GAE,0.0,0.0,0.0,0.0,11.37,88.93,3.01,0.0,0.0,0.0,0.0,75.72,88.93,89.16,85.48,74.24,160,160,512,60,20,150,200,
cora_runuc1u7tmx_GAE,0.0,0.0,0.0,0.0,11.37,88.93,3.01,0.0,0.0,0.0,0.0,75.72,88.93,89.16,85.48,74.24,160,160,512,60,20,200,200,
cora_runeii6undi_GAE,0.0,0.0,0.0,0.0,11.37,88.93,3.01,0.0,0.0,0.0,0.0,75.72,88.93,89.16,85.48,74.24,160,160,512,60,30,100,200,
cora_runfc2wg765_GAE,0.0,0.0,0.0,0.0,11.37,88.93,3.01,0.0,0.0,0.0,0.0,75.72,88.93,89.16,85.48,74.24,160,160,512,60,30,150,200,
cora_run9uo1xjrr_GAE,0.0,0.0,0.0,0.0,11.37,88.93,3.01,0.0,0.0,0.0,0.0,75.72,88.93,89.16,85.48,74.24,160,160,512,60,30,200,200,
cora_runwhn64x1r_GAE,0.0,0.0,33.21,51.32,71.77,87.46,11.26,0.0,15.42,33.21,51.32,71.77,89.83,90.14,89.69,75.25,160,160,512,40,20,100,30,
cora_runsc392v5n_GAE,0.0,0.0,26.58,39.52,70.13,81.95,9.59,0.0,7.64,28.7,39.53,70.13,81.95,89.29,88.21,73.44,160,160,1024,40,20,100,30,
cora_runx6jsmh2f_GAE,0.0,0.0,26.58,39.52,70.13,81.95,9.59,0.0,7.64,28.7,39.53,67.19,81.95,90.8,88.21,74.96,160,160,1024,40,20,150,30,
cora_rung1l0x2ae_GAE,50.55,55.46,84.05,96.48,100.0,100.0,58.22,50.55,55.46,84.05,96.48,100.0,100.0,93.07,96.59,83.85,32,32,128,10,5,50,30,
cora_runkvhknujv_GAE,35.89,61.85,90.27,98.08,100.0,100.0,52.98,35.89,61.85,90.27,98.08,100.0,100.0,91.75,96.33,86.51,32,32,128,10,5,100,30,
cora_run9ekz7prv_GAE,49.83,61.85,92.85,98.08,100.0,100.0,61.71,49.83,61.85,92.85,98.08,100.0,100.0,92.47,96.45,85.89,32,32,128,10,5,150,30,
cora_runp91xnd5n_GAE,49.83,61.85,92.85,98.08,100.0,100.0,61.71,49.83,61.85,92.85,98.08,100.0,100.0,92.47,96.45,85.89,32,32,128,10,5,200,30,
cora_runvmr7qv8c_GAE,49.83,72.4,92.85,98.08,100.0,100.0,61.71,49.83,72.4,92.85,98.08,100.0,100.0,92.47,96.45,85.89,32,32,128,10,10,50,30,
cora_runt533q6t9_GAE,49.83,72.4,92.85,98.08,100.0,100.0,61.71,49.83,72.4,92.85,98.08,100.0,100.0,92.47,96.45,85.89,32,32,128,10,10,100,30,
cora_runmlo5k9tv_GAE,49.83,72.4,92.85,97.56,100.0,100.0,56.8,49.83,72.4,92.85,97.56,100.0,100.0,93.99,96.45,85.89,32,32,128,10,10,150,30,
cora_runbio9wgtn_GAE,25.38,59.39,84.92,95.52,100.0,100.0,55.15,25.38,59.39,84.92,95.52,100.0,100.0,90.73,95.81,83.86,16,16,128,10,5,50,30,
cora_run987vuuxp_GAE,25.38,59.39,84.92,95.52,100.0,100.0,55.15,25.38,59.39,84.92,95.52,100.0,100.0,90.73,95.81,83.55,16,16,128,10,5,100,30,
cora_run0bdxjzhb_GAE,25.38,58.17,93.78,99.17,100.0,100.0,50.8,25.38,58.17,93.78,99.17,100.0,100.0,92.91,96.39,83.55,16,16,128,10,5,150,30,
