Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc,out_channels,hidden_channels,batch_size_sampler,walk_length,num_steps,sample_coverage,epochs,batch_size
cora_runkzmt7i0r_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.93,96.91,87.0,16,16,128,40,20,100,50,16.0
cora_runescl4678_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.93,96.91,87.0,16,16,128,40,20,150,50,16.0
cora_run5ilsxxaj_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.93,96.91,87.0,16,16,128,40,20,200,50,16.0
cora_runvd3pdb33_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.93,96.91,87.0,16,16,128,40,30,50,50,16.0
cora_runggtus8xt_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.93,96.91,87.0,16,16,128,40,30,100,50,16.0
cora_runovngx6zw_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.93,96.91,87.0,16,16,128,40,30,150,50,16.0
cora_runs9e0aahx_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.93,96.91,87.0,16,16,128,40,30,200,50,16.0
cora_runs1bcpawn_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.93,96.91,87.0,16,16,128,50,5,50,50,16.0
cora_run53zsvwr3_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.93,96.91,87.0,16,16,128,50,5,100,50,16.0
cora_runaq1xih02_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.93,96.91,87.0,16,16,128,50,5,150,50,16.0
cora_runtik36sby_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.93,96.91,87.0,16,16,128,50,5,200,50,16.0
cora_runnm52ijh5_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.93,96.91,87.0,16,16,128,50,10,50,50,16.0
cora_runnh28q5ks_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.93,96.91,87.0,16,16,128,50,10,100,50,16.0
cora_runbe8nuuou_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.93,96.91,87.0,16,16,128,50,10,150,50,16.0
cora_run07vs5ych_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.93,96.91,87.0,16,16,128,50,10,200,50,16.0
cora_runoig04g1e_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.93,96.91,87.0,16,16,128,50,20,50,50,16.0
cora_run03a0jve7_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.93,96.91,87.0,16,16,128,50,20,100,50,16.0
cora_run0sicgai5_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.93,96.91,87.0,16,16,128,50,20,150,50,16.0
cora_run2z67qz3v_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.93,96.91,87.0,16,16,128,50,20,200,50,16.0
cora_run40yqqr2j_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.93,96.91,87.0,16,16,128,50,30,50,50,16.0
cora_run00be37yj_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.93,96.91,87.0,16,16,128,50,30,100,50,16.0
cora_runc7jwfq44_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.93,96.91,87.0,16,16,128,50,30,150,50,16.0
cora_runst5nn0rz_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.93,96.91,87.0,16,16,128,50,30,200,50,16.0
cora_runwpt787ec_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.93,96.91,87.0,16,16,128,60,5,50,50,16.0
cora_run8ynyibi6_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.93,96.91,87.0,16,16,128,60,5,100,50,16.0
cora_runmafuy0c3_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.93,96.91,87.0,16,16,128,60,5,150,50,16.0
cora_runl5nuyyru_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.93,96.91,87.0,16,16,128,60,5,200,50,16.0
cora_run8ra3n42x_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.93,96.91,87.0,16,16,128,60,10,50,50,16.0
cora_run5gc7ce07_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.93,96.91,87.0,16,16,128,60,10,100,50,16.0
cora_run3twd87x3_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.93,96.91,87.0,16,16,128,60,10,150,50,16.0
cora_run05et9bnw_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.93,96.91,87.0,16,16,128,60,10,200,50,16.0
cora_run20ua5pb7_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.93,96.91,87.0,16,16,128,60,20,50,50,16.0
cora_run259iiy9u_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.93,96.91,87.0,16,16,128,60,20,100,50,16.0
cora_run5f2nnh0v_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.93,96.91,87.0,16,16,128,60,20,150,50,16.0
cora_runrxkc97uc_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.93,96.91,87.0,16,16,128,60,20,200,50,16.0
cora_run86nnvuja_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.93,96.91,87.0,16,16,128,60,30,50,50,16.0
cora_run8udtbt7g_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.93,96.91,87.0,16,16,128,60,30,100,50,16.0
cora_run4h90nsqs_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.93,96.91,87.0,16,16,128,60,30,150,50,16.0
cora_runodhu17rf_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.93,96.91,87.0,16,16,128,60,30,200,50,16.0
cora_runtn8v3mrt_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.93,96.91,87.0,16,16,128,70,5,50,50,16.0
cora_runh3bjs3gp_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.93,96.91,87.0,16,16,128,70,5,100,50,16.0
cora_run8nrz6nql_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.93,96.91,87.0,16,16,128,70,5,150,50,16.0
cora_runpw0xdwbu_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.93,96.91,87.0,16,16,128,70,5,200,50,16.0
cora_runcw3puk34_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.93,96.91,87.0,16,16,128,70,10,50,50,16.0
cora_runvwc33kvn_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.93,96.91,87.0,16,16,128,70,10,100,50,16.0
cora_run9e8ily9w_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.93,96.91,87.0,16,16,128,70,10,150,50,16.0
cora_runexpiomcg_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.93,96.91,87.0,16,16,128,70,10,200,50,16.0
cora_runne72ypsq_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.93,96.91,87.0,16,16,128,70,20,50,50,16.0
cora_runse5krj9c_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.93,96.91,87.0,16,16,128,70,20,100,50,16.0
cora_runl25r3mqa_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.93,96.91,87.0,16,16,128,70,20,150,50,16.0
cora_runjyf7j99k_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.93,96.91,87.0,16,16,128,70,20,200,50,16.0
cora_runr2a4546s_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.93,96.91,87.0,16,16,128,70,30,50,50,16.0
cora_runzecrjnmf_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.93,96.91,87.0,16,16,128,70,30,100,50,16.0
cora_rununnawtat_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.93,96.91,87.0,16,16,128,70,30,150,50,16.0
cora_runi7pm17gf_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.93,96.91,87.0,16,16,128,70,30,200,50,16.0
cora_runcpy7jbc8_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.93,96.91,87.0,16,16,256,10,5,50,50,16.0
cora_runifuwvh1n_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.93,96.91,87.0,16,16,256,10,5,100,50,16.0
cora_run9691kdsk_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.93,96.91,87.0,16,16,256,10,5,150,50,16.0
cora_runbni96wjw_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.93,96.91,87.0,16,16,256,10,5,200,50,16.0
cora_runwdelguly_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.93,96.91,87.0,16,16,256,10,10,50,50,16.0
cora_runxwzg439y_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.93,96.91,87.0,16,16,256,10,10,100,50,16.0
cora_runcrws6g1z_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.93,96.91,87.0,16,16,256,10,10,150,50,16.0
cora_runj057ru4f_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.93,96.91,87.0,16,16,256,10,10,200,50,16.0
cora_run2b2mofeh_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.93,96.91,87.0,16,16,256,10,20,50,50,16.0
cora_run0ezfrjl0_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.93,96.91,87.0,16,16,256,10,20,100,50,16.0
cora_run2vfjl7m5_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.93,96.91,87.0,16,16,256,10,20,150,50,16.0
cora_rundrqafk6j_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.93,96.91,87.0,16,16,256,10,20,200,50,16.0
cora_runnrd6ui2l_GAE,29.55,47.39,73.34,86.99,98.24,100.0,43.01,29.55,47.39,73.34,86.99,98.24,100.0,90.96,94.96,82.42,16,16,128,20,30,100,50,16.0
cora_runsvzho34n_GAE,29.55,47.39,73.34,86.99,98.24,100.0,43.01,29.55,47.39,73.34,86.99,98.24,100.0,90.96,94.96,82.42,16,16,256,20,30,100,50,16.0
cora_run7f8932ke_GAE,29.55,47.39,73.34,86.99,98.24,100.0,43.01,29.55,47.39,73.34,86.99,98.24,100.0,90.96,94.96,82.42,16,16,1024,20,30,100,50,16.0
cora_runpywgzl12_GAE,29.55,47.39,75.13,88.27,98.31,100.0,43.01,29.55,47.39,75.13,88.27,98.31,100.0,92.16,95.64,82.0,16,16,128,20,30,100,50,32.0
cora_runxpql2ydi_GAE,29.55,47.39,75.13,88.27,98.31,100.0,43.01,29.55,47.39,75.13,88.27,98.31,100.0,92.16,95.64,82.0,16,16,256,20,30,100,50,32.0
cora_runoxdicsgm_GAE,29.55,47.39,75.13,88.27,98.31,100.0,43.01,29.55,47.39,75.13,88.27,98.31,100.0,92.16,95.64,82.0,16,16,1024,20,30,100,50,32.0
cora_runiyg26zfz_GAE,29.55,47.39,75.13,88.27,98.31,100.0,43.01,29.55,47.39,75.13,88.27,98.31,100.0,92.16,95.64,82.0,16,16,128,20,30,100,50,64.0
cora_runll6tl0yy_GAE,29.55,47.39,75.13,88.27,98.31,100.0,43.01,29.55,47.39,75.13,88.27,98.31,100.0,92.16,95.64,82.0,16,16,256,20,30,100,50,64.0
cora_runehomuswr_GAE,29.55,47.39,75.13,88.27,98.31,100.0,43.01,29.55,47.39,75.13,88.27,98.31,100.0,92.16,95.64,82.0,16,16,1024,20,30,100,50,64.0
cora_runa4hrm1qm_GAE,29.55,47.39,75.13,88.27,98.31,100.0,43.01,29.55,47.39,75.13,88.27,98.31,100.0,92.16,95.64,82.0,16,16,128,20,30,100,50,128.0
cora_runqxda31vx_GAE,29.55,47.39,75.13,88.27,98.31,100.0,43.01,29.55,47.39,75.13,88.27,98.31,100.0,92.16,95.64,82.0,16,16,256,20,30,100,50,128.0
cora_runw23ac7jt_GAE,29.55,47.39,75.13,88.27,98.31,100.0,43.01,29.55,47.39,75.13,88.27,98.31,100.0,92.16,95.64,82.0,16,16,1024,20,30,100,50,128.0
cora_run98b5eh8w_GAE,29.55,47.39,75.13,88.27,98.31,100.0,43.01,29.55,47.39,75.13,88.27,98.31,100.0,92.16,95.64,82.0,16,16,128,20,30,100,50,256.0
cora_run6zrp3e7a_GAE,29.55,47.39,75.13,88.27,98.31,100.0,43.01,29.55,47.39,75.13,88.27,98.31,100.0,92.16,95.64,82.0,16,16,256,20,30,100,50,256.0
cora_runctyb8hit_GAE,29.55,47.39,75.13,88.27,98.31,100.0,43.01,29.55,47.39,75.13,88.27,98.31,100.0,92.16,95.64,82.0,16,16,1024,20,30,100,50,256.0
cora_runee77ztra_GAE,29.55,47.39,75.13,88.27,98.31,100.0,43.01,29.55,47.39,75.13,88.27,98.31,100.0,92.16,95.64,82.0,16,16,128,20,30,100,50,1024.0
cora_runj9ij7fzk_GAE,29.55,47.39,75.13,88.27,98.31,100.0,43.01,29.55,47.39,75.13,88.27,98.31,100.0,92.16,95.64,82.0,16,16,256,20,30,100,50,1024.0
cora_runqgrepudv_GAE,29.55,47.39,75.13,88.27,98.31,100.0,43.01,29.55,47.39,75.13,88.27,98.31,100.0,92.16,95.64,82.0,16,16,1024,20,30,100,50,1024.0
cora_runzguxxzyz_GAE,29.55,47.39,75.13,88.27,98.31,100.0,43.01,29.55,47.39,75.13,88.27,98.31,100.0,92.16,95.64,83.12,16,16,128,20,30,100,50,2048.0
cora_run0akw03s6_GAE,29.55,47.39,75.13,88.27,98.31,100.0,43.01,29.55,47.39,75.13,88.27,98.31,100.0,92.16,95.64,83.12,16,16,256,20,30,100,50,2048.0
cora_runr1a2taof_GAE,29.55,47.39,75.13,88.27,98.31,100.0,43.01,29.55,47.39,75.13,88.27,98.31,100.0,92.16,95.64,83.12,16,16,1024,20,30,100,50,2048.0
cora_runt5dh0pqx_GAE,29.55,47.39,75.13,88.27,98.31,100.0,43.01,29.55,47.39,75.13,88.27,98.31,100.0,92.16,95.64,83.12,16,32,128,20,30,100,50,16.0
cora_rundgjx7cfq_GAE,29.55,47.39,75.13,88.27,98.31,100.0,43.01,29.55,47.39,75.13,88.27,98.31,100.0,92.16,95.64,83.12,16,32,256,20,30,100,50,16.0
cora_runfebuvv99_GAE,29.55,47.39,75.13,88.27,98.31,100.0,43.01,29.55,47.39,75.13,88.27,98.31,100.0,92.16,95.64,83.12,16,32,1024,20,30,100,50,16.0
cora_runx362c7k0_GAE,29.55,47.39,75.13,88.27,98.31,100.0,43.01,29.55,47.39,75.13,88.27,98.31,100.0,92.16,95.64,83.12,16,32,128,20,30,100,50,32.0
cora_runvpmsuefr_GAE,29.55,47.39,75.13,88.27,98.31,100.0,43.01,29.55,47.39,75.13,88.27,98.31,100.0,92.16,95.64,83.12,16,32,256,20,30,100,50,32.0
cora_runzqjejhzb_GAE,29.55,47.39,75.13,88.27,98.31,100.0,43.01,29.55,47.39,75.13,88.27,98.31,100.0,92.16,95.64,83.12,16,32,1024,20,30,100,50,32.0
cora_run166b8zj1_GAE,29.55,47.39,75.13,88.27,98.31,100.0,43.01,29.55,47.39,75.13,88.27,98.31,100.0,92.16,95.64,83.12,16,32,128,20,30,100,50,64.0
cora_run9rddjsg2_GAE,29.55,47.39,75.13,88.27,98.31,100.0,43.01,29.55,47.39,75.13,88.27,98.31,100.0,92.16,95.64,83.12,16,32,256,20,30,100,50,64.0
cora_run8txrmuuh_GAE,29.55,47.39,75.13,88.27,98.31,100.0,43.01,29.55,47.39,75.13,88.27,98.31,100.0,92.16,95.64,83.12,16,32,1024,20,30,100,50,64.0
cora_run0a4n9zlz_GAE,29.55,47.39,75.13,88.27,98.31,100.0,43.01,29.55,47.39,75.13,88.27,98.31,100.0,92.16,95.64,83.12,16,32,128,20,30,100,50,128.0
cora_runble2p4s2_GAE,29.55,47.39,75.13,88.27,98.31,100.0,43.01,29.55,47.39,75.13,88.27,98.31,100.0,92.16,95.64,83.12,16,32,256,20,30,100,50,128.0
cora_runk3fyt5nl_GAE,29.55,47.39,75.13,88.27,98.31,100.0,43.01,29.55,47.39,75.13,88.27,98.31,100.0,92.16,95.64,83.12,16,32,1024,20,30,100,50,128.0
cora_rund9c3exxo_GAE,29.55,47.39,75.13,88.27,98.31,100.0,43.01,29.55,47.39,75.13,88.27,98.31,100.0,92.16,95.64,83.12,16,32,128,20,30,100,50,256.0
cora_runi6fp7814_GAE,29.55,47.39,75.13,88.27,98.31,100.0,43.01,29.55,47.39,75.13,88.27,98.31,100.0,92.16,95.64,83.12,16,32,256,20,30,100,50,256.0
cora_rund5xyoux3_GAE,29.55,47.39,75.13,88.27,98.31,100.0,43.01,29.55,47.39,75.13,88.27,98.31,100.0,92.16,95.64,83.12,16,32,1024,20,30,100,50,256.0
cora_runys26m3m4_GAE,29.55,47.39,75.13,88.27,98.31,100.0,43.01,29.55,47.39,75.13,88.27,98.31,100.0,92.16,95.64,83.12,16,32,128,20,30,100,50,1024.0
cora_runz5jxwkpj_GAE,29.55,47.39,75.13,88.27,98.31,100.0,43.01,29.55,47.39,75.13,88.27,98.31,100.0,92.16,95.64,83.12,16,32,256,20,30,100,50,1024.0
cora_runo6jx0o4t_GAE,29.55,47.39,75.13,88.27,98.31,100.0,43.01,29.55,47.39,75.13,88.27,98.31,100.0,92.16,95.64,83.12,16,32,1024,20,30,100,50,1024.0
cora_runodg6ofs7_GAE,29.55,47.39,78.75,88.27,98.31,100.0,43.01,29.55,47.39,78.75,88.27,98.31,100.0,92.16,95.64,83.12,16,32,128,20,30,100,50,2048.0
cora_run3m4sbr6d_GAE,29.55,47.39,78.75,88.27,98.31,100.0,43.01,29.55,47.39,78.75,88.27,98.31,100.0,92.16,95.64,83.12,16,32,256,20,30,100,50,2048.0
cora_runsumgvg34_GAE,29.55,47.39,78.75,88.27,98.31,100.0,43.01,29.55,47.39,78.75,88.27,98.31,100.0,92.16,95.64,83.12,16,32,1024,20,30,100,50,2048.0
cora_runlr6rhe2y_GAE,29.55,58.69,82.1,92.28,98.31,100.0,51.34,29.55,58.69,82.1,92.28,98.31,100.0,93.92,96.62,83.12,16,64,128,20,30,100,50,16.0
cora_run6gohxoat_GAE,29.55,58.69,82.1,92.28,98.31,100.0,51.34,29.55,58.69,82.1,92.28,98.31,100.0,93.92,96.62,83.12,16,64,256,20,30,100,50,16.0
cora_run6utpv6gm_GAE,29.55,58.69,82.1,92.28,98.31,100.0,51.34,29.55,58.69,82.1,92.28,98.31,100.0,93.92,96.62,83.12,16,64,1024,20,30,100,50,16.0
cora_rungu09eg8s_GAE,29.55,47.39,73.34,86.99,98.24,100.0,43.01,29.55,47.39,73.34,86.99,98.24,100.0,90.96,94.96,82.42,16,16,128,20,30,100,50,16.0
cora_runtasssztj_GAE,29.55,47.39,73.34,86.99,98.24,100.0,43.01,29.55,47.39,73.34,86.99,98.24,100.0,90.96,94.96,82.42,16,16,256,20,30,100,50,16.0
cora_runzffbs29d_GAE,29.55,47.39,73.34,86.99,98.24,100.0,43.01,29.55,47.39,73.34,86.99,98.24,100.0,90.96,94.96,82.42,16,16,1024,20,30,100,50,16.0
cora_rungxmp487l_GAE,29.55,47.39,75.08,88.29,98.29,100.0,43.01,29.55,47.39,75.08,88.29,98.29,100.0,92.17,95.64,82.16,16,16,128,20,30,100,50,32.0
cora_run4rijyxy6_GAE,29.55,47.39,75.08,88.29,98.29,100.0,43.01,29.55,47.39,75.08,88.29,98.29,100.0,92.17,95.64,82.16,16,16,256,20,30,100,50,32.0
cora_runvpaql954_GAE,29.55,47.39,75.08,88.29,98.29,100.0,43.01,29.55,47.39,75.08,88.29,98.29,100.0,92.17,95.64,82.16,16,16,1024,20,30,100,50,32.0
cora_runnmcv5xi9_GAE,29.55,47.39,75.08,88.29,98.29,100.0,43.01,29.55,47.39,75.08,88.29,98.29,100.0,92.17,95.64,82.16,16,16,128,20,30,100,50,64.0
cora_runyx01gu79_GAE,29.55,47.39,75.08,88.29,98.29,100.0,43.01,29.55,47.39,75.08,88.29,98.29,100.0,92.17,95.64,82.16,16,16,256,20,30,100,50,64.0
cora_runffmrzops_GAE,29.55,47.39,75.08,88.29,98.29,100.0,43.01,29.55,47.39,75.08,88.29,98.29,100.0,92.17,95.64,82.16,16,16,1024,20,30,100,50,64.0
cora_runev9rl71j_GAE,29.55,47.39,75.08,88.29,98.29,100.0,43.01,29.55,47.39,75.08,88.29,98.29,100.0,92.17,95.64,82.16,16,16,128,20,30,100,50,128.0
cora_runf9h5j1vs_GAE,29.55,47.39,75.08,88.29,98.29,100.0,43.01,29.55,47.39,75.08,88.29,98.29,100.0,92.17,95.64,82.16,16,16,256,20,30,100,50,128.0
cora_runp58yxpm6_GAE,29.55,47.39,75.08,88.29,98.29,100.0,43.01,29.55,47.39,75.08,88.29,98.29,100.0,92.17,95.64,82.16,16,16,1024,20,30,100,50,128.0
cora_runlw1s07uw_GAE,29.55,47.39,75.08,88.29,98.29,100.0,43.01,29.55,47.39,75.08,88.29,98.29,100.0,92.17,95.64,82.16,16,16,128,20,30,100,50,256.0
cora_runli999spp_GAE,29.55,47.39,75.08,88.29,98.29,100.0,43.01,29.55,47.39,75.08,88.29,98.29,100.0,92.17,95.64,82.16,16,16,256,20,30,100,50,256.0
cora_run13gebcos_GAE,29.55,47.39,75.08,88.29,98.29,100.0,43.01,29.55,47.39,75.08,88.29,98.29,100.0,92.17,95.64,82.16,16,16,1024,20,30,100,50,256.0
cora_runphi7m7u4_GAE,29.55,47.39,75.08,88.29,98.29,100.0,43.01,29.55,47.39,75.08,88.29,98.29,100.0,92.17,95.64,82.16,16,16,128,20,30,100,50,1024.0
cora_run3w3mm1ro_GAE,29.55,47.39,75.08,88.29,98.29,100.0,43.01,29.55,47.39,75.08,88.29,98.29,100.0,92.17,95.64,82.16,16,16,256,20,30,100,50,1024.0
cora_runixwe7vjl_GAE,29.55,47.39,75.08,88.29,98.29,100.0,43.01,29.55,47.39,75.08,88.29,98.29,100.0,92.17,95.64,82.16,16,16,1024,20,30,100,50,1024.0
cora_run7agmeycj_GAE,29.55,47.39,75.08,88.29,98.29,100.0,43.01,29.55,47.39,75.08,88.29,98.29,100.0,92.17,95.64,83.12,16,16,128,20,30,100,50,2048.0
cora_run3fcqa75x_GAE,29.55,47.39,75.08,88.29,98.29,100.0,43.01,29.55,47.39,75.08,88.29,98.29,100.0,92.17,95.64,83.12,16,16,256,20,30,100,50,2048.0
cora_rungpcbuq2f_GAE,29.55,47.39,75.08,88.29,98.29,100.0,43.01,29.55,47.39,75.08,88.29,98.29,100.0,92.17,95.64,83.12,16,16,1024,20,30,100,50,2048.0
cora_runpeym97si_GAE,29.55,47.39,75.08,88.29,98.29,100.0,43.01,29.55,47.39,75.08,88.29,98.29,100.0,92.17,95.64,83.12,16,32,128,20,30,100,50,16.0
cora_run6jgv4wut_GAE,29.55,47.39,75.08,88.29,98.29,100.0,43.01,29.55,47.39,75.08,88.29,98.29,100.0,92.17,95.64,83.12,16,32,256,20,30,100,50,16.0
cora_runydqi7xjj_GAE,29.55,47.39,75.08,88.29,98.29,100.0,43.01,29.55,47.39,75.08,88.29,98.29,100.0,92.17,95.64,83.12,16,32,1024,20,30,100,50,16.0
cora_runjwpa5ttq_GAE,29.55,47.39,75.08,88.29,98.29,100.0,43.01,29.55,47.39,75.08,88.29,98.29,100.0,92.17,95.64,83.12,16,32,128,20,30,100,50,32.0
cora_runehpn11z5_GAE,29.55,47.39,75.08,88.29,98.29,100.0,43.01,29.55,47.39,75.08,88.29,98.29,100.0,92.17,95.64,83.12,16,32,256,20,30,100,50,32.0
cora_runqp2y879q_GAE,29.55,47.39,75.08,88.29,98.29,100.0,43.01,29.55,47.39,75.08,88.29,98.29,100.0,92.17,95.64,83.12,16,32,1024,20,30,100,50,32.0
cora_runubgysv8z_GAE,29.55,47.39,75.08,88.29,98.29,100.0,43.01,29.55,47.39,75.08,88.29,98.29,100.0,92.17,95.64,83.12,16,32,128,20,30,100,50,64.0
cora_runwb9pq486_GAE,29.55,47.39,75.08,88.29,98.29,100.0,43.01,29.55,47.39,75.08,88.29,98.29,100.0,92.17,95.64,83.12,16,32,256,20,30,100,50,64.0
