Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc
cora_qs68hqkl_GAE,4.73 ± nan,6.34 ± nan,17.35 ± nan,24.27 ± nan,43.89 ± nan,66.89 ± nan,9.28 ± nan,4.73 ± nan,6.34 ± nan,17.35 ± nan,24.27 ± nan,43.89 ± nan,66.89 ± nan,98.64 ± nan,98.19 ± nan,78.20 ± nan
cora_euunvdj1_GAE,4.73 ± nan,6.34 ± nan,17.23 ± nan,24.27 ± nan,43.91 ± nan,66.87 ± nan,9.28 ± nan,4.73 ± nan,6.34 ± nan,17.23 ± nan,24.27 ± nan,43.91 ± nan,66.87 ± nan,98.64 ± nan,98.19 ± nan,78.20 ± nan
cora_4ujetnuu_GAE,4.75 ± nan,6.39 ± nan,17.24 ± nan,24.25 ± nan,43.89 ± nan,66.77 ± nan,9.29 ± nan,4.75 ± nan,6.39 ± nan,17.24 ± nan,24.25 ± nan,43.89 ± nan,66.77 ± nan,98.64 ± nan,98.19 ± nan,78.18 ± nan
cora_wymo88vt_GAE,4.73 ± nan,6.34 ± nan,17.30 ± nan,24.30 ± nan,43.93 ± nan,66.86 ± nan,9.28 ± nan,4.73 ± nan,6.34 ± nan,17.30 ± nan,24.30 ± nan,43.93 ± nan,66.86 ± nan,98.64 ± nan,98.19 ± nan,78.17 ± nan
cora_qr1gbgvw_GAE,4.73 ± nan,6.34 ± nan,17.35 ± nan,24.27 ± nan,43.91 ± nan,66.86 ± nan,9.28 ± nan,4.73 ± nan,6.34 ± nan,17.35 ± nan,24.27 ± nan,43.91 ± nan,66.86 ± nan,98.64 ± nan,98.19 ± nan,78.21 ± nan
cora_a7xfug7s_GAE,4.73 ± nan,6.34 ± nan,17.35 ± nan,24.27 ± nan,43.91 ± nan,66.87 ± nan,9.28 ± nan,4.73 ± nan,6.34 ± nan,17.35 ± nan,24.27 ± nan,43.91 ± nan,66.87 ± nan,98.64 ± nan,98.19 ± nan,78.20 ± nan
cora_9lfxo1ua_GAE,4.73 ± nan,6.34 ± nan,17.35 ± nan,24.27 ± nan,43.91 ± nan,66.86 ± nan,9.28 ± nan,4.73 ± nan,6.34 ± nan,17.35 ± nan,24.27 ± nan,43.91 ± nan,66.86 ± nan,98.64 ± nan,98.19 ± nan,78.21 ± nan
cora_y6o7ayy3_GAE,0.38 ± nan,7.34 ± nan,16.60 ± nan,25.37 ± nan,45.75 ± nan,63.93 ± nan,6.64 ± nan,0.38 ± nan,7.34 ± nan,16.60 ± nan,25.37 ± nan,45.75 ± nan,63.93 ± nan,98.61 ± nan,98.13 ± nan,78.60 ± nan
cora_uj2i9mwg_GAE,6.11 ± nan,8.89 ± nan,19.54 ± nan,33.79 ± nan,53.76 ± nan,70.36 ± nan,10.74 ± nan,6.11 ± nan,8.89 ± nan,19.54 ± nan,33.79 ± nan,53.76 ± nan,70.36 ± nan,98.69 ± nan,98.35 ± nan,78.20 ± nan
cora_azsxxqb5_GAE,6.11 ± nan,8.89 ± nan,19.54 ± nan,33.82 ± nan,53.76 ± nan,70.36 ± nan,10.74 ± nan,6.11 ± nan,8.89 ± nan,19.54 ± nan,33.82 ± nan,53.76 ± nan,70.36 ± nan,98.69 ± nan,98.35 ± nan,78.20 ± nan
cora_1efl5qu0_GAE,6.10 ± nan,8.89 ± nan,19.60 ± nan,33.75 ± nan,53.74 ± nan,70.29 ± nan,10.74 ± nan,6.10 ± nan,8.89 ± nan,19.60 ± nan,33.75 ± nan,53.74 ± nan,70.29 ± nan,98.69 ± nan,98.35 ± nan,78.20 ± nan
cora_b7o09q7x_GAE,6.11 ± nan,8.89 ± nan,19.54 ± nan,33.79 ± nan,53.79 ± nan,70.34 ± nan,10.74 ± nan,6.11 ± nan,8.89 ± nan,19.54 ± nan,33.79 ± nan,53.79 ± nan,70.34 ± nan,98.69 ± nan,98.35 ± nan,78.21 ± nan
cora_o7rwctt5_GAE,6.10 ± nan,8.89 ± nan,19.54 ± nan,33.86 ± nan,53.78 ± nan,70.34 ± nan,10.73 ± nan,6.10 ± nan,8.89 ± nan,19.54 ± nan,33.86 ± nan,53.78 ± nan,70.34 ± nan,98.69 ± nan,98.35 ± nan,78.20 ± nan
cora_wvn7ysuk_GAE,6.10 ± nan,8.89 ± nan,19.54 ± nan,33.86 ± nan,53.78 ± nan,70.34 ± nan,10.73 ± nan,6.10 ± nan,8.89 ± nan,19.54 ± nan,33.86 ± nan,53.78 ± nan,70.34 ± nan,98.69 ± nan,98.35 ± nan,78.19 ± nan
cora_jhk950w1_GAE,6.11 ± nan,8.89 ± nan,19.54 ± nan,33.78 ± nan,53.79 ± nan,70.34 ± nan,10.74 ± nan,6.11 ± nan,8.89 ± nan,19.54 ± nan,33.78 ± nan,53.79 ± nan,70.34 ± nan,98.69 ± nan,98.35 ± nan,78.21 ± nan
cora_uvaujvts_GAE,6.10 ± nan,8.89 ± nan,19.57 ± nan,33.86 ± nan,53.78 ± nan,70.34 ± nan,10.73 ± nan,6.10 ± nan,8.89 ± nan,19.57 ± nan,33.86 ± nan,53.78 ± nan,70.34 ± nan,98.69 ± nan,98.35 ± nan,78.19 ± nan
cora_ah5bu4cn_GAE,6.11 ± nan,8.89 ± nan,19.54 ± nan,33.84 ± nan,53.83 ± nan,70.34 ± nan,10.74 ± nan,6.11 ± nan,8.89 ± nan,19.54 ± nan,33.84 ± nan,53.83 ± nan,70.34 ± nan,98.69 ± nan,98.35 ± nan,78.21 ± nan
cora_cdyfjuzo_GAE,6.11 ± nan,8.91 ± nan,19.54 ± nan,33.82 ± nan,53.81 ± nan,70.36 ± nan,10.74 ± nan,6.11 ± nan,8.91 ± nan,19.54 ± nan,33.82 ± nan,53.81 ± nan,70.36 ± nan,98.69 ± nan,98.35 ± nan,78.21 ± nan
cora_cgfkule1_GAE,6.11 ± nan,8.89 ± nan,19.54 ± nan,33.84 ± nan,53.83 ± nan,70.34 ± nan,10.74 ± nan,6.11 ± nan,8.89 ± nan,19.54 ± nan,33.84 ± nan,53.83 ± nan,70.34 ± nan,98.69 ± nan,98.35 ± nan,78.21 ± nan
cora_4syatftz_GAE,6.11 ± nan,8.89 ± nan,19.54 ± nan,33.82 ± nan,53.76 ± nan,70.36 ± nan,10.74 ± nan,6.11 ± nan,8.89 ± nan,19.54 ± nan,33.82 ± nan,53.76 ± nan,70.36 ± nan,98.69 ± nan,98.35 ± nan,78.20 ± nan
cora_7sml9ahb_GAE,6.10 ± nan,8.93 ± nan,19.57 ± nan,33.86 ± nan,53.80 ± nan,70.34 ± nan,10.74 ± nan,6.10 ± nan,8.93 ± nan,19.57 ± nan,33.86 ± nan,53.80 ± nan,70.34 ± nan,98.69 ± nan,98.35 ± nan,78.20 ± nan
cora_4bbcsdrt_GAE,6.11 ± nan,8.89 ± nan,19.54 ± nan,33.78 ± nan,53.79 ± nan,70.34 ± nan,10.74 ± nan,6.11 ± nan,8.89 ± nan,19.54 ± nan,33.78 ± nan,53.79 ± nan,70.34 ± nan,98.69 ± nan,98.35 ± nan,78.21 ± nan
cora_a1j9hdx2_GAE,6.10 ± nan,8.89 ± nan,19.54 ± nan,33.86 ± nan,53.78 ± nan,70.34 ± nan,10.73 ± nan,6.10 ± nan,8.89 ± nan,19.54 ± nan,33.86 ± nan,53.78 ± nan,70.34 ± nan,98.69 ± nan,98.35 ± nan,78.19 ± nan
cora_g1x0wyas_GAE,6.11 ± nan,8.89 ± nan,19.54 ± nan,33.82 ± nan,53.79 ± nan,70.34 ± nan,10.74 ± nan,6.11 ± nan,8.89 ± nan,19.54 ± nan,33.82 ± nan,53.79 ± nan,70.34 ± nan,98.69 ± nan,98.35 ± nan,78.22 ± nan
cora_tfuy00z7_GAE,6.11 ± nan,8.89 ± nan,19.54 ± nan,33.84 ± nan,53.83 ± nan,70.34 ± nan,10.74 ± nan,6.11 ± nan,8.89 ± nan,19.54 ± nan,33.84 ± nan,53.83 ± nan,70.34 ± nan,98.69 ± nan,98.35 ± nan,78.21 ± nan
cora_e07p3631_GAE,3.19 ± 2.58,10.86 ± 3.38,19.55 ± 3.14,29.67 ± 4.44,48.75 ± 2.35,66.70 ± 4.61,9.36 ± 1.78,3.19 ± 2.58,10.86 ± 3.38,19.55 ± 3.14,29.67 ± 4.44,48.75 ± 2.35,66.70 ± 4.61,98.61 ± 0.14,98.21 ± 0.16,79.13 ± 0.78
cora_s7e71atp_GAE,6.11 ± nan,8.89 ± nan,19.54 ± nan,33.82 ± nan,53.79 ± nan,70.34 ± nan,10.74 ± nan,6.11 ± nan,8.89 ± nan,19.54 ± nan,33.82 ± nan,53.79 ± nan,70.34 ± nan,98.69 ± nan,98.35 ± nan,78.22 ± nan
cora_xx3h1gyk_GAE,6.11 ± nan,8.89 ± nan,19.54 ± nan,33.79 ± nan,53.79 ± nan,70.34 ± nan,10.74 ± nan,6.11 ± nan,8.89 ± nan,19.54 ± nan,33.79 ± nan,53.79 ± nan,70.34 ± nan,98.69 ± nan,98.35 ± nan,78.21 ± nan
cora_kdnr0xyq_GAE,6.10 ± nan,8.89 ± nan,19.60 ± nan,33.75 ± nan,53.74 ± nan,70.29 ± nan,10.74 ± nan,6.10 ± nan,8.89 ± nan,19.60 ± nan,33.75 ± nan,53.74 ± nan,70.29 ± nan,98.69 ± nan,98.35 ± nan,78.20 ± nan
cora_8my8dlf2_GAE,6.11 ± nan,8.89 ± nan,19.54 ± nan,33.82 ± nan,53.76 ± nan,70.36 ± nan,10.74 ± nan,6.11 ± nan,8.89 ± nan,19.54 ± nan,33.82 ± nan,53.76 ± nan,70.36 ± nan,98.69 ± nan,98.35 ± nan,78.20 ± nan
cora_co63f2nr_GAE,6.11 ± nan,8.89 ± nan,19.54 ± nan,33.79 ± nan,53.76 ± nan,70.36 ± nan,10.74 ± nan,6.11 ± nan,8.89 ± nan,19.54 ± nan,33.79 ± nan,53.76 ± nan,70.36 ± nan,98.69 ± nan,98.35 ± nan,78.20 ± nan
cora_j6rzkf3i_GAE,6.10 ± nan,8.89 ± nan,19.54 ± nan,33.86 ± nan,53.78 ± nan,70.34 ± nan,10.73 ± nan,6.10 ± nan,8.89 ± nan,19.54 ± nan,33.86 ± nan,53.78 ± nan,70.34 ± nan,98.69 ± nan,98.35 ± nan,78.19 ± nan
cora_juql7qgy_GAE,6.10 ± nan,8.91 ± nan,19.57 ± nan,33.54 ± nan,53.68 ± nan,70.27 ± nan,10.74 ± nan,6.10 ± nan,8.91 ± nan,19.57 ± nan,33.54 ± nan,53.68 ± nan,70.27 ± nan,98.69 ± nan,98.35 ± nan,78.19 ± nan
cora_ezeubsmk_GAE,6.10 ± nan,8.89 ± nan,19.54 ± nan,33.86 ± nan,53.80 ± nan,70.34 ± nan,10.73 ± nan,6.10 ± nan,8.89 ± nan,19.54 ± nan,33.86 ± nan,53.80 ± nan,70.34 ± nan,98.69 ± nan,98.35 ± nan,78.19 ± nan
cora_lsfi4ijs_GAE,6.11 ± nan,8.89 ± nan,19.54 ± nan,33.82 ± nan,53.76 ± nan,70.36 ± nan,10.74 ± nan,6.11 ± nan,8.89 ± nan,19.54 ± nan,33.82 ± nan,53.76 ± nan,70.36 ± nan,98.69 ± nan,98.35 ± nan,78.20 ± nan
cora_1759zjc1_GAE,6.11 ± nan,8.89 ± nan,19.54 ± nan,33.79 ± nan,53.76 ± nan,70.36 ± nan,10.74 ± nan,6.11 ± nan,8.89 ± nan,19.54 ± nan,33.79 ± nan,53.76 ± nan,70.36 ± nan,98.69 ± nan,98.35 ± nan,78.20 ± nan
cora_3w60sl46_GAE,6.10 ± nan,8.89 ± nan,19.58 ± nan,33.64 ± nan,53.76 ± nan,70.25 ± nan,10.74 ± nan,6.10 ± nan,8.89 ± nan,19.58 ± nan,33.64 ± nan,53.76 ± nan,70.25 ± nan,98.69 ± nan,98.35 ± nan,78.19 ± nan
