Metric,Hits@1,Hits@3,Hits@10,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit100,AUC,AP,acc
cora_zic5hbqi_GAT,0.3726,0.4144,0.6084,0.7871,0.4295,0.3726,0.4144,0.6084,0.7871,0.8465,0.8812,0.75285
cora_qfkbwe9t_gae,0.0837,0.403,0.5741,0.9125,0.27,0.0837,0.403,0.5741,0.9125,0.9007,0.9096,0.75095
cora_nun1eu4x_gae,0.057,0.2015,0.4829,0.8935,0.1902,0.057,0.2015,0.4829,0.8935,0.8775,0.8791,0.76236
cora_1yuishpg_gae,0.0722,0.27,0.5475,0.8973,0.238,0.0722,0.27,0.5475,0.8973,0.8886,0.8979,0.76996
cora_dovs7j05_gae,0.1255,0.2053,0.4639,0.9278,0.2317,0.1255,0.2053,0.4639,0.9278,0.8913,0.8938,0.77376
cora_f4x98q54_gae,0.3194,0.403,0.6122,0.9163,0.3962,0.3194,0.403,0.6122,0.9163,0.9052,0.9162,0.77376
cora_82ymz4ls_gae,0.1521,0.2357,0.5095,0.9125,0.2526,0.1521,0.2357,0.5095,0.9125,0.8887,0.8944,0.80038
cora_o2budjnn_gae,0.1331,0.4335,0.6084,0.9202,0.2946,0.1331,0.4335,0.6084,0.9202,0.9045,0.9129,0.77186
cora_j6qtkbmx_gae,0.0418,0.1483,0.327,0.9011,0.1311,0.0418,0.1483,0.327,0.9011,0.85,0.8398,0.76236
cora_xxnwjan0_gae,0.2015,0.4221,0.6236,0.8935,0.3545,0.2015,0.4221,0.6236,0.8935,0.8986,0.9136,0.76996
cora_y5ujcxao_GAT,0.3232,0.4259,0.5589,0.7985,0.4062,0.3232,0.4259,0.5589,0.7985,0.8453,0.8822,0.75095
cora_ckup3ruy_gae,0.1483,0.4753,0.6122,0.9544,0.3429,0.1483,0.4753,0.6122,0.9544,0.9179,0.9243,0.79468
cora_cs3pu96h_gae,0.0798,0.1103,0.4791,0.9011,0.1721,0.0798,0.1103,0.4791,0.9011,0.8848,0.8806,0.77947
cora_gzu8ageb_gae,0.1521,0.4335,0.5894,0.924,0.3151,0.1521,0.4335,0.5894,0.924,0.9047,0.9143,0.78137
cora_00ah7yp6_gae,0.0684,0.2053,0.3878,0.8973,0.1736,0.0684,0.2053,0.3878,0.8973,0.8629,0.8669,0.79278
cora_o7ewm545_gae,0.3878,0.4905,0.635,0.9202,0.4612,0.3878,0.4905,0.635,0.9202,0.9081,0.9205,0.75856
cora_6sff8ors_gae,0.5209,0.5513,0.6578,0.9202,0.5657,0.5209,0.5513,0.6578,0.9202,0.9152,0.9328,0.75285
cora_bc7kdp6l_gae,0.0837,0.3156,0.4601,0.9316,0.2229,0.0837,0.3156,0.4601,0.9316,0.8973,0.8989,0.79278
cora_82e4iukz_gae,0.3954,0.4943,0.6084,0.8897,0.4661,0.3954,0.4943,0.6084,0.8897,0.8985,0.9164,0.76996
cora_i4xa9cch_gae,0.1141,0.1521,0.3764,0.9316,0.1964,0.1141,0.1521,0.3764,0.9316,0.8913,0.8859,0.78517
cora_b7b0bscl_GAT,0.1141,0.3688,0.4373,0.7719,0.2419,0.1141,0.3688,0.4373,0.7719,0.7961,0.8282,0.63878
cora_2k986mql_gae,0.2852,0.4373,0.5894,0.8973,0.3783,0.2852,0.4373,0.5894,0.8973,0.8965,0.9104,0.76616
cora_k1tmdx2v_gae,0.0875,0.1369,0.4411,0.8935,0.1793,0.0875,0.1369,0.4411,0.8935,0.8864,0.884,0.75665
cora_nlqrhqa6_gae,0.2053,0.403,0.597,0.8783,0.3539,0.2053,0.403,0.597,0.8783,0.9036,0.918,0.76046
cora_d0bw87w5_gae,0.1027,0.1255,0.4183,0.9163,0.1888,0.1027,0.1255,0.4183,0.9163,0.8677,0.8724,0.80038
cora_t51qk7zo_gae,0.0989,0.3726,0.4791,0.9125,0.2476,0.0989,0.3726,0.4791,0.9125,0.9003,0.9045,0.74525
cora_umxpdvyl_gae,0.1407,0.327,0.6388,0.8935,0.2779,0.1407,0.327,0.6388,0.8935,0.897,0.9083,0.76236
cora_o0313dwk_gae,0.0989,0.2015,0.4411,0.8783,0.2025,0.0989,0.2015,0.4411,0.8783,0.8837,0.8846,0.77947
cora_x02n24dw_gae,0.1825,0.5475,0.7034,0.9087,0.3642,0.1825,0.5475,0.7034,0.9087,0.9135,0.9253,0.76236
cora_idrtnc0m_gae,0.0684,0.2015,0.4677,0.9011,0.1834,0.0684,0.2015,0.4677,0.9011,0.8885,0.8855,0.76616
cora_3s8yi9w0_gae,0.1787,0.3802,0.6996,0.9202,0.3361,0.1787,0.3802,0.6996,0.9202,0.9083,0.9199,0.75856
cora_gkorluj4_GAT,0.0951,0.1293,0.3802,0.7414,0.1715,0.0951,0.1293,0.3802,0.7414,0.7738,0.8016,0.62167
cora_lg793dfn_gae,0.1673,0.5475,0.6654,0.8897,0.3819,0.1673,0.5475,0.6654,0.8897,0.9091,0.9246,0.75475
cora_f6yi1e6y_gae,0.1559,0.2471,0.4791,0.9125,0.2489,0.1559,0.2471,0.4791,0.9125,0.8955,0.8961,0.76236
cora_3itz2wix_gae,0.1293,0.2662,0.4601,0.9087,0.2319,0.1293,0.2662,0.4601,0.9087,0.882,0.8855,0.75475
cora_x4hjjcu3_gae,0.0837,0.1445,0.403,0.9468,0.1733,0.0837,0.1445,0.403,0.9468,0.8952,0.8808,0.79848
cora_hko0p2ga_gae,0.0684,0.2433,0.4373,0.9202,0.1938,0.0684,0.2433,0.4373,0.9202,0.8809,0.8873,0.81939
cora_xpp6aky3_GAT,0.308,0.3992,0.5703,0.7947,0.3899,0.308,0.3992,0.5703,0.7947,0.8545,0.8834,0.76616
cora_kc40oqeu_gae,0.1635,0.2433,0.3726,0.9125,0.2384,0.1635,0.2433,0.3726,0.9125,0.8822,0.8845,0.76996
cora_51p1r4ys_gae,0.0646,0.1407,0.3688,0.8935,0.1646,0.0646,0.1407,0.3688,0.8935,0.8602,0.8642,0.80228
cora_9wuad21g_gae,0.1635,0.2319,0.4829,0.9163,0.2499,0.1635,0.2319,0.4829,0.9163,0.89,0.8941,0.78897
cora_mffhrjca_gae,0.1293,0.1483,0.4144,0.9163,0.1998,0.1293,0.1483,0.4144,0.9163,0.885,0.8797,0.77567
cora_03lbz1mi_GAT,0.308,0.403,0.6008,0.7947,0.3796,0.308,0.403,0.6008,0.7947,0.857,0.8856,0.74715
cora_hvtpf8z2_gae,0.1407,0.2015,0.4411,0.9354,0.2388,0.1407,0.2015,0.4411,0.9354,0.8942,0.8939,0.80038
cora_xznhso4o_gae,0.0798,0.1901,0.4525,0.8897,0.177,0.0798,0.1901,0.4525,0.8897,0.8527,0.8637,0.78137
cora_f1iurcrx_gae,0.1103,0.2395,0.4525,0.8707,0.2046,0.1103,0.2395,0.4525,0.8707,0.848,0.8617,0.79087
cora_6leiqrvb_gae,0.1559,0.2852,0.4677,0.8935,0.2662,0.1559,0.2852,0.4677,0.8935,0.8637,0.883,0.81179
