Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc
cora_eahtrs4l_gae,0.2624,0.4563,0.5894,0.654,0.8517,0.9202,0.3882,0.2624,0.4563,0.5894,0.654,0.8517,0.9202,0.8919,0.9103,0.80418
cora_jajdgj0a_gae,0.3004,0.4525,0.5856,0.6616,0.8479,0.9163,0.4045,0.3004,0.4525,0.5856,0.6616,0.8479,0.9163,0.8909,0.9101,0.80038
cora_7qnklt04_gae,0.2662,0.4639,0.5399,0.6502,0.8403,0.9163,0.3913,0.2662,0.4639,0.5399,0.6502,0.8403,0.9163,0.8914,0.9087,0.80418
cora_n2fun7vi_gae,0.2662,0.4639,0.5399,0.6502,0.8403,0.9163,0.3913,0.2662,0.4639,0.5399,0.6502,0.8403,0.9163,0.8914,0.9087,0.80418
cora_fdovgfip_gae,0.2662,0.4639,0.5399,0.6502,0.8403,0.9163,0.3913,0.2662,0.4639,0.5399,0.6502,0.8403,0.9163,0.8914,0.9087,0.80418
cora_w3vefpgu_gae,0.27,0.4639,0.5399,0.6502,0.8403,0.9125,0.3937,0.27,0.4639,0.5399,0.6502,0.8403,0.9125,0.8913,0.9087,0.80608
cora_5zxvh6e8_gae,0.2852,0.4487,0.5779,0.6616,0.8517,0.9163,0.3978,0.2852,0.4487,0.5779,0.6616,0.8517,0.9163,0.8919,0.9105,0.80038
cora_t3zssgmd_gae,0.2586,0.4639,0.5475,0.6502,0.8517,0.924,0.3879,0.2586,0.4639,0.5475,0.6502,0.8517,0.924,0.8934,0.9103,0.80418
cora_7cv51uou_gae,0.2928,0.4563,0.5779,0.6578,0.8403,0.924,0.4024,0.2928,0.4563,0.5779,0.6578,0.8403,0.924,0.8919,0.9097,0.80418
cora_t6boj41h_gae,0.251,0.4525,0.5551,0.6578,0.8479,0.9202,0.3819,0.251,0.4525,0.5551,0.6578,0.8479,0.9202,0.8911,0.9089,0.79658
cora_ya9o1tga_gae,0.2776,0.4525,0.5551,0.6616,0.8479,0.9163,0.3903,0.2776,0.4525,0.5551,0.6616,0.8479,0.9163,0.8876,0.9066,0.80038
cora_i4vpkkai_gae,0.2776,0.4525,0.5399,0.654,0.8441,0.9125,0.3936,0.2776,0.4525,0.5399,0.654,0.8441,0.9125,0.8881,0.9071,0.80608
cora_t7czc18q_gae,0.2395,0.4601,0.5703,0.6616,0.8517,0.9202,0.3763,0.2395,0.4601,0.5703,0.6616,0.8517,0.9202,0.8922,0.9095,0.79848
cora_a5uwobl5_gae,0.251,0.4715,0.5551,0.6578,0.8517,0.9163,0.3807,0.251,0.4715,0.5551,0.6578,0.8517,0.9163,0.8898,0.9082,0.80798
cora_6mqwhvh1_gae,0.2548,0.4753,0.5741,0.6578,0.8517,0.9278,0.3849,0.2548,0.4753,0.5741,0.6578,0.8517,0.9278,0.8913,0.9097,0.80798
cora_nmqas95l_gae,0.2852,0.4563,0.5665,0.6464,0.8479,0.9163,0.3933,0.2852,0.4563,0.5665,0.6464,0.8479,0.9163,0.8896,0.9076,0.80798
cora_tf7jhcj5_gae,0.2662,0.4335,0.5399,0.6654,0.8517,0.924,0.3824,0.2662,0.4335,0.5399,0.6654,0.8517,0.924,0.8889,0.9075,0.80228
cora_glnr3ge7_gae,0.2662,0.4335,0.5399,0.6654,0.8517,0.924,0.3824,0.2662,0.4335,0.5399,0.6654,0.8517,0.924,0.8888,0.9075,0.80228
cora_4q96cmua_gae,0.2662,0.4449,0.5665,0.6654,0.8555,0.9125,0.3884,0.2662,0.4449,0.5665,0.6654,0.8555,0.9125,0.8926,0.9112,0.80038
cora_veakanok_gae,0.2776,0.4259,0.5437,0.6654,0.8479,0.924,0.3856,0.2776,0.4259,0.5437,0.6654,0.8479,0.924,0.8916,0.9084,0.80228
cora_a1y8zapx_gae,0.2624,0.4601,0.5399,0.6502,0.8403,0.9125,0.389,0.2624,0.4601,0.5399,0.6502,0.8403,0.9125,0.8912,0.9084,0.80228
cora_k53xrjer_gae,0.2433,0.4639,0.5437,0.6502,0.8517,0.924,0.3805,0.2433,0.4639,0.5437,0.6502,0.8517,0.924,0.8918,0.9091,0.79658
cora_z2d1b3e6_gae,0.2662,0.4715,0.5627,0.6654,0.8555,0.9163,0.391,0.2662,0.4715,0.5627,0.6654,0.8555,0.9163,0.8917,0.9103,0.80038
cora_nb3k8fq2_gae,0.27,0.4563,0.5665,0.6616,0.8479,0.924,0.3885,0.27,0.4563,0.5665,0.6616,0.8479,0.924,0.8913,0.9099,0.80798
cora_4sjpfyhv_gae,0.27,0.4335,0.5589,0.6616,0.8479,0.924,0.3865,0.27,0.4335,0.5589,0.6616,0.8479,0.924,0.8913,0.9092,0.79848
cora_n90kav7n_gae,0.251,0.4525,0.5551,0.6578,0.8479,0.9202,0.3819,0.251,0.4525,0.5551,0.6578,0.8479,0.9202,0.8911,0.9089,0.79658
cora_70zmnj70_gae,0.2624,0.4601,0.5741,0.6578,0.8365,0.9163,0.3868,0.2624,0.4601,0.5741,0.6578,0.8365,0.9163,0.8912,0.9093,0.80038
cora_vjj0imqi_gae,0.2548,0.4449,0.5779,0.654,0.8479,0.9163,0.3783,0.2548,0.4449,0.5779,0.654,0.8479,0.9163,0.8899,0.908,0.80038
cora_txvst8um_gae,0.2624,0.4601,0.5437,0.6502,0.8403,0.9125,0.3891,0.2624,0.4601,0.5437,0.6502,0.8403,0.9125,0.8915,0.9086,0.80608
cora_evw8f1kq_gae,0.2319,0.4373,0.5551,0.6502,0.8517,0.9202,0.3669,0.2319,0.4373,0.5551,0.6502,0.8517,0.9202,0.8893,0.9072,0.80418
cora_rb35j09w_gae,0.2814,0.4411,0.5551,0.6502,0.8479,0.924,0.392,0.2814,0.4411,0.5551,0.6502,0.8479,0.924,0.8892,0.9079,0.80798
cora_jfj7nr3x_gae,0.251,0.4525,0.5551,0.6578,0.8479,0.9202,0.3819,0.251,0.4525,0.5551,0.6578,0.8479,0.9202,0.891,0.9088,0.79658
cora_adhj4352_gae,0.2624,0.4449,0.5361,0.6578,0.8479,0.9163,0.3792,0.2624,0.4449,0.5361,0.6578,0.8479,0.9163,0.8905,0.9077,0.80228
cora_5t7wmbfl_gae,0.2738,0.4525,0.5703,0.6426,0.8479,0.9202,0.3891,0.2738,0.4525,0.5703,0.6426,0.8479,0.9202,0.8889,0.9071,0.79658
cora_1o9csfuf_gae,0.2624,0.4601,0.5399,0.6502,0.8403,0.9125,0.389,0.2624,0.4601,0.5399,0.6502,0.8403,0.9125,0.8912,0.9084,0.80228
cora_bvfo1yaz_gae,0.251,0.4487,0.5551,0.6578,0.8555,0.924,0.3793,0.251,0.4487,0.5551,0.6578,0.8555,0.924,0.892,0.9092,0.81749
cora_p034jr18_gae,0.2928,0.4563,0.5779,0.6578,0.8403,0.924,0.4024,0.2928,0.4563,0.5779,0.6578,0.8403,0.924,0.8918,0.9097,0.80418
cora_ty1nnvag_gae,0.2814,0.4639,0.5703,0.635,0.8479,0.9163,0.3941,0.2814,0.4639,0.5703,0.635,0.8479,0.9163,0.8885,0.907,0.80038
cora_xnfzoctt_gae,0.2586,0.4297,0.5513,0.6616,0.8441,0.9278,0.3728,0.2586,0.4297,0.5513,0.6616,0.8441,0.9278,0.8888,0.9063,0.79658
cora_toiwmpjl_gae,0.27,0.4259,0.5589,0.6654,0.8441,0.9202,0.3765,0.27,0.4259,0.5589,0.6654,0.8441,0.9202,0.8894,0.9066,0.79658
cora_phy39eei_gae,0.27,0.4639,0.5399,0.6502,0.8403,0.9125,0.3929,0.27,0.4639,0.5399,0.6502,0.8403,0.9125,0.8911,0.9085,0.80608
cora_yu6450na_gae,0.2395,0.4525,0.5741,0.6654,0.8479,0.9316,0.3735,0.2395,0.4525,0.5741,0.6654,0.8479,0.9316,0.8937,0.911,0.80798
cora_w8vhz984_gae,0.3004,0.4601,0.5894,0.6654,0.8517,0.9202,0.409,0.3004,0.4601,0.5894,0.6654,0.8517,0.9202,0.8921,0.9115,0.80798
cora_fn6p8h05_gae,0.2624,0.4639,0.5399,0.6502,0.8403,0.9087,0.3887,0.2624,0.4639,0.5399,0.6502,0.8403,0.9087,0.8913,0.9086,0.80418
