Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc
arxiv_2023_21kxewy1_GAE,0.00 ± nan,11.92 ± nan,0.00 ± nan,30.88 ± nan,38.51 ± nan,47.59 ± nan,9.64 ± nan,0.00 ± nan,11.92 ± nan,24.44 ± nan,30.88 ± nan,38.51 ± nan,47.59 ± nan,95.77 ± nan,96.21 ± nan,92.83 ± nan
arxiv_2023_jo5ungyi_GAE,0.00 ± nan,11.92 ± nan,0.00 ± nan,30.88 ± nan,38.51 ± nan,47.59 ± nan,9.64 ± nan,0.00 ± nan,11.92 ± nan,24.44 ± nan,30.88 ± nan,38.51 ± nan,47.59 ± nan,95.76 ± nan,96.20 ± nan,92.83 ± nan
arxiv_2023_4jc48b6n_GAE,0.00 ± nan,11.92 ± nan,0.00 ± nan,30.88 ± nan,38.51 ± nan,47.59 ± nan,9.64 ± nan,0.00 ± nan,11.92 ± nan,24.44 ± nan,30.88 ± nan,38.51 ± nan,47.59 ± nan,95.79 ± nan,96.22 ± nan,92.83 ± nan
arxiv_2023_06m3yqom_GAE,0.00 ± nan,11.93 ± nan,0.00 ± nan,30.87 ± nan,38.51 ± nan,47.58 ± nan,9.65 ± nan,0.00 ± nan,11.93 ± nan,24.40 ± nan,30.87 ± nan,38.51 ± nan,47.58 ± nan,95.63 ± nan,96.13 ± nan,92.83 ± nan
arxiv_2023_4773wrvy_GAE,0.00 ± nan,11.93 ± nan,0.00 ± nan,30.87 ± nan,38.51 ± nan,47.58 ± nan,9.65 ± nan,0.00 ± nan,11.93 ± nan,24.41 ± nan,30.87 ± nan,38.51 ± nan,47.58 ± nan,95.89 ± nan,96.28 ± nan,92.85 ± nan
arxiv_2023_f018whan_GAE,0.00 ± nan,11.92 ± nan,0.00 ± nan,30.88 ± nan,38.51 ± nan,47.59 ± nan,9.64 ± nan,0.00 ± nan,11.92 ± nan,24.44 ± nan,30.88 ± nan,38.51 ± nan,47.59 ± nan,95.79 ± nan,96.22 ± nan,92.83 ± nan
arxiv_2023_b6pnnh55_GAE,0.00 ± nan,11.93 ± nan,0.00 ± nan,30.87 ± nan,38.50 ± nan,47.58 ± nan,9.65 ± nan,0.00 ± nan,11.93 ± nan,24.37 ± nan,30.87 ± nan,38.50 ± nan,47.58 ± nan,95.61 ± nan,96.11 ± nan,92.83 ± nan
arxiv_2023_4yfdd597_GAE,0.00 ± nan,11.92 ± nan,0.00 ± nan,30.87 ± nan,38.51 ± nan,47.59 ± nan,9.64 ± nan,0.00 ± nan,11.92 ± nan,24.45 ± nan,30.87 ± nan,38.51 ± nan,47.59 ± nan,95.79 ± nan,96.22 ± nan,92.85 ± nan
arxiv_2023_yr569pra_GAE,0.00 ± nan,11.92 ± nan,0.00 ± nan,30.87 ± nan,38.51 ± nan,47.58 ± nan,9.64 ± nan,0.00 ± nan,11.92 ± nan,24.38 ± nan,30.87 ± nan,38.51 ± nan,47.58 ± nan,95.65 ± nan,96.14 ± nan,92.83 ± nan
arxiv_2023_d30oj4k5_GAE,0.00 ± nan,11.93 ± nan,0.00 ± nan,30.86 ± nan,38.51 ± nan,47.58 ± nan,9.65 ± nan,0.00 ± nan,11.93 ± nan,24.41 ± nan,30.86 ± nan,38.51 ± nan,47.58 ± nan,95.88 ± nan,96.27 ± nan,92.85 ± nan
arxiv_2023_sgeebjc1_GAE,0.00 ± nan,11.93 ± nan,0.00 ± nan,30.86 ± nan,38.51 ± nan,47.58 ± nan,9.65 ± nan,0.00 ± nan,11.93 ± nan,24.41 ± nan,30.86 ± nan,38.51 ± nan,47.58 ± nan,95.89 ± nan,96.28 ± nan,92.85 ± nan
arxiv_2023_eosxyv5u_GAE,0.00 ± nan,11.93 ± nan,0.00 ± nan,30.87 ± nan,38.50 ± nan,47.58 ± nan,9.65 ± nan,0.00 ± nan,11.93 ± nan,24.39 ± nan,30.87 ± nan,38.50 ± nan,47.58 ± nan,95.62 ± nan,96.12 ± nan,92.83 ± nan
arxiv_2023_01nfraia_GAE,0.00 ± nan,11.92 ± nan,0.00 ± nan,30.88 ± nan,38.51 ± nan,47.59 ± nan,9.64 ± nan,0.00 ± nan,11.92 ± nan,24.40 ± nan,30.88 ± nan,38.51 ± nan,47.59 ± nan,95.68 ± nan,96.15 ± nan,92.82 ± nan
arxiv_2023_foswo4o0_GAE,0.00 ± nan,11.93 ± nan,0.00 ± nan,30.87 ± nan,38.51 ± nan,47.58 ± nan,9.65 ± nan,0.00 ± nan,11.93 ± nan,24.41 ± nan,30.87 ± nan,38.51 ± nan,47.58 ± nan,95.88 ± nan,96.27 ± nan,92.85 ± nan
arxiv_2023_m0z554je_GAE,0.00 ± nan,11.92 ± nan,0.00 ± nan,30.87 ± nan,38.51 ± nan,47.58 ± nan,9.64 ± nan,0.00 ± nan,11.92 ± nan,24.37 ± nan,30.87 ± nan,38.51 ± nan,47.58 ± nan,95.63 ± nan,96.13 ± nan,92.83 ± nan
Best,8.65,16.89,18.81,32.38,38.65,47.59,13.82,8.65,11.93,28.2,32.38,38.65,47.59,96.33,96.79,93.24
