Metric,Hits@1,Hits@3,Hits@10,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit100,AUC,AP
CN_<built-in function id>_arxiv_2023_,0.1202,0.2322,0.2707,0.2707,0.1859,0.1202,0.2322,0.2707,0.2707,0.6349,0.635
AA_<built-in function id>_arxiv_2023_,0.2002,0.2564,0.2707,0.2707,0.227,0.2002,0.2564,0.2707,0.2707,0.6349,0.6352
RA_<built-in function id>_arxiv_2023_,0.1956,0.2577,0.2707,0.2707,0.2266,0.1956,0.2577,0.2707,0.2707,0.6349,0.6352
Ben_PPR_<built-in function id>_arxiv_2023_,0.9638,0.9643,0.9674,0.9679,0.9645,0.9638,0.9643,0.9674,0.9679,0.9839,0.9839
shortest_path_<built-in function id>_arxiv_2023_,0.9445,0.9445,0.9738,0.9857,0.9548,0.9445,0.9738,0.9738,0.9857,0.9929,0.9934
katz_apro_<built-in function id>_arxiv_2023_,0.9674,0.9692,0.9771,0.9822,0.9703,0.9674,0.9692,0.9771,0.9822,0.991,0.9911
pairwise_pred_dot_<built-in function id>_arxiv_2023_,0.0003,0.0061,0.0234,0.1317,0.0101,0.0003,0.0061,0.0234,0.1317,0.707,0.7024
Best,0.9674,0.9692,0.9771,0.9857,0.9703,0.9674,0.9738,0.9771,0.9857,0.9929,0.9934
