Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc,base_lr,batch_size,out_channels,hidden_channels,epochs
arxiv_2023_runprmqiu94_GraphSage,2.03,3.19,16.94,30.32,48.43,78.85,9.64,2.03,7.3,11.41,31.39,50.0,79.46,96.19,95.15,80.86,0.015,1024,64,32,1000
arxiv_2023_runi91y21se_GraphSage,2.03,3.19,16.94,30.32,48.43,78.85,9.64,2.03,7.3,12.73,31.39,50.0,79.46,96.19,95.15,80.86,0.015,1024,64,64,1000
Best,2.03,3.19,16.94,30.32,48.43,78.85,9.64,2.03,7.3,12.73,31.39,50.0,79.46,96.19,95.15,80.86,0.015,1024,64,64,1000
