Metric,CN_acc,AA_acc,RA_acc,InverseRA_acc,Ben_PPR_acc,SymPPR_acc,shortest_path_acc,katz_apro_acc,katz_close_acc,pairwise_pred_acc,node2vec_acc
cora_ba36f083-b324-44f0-8e71-089e5224623f,0.6692014932632446,0.4961977303028106,0.4961977303028106,0.4980988502502441,0.517110288143158,0.5,0.5285171270370483,0.838403046131134,0.5285171270370483,0.0,
cora_51587d61-8f70-458f-882c-2bef9ee6894b,,,,,,,,,,,0.7623574144486692
cora_98aa385a-3e2e-41b4-b25b-a9d024b5eb44,,,,,,,,,,,0.7414448669201521
cora_6a2731d6-9e80-46a4-b2f3-6847f420fbce,,,,,,,,,,,0.747148288973384
cora_03667076-831e-42ca-9a40-2d56a2183d8e,,,,,,,,,,,0.7661596958174905
cora_98d1e68f-12e2-4956-999a-e098c49f5cf7,,,,,,,,,,,0.7680608365019012
cora_82f645ff-1d97-4fb3-af15-401075dc3841,,,,,,,,,,,0.7756653992395437
cora_b6409670-ede9-461b-866b-883c0d5f818a,,,,,,,,,,,0.779467680608365
cora_24aab0c3-efa7-4a8f-8095-8e11b8ad6391,,,,,,,,,,,0.7946768060836502
cora_1ce68465-23b4-493d-96e4-ae8dea22e43d,,,,,,,,,,,0.7889733840304183
cora_5f57dfc2-20a6-426b-ad5a-011031916695,,,,,,,,,,,0.7946768060836502
cora_6abec25c-4de3-45d9-8b1f-c427a25347c1,,,,,,,,,,,0.7661596958174905
cora_f47b3da6-ea64-445c-a543-002fd8c3c9da,,,,,,,,,,,0.7775665399239544
cora_d050ec48-8fc7-472f-ba62-a16b0d656269,,,,,,,,,,,0.7832699619771863
cora_b4d0c19c-a1d9-42f8-a7aa-5e62bcd99afb,,,,,,,,,,,0.7585551330798479
cora_65269029-1068-422e-b996-8fbdf94f4497,,,,,,,,,,,0.7889733840304183
cora_543635ec-b843-4ee9-a8f5-077faf43a112,,,,,,,,,,,0.7889733840304183
cora_d810173a-b453-479a-abda-03eefb180067,,,,,,,,,,,0.7832699619771863
cora_af01795c-ca10-43a3-876b-df25668b7290,,,,,,,,,,,0.785171102661597
cora_8bec0a2c-fc7d-4c43-a0ee-c06e71046b9d,,,,,,,,,,,0.779467680608365
cora_570d52e0-7673-4081-b073-015ca7115830,,,,,,,,,,,0.779467680608365
cora_90e00ec6-dd7a-4384-970e-8678dab31e61,,,,,,,,,,,0.8003802281368821
cora_40f6c4e4-e3de-4e03-a386-22484cf37c3d,,,,,,,,,,,0.7775665399239544
cora_aee6b552-0e62-4826-ae93-36eefe468579,,,,,,,,,,,0.7775665399239544
cora_a78b2f1c-cec9-4cb0-8297-81e3b1cf6344,,,,,,,,,,,0.7718631178707225
cora_b8757a6b-8315-4ce4-b7f4-3aa0a0cdf4b6,,,,,,,,,,,0.7965779467680608
cora_da752e17-ae3b-4d70-a74a-fd3a708e60ed,,,,,,,,,,,0.7908745247148289
cora_9ffd2e0f-0027-4875-ad8b-b34e7886e0c8,,,,,,,,,,,0.7927756653992395
cora_13b61170-1aef-4112-9313-b7aa6d2729e4,,,,,,,,,,,0.7832699619771863
cora_d4e8ea68-c85a-4471-9517-9da875bc80e2,,,,,,,,,,,0.7775665399239544
cora_f99988be-e064-4333-8090-6d2d27288b9d,,,,,,,,,,,0.779467680608365
cora_e758a0aa-69ed-4ad6-aa40-fa2e7ff8efe5,,,,,,,,,,,0.7775665399239544
cora_a1dd5dfd-b522-4bd2-9ce3-49d954d7131e,,,,,,,,,,,0.7927756653992395
cora_351132b8-3dfb-4d96-b440-ab391dfce05e,,,,,,,,,,,0.7718631178707225
cora_bf0835c8-3329-497b-8cb4-e13e26a56b11,,,,,,,,,,,0.8079847908745247
cora_cca788de-d8ac-4db4-9ee3-cdfe01d01ebc,,,,,,,,,,,0.7889733840304183
