Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc
cora_7qx06wkw_GAE_with_get_loader_RW,7.94 ± nan,17.17 ± nan,35.04 ± nan,61.02 ± nan,86.35 ± nan,97.46 ± nan,19.94 ± nan,7.94 ± nan,17.17 ± nan,35.04 ± nan,61.02 ± nan,86.35 ± nan,97.46 ± nan,99.64 ± nan,99.58 ± nan,86.36 ± nan
cora_t8vlakgb_GAE_with_get_loader_RW,14.07 ± nan,23.68 ± nan,50.59 ± nan,73.05 ± nan,96.50 ± nan,98.30 ± nan,27.93 ± nan,14.07 ± nan,23.68 ± nan,50.59 ± nan,73.05 ± nan,96.50 ± nan,98.30 ± nan,99.82 ± nan,99.74 ± nan,91.51 ± nan
cora_tdeurb8f_GAE_with_get_loader_RW,7.88 ± nan,18.40 ± nan,44.68 ± nan,57.88 ± nan,89.89 ± nan,97.71 ± nan,19.33 ± nan,7.88 ± nan,18.40 ± nan,44.68 ± nan,57.88 ± nan,89.89 ± nan,97.71 ± nan,99.65 ± nan,99.58 ± nan,87.64 ± nan
cora_24w1zoat_GAE_with_get_loader_RW,8.37 ± nan,18.36 ± nan,42.97 ± nan,57.65 ± nan,86.46 ± nan,98.68 ± nan,19.78 ± nan,8.37 ± nan,18.36 ± nan,42.97 ± nan,57.65 ± nan,86.46 ± nan,98.68 ± nan,99.64 ± nan,99.65 ± nan,87.24 ± nan
cora_k0gdwj18_GAE_with_get_loader_RW,8.52 ± nan,13.72 ± nan,39.03 ± nan,56.62 ± nan,89.65 ± nan,98.57 ± nan,19.77 ± nan,8.52 ± nan,13.72 ± nan,39.03 ± nan,56.62 ± nan,89.65 ± nan,98.57 ± nan,99.64 ± nan,99.58 ± nan,86.29 ± nan
cora_7i9imna3_GAE_with_get_loader_RW,8.37 ± nan,13.93 ± nan,34.13 ± nan,59.54 ± nan,87.90 ± nan,96.11 ± nan,19.03 ± nan,8.37 ± nan,13.93 ± nan,34.13 ± nan,59.54 ± nan,87.90 ± nan,96.11 ± nan,99.64 ± nan,99.64 ± nan,85.31 ± nan
cora_iisnchfo_GAE_with_get_loader_RW,19.75 ± nan,24.64 ± nan,60.69 ± nan,77.26 ± nan,96.45 ± nan,98.94 ± nan,28.86 ± nan,19.75 ± nan,24.64 ± nan,60.69 ± nan,77.26 ± nan,96.45 ± nan,98.94 ± nan,99.60 ± nan,99.74 ± nan,91.14 ± nan
cora_vaprva6j_GAE_with_get_loader_RW,20.28 ± nan,22.88 ± nan,59.75 ± nan,74.69 ± nan,98.00 ± nan,98.49 ± nan,28.77 ± nan,20.28 ± nan,22.88 ± nan,59.75 ± nan,74.69 ± nan,98.00 ± nan,98.49 ± nan,99.60 ± nan,99.74 ± nan,91.22 ± nan
cora_2e29lqvo_GAE_with_get_loader_RW,8.72 ± nan,18.57 ± nan,35.81 ± nan,67.93 ± nan,88.34 ± nan,97.94 ± nan,19.83 ± nan,8.72 ± nan,18.57 ± nan,35.81 ± nan,67.93 ± nan,88.34 ± nan,97.94 ± nan,99.64 ± nan,99.57 ± nan,86.11 ± nan
cora_vrfm19nq_GAE_with_get_loader_RW,19.87 ± nan,26.52 ± nan,47.57 ± nan,73.92 ± nan,96.92 ± nan,98.83 ± nan,27.86 ± nan,19.87 ± nan,26.52 ± nan,47.57 ± nan,73.92 ± nan,96.92 ± nan,98.83 ± nan,99.59 ± nan,99.74 ± nan,92.32 ± nan
Best,21.05,26.52,62.99,80.66,98.0,99.69,29.41,21.05,26.52,62.99,80.66,98.0,99.69,99.83,99.75,92.42
