Metric,node2vec_acc
arxiv_2023_wy9dyq13,0.8260758848994143
arxiv_2023_eyx09fsi,0.8264578558696206
arxiv_2023_kqsstfdg,0.8346065699006876
arxiv_2023_va2ptt00,0.8216195569136746
arxiv_2023_mc5toljq,0.8141074611662847
arxiv_2023_hu5jc6qk,0.824166030048383
arxiv_2023_7dvynsmt,0.8318054494525082
arxiv_2023_j4piokfw,0.8239113827349122
arxiv_2023_oci00yth,0.8296409472880061
arxiv_2023_mftg5atw,0.8147440794499619
arxiv_2023_hls5zmh5,0.8242933537051184
arxiv_2023_gzh727zl,0.8227654698242933
arxiv_2023_pua9ywi6,0.8206009676597912
arxiv_2023_lvaj9tht,0.8262032085561497
arxiv_2023_aknt8v59,0.8402088107970461
arxiv_2023_nol0max9,0.8118156353450471
arxiv_2023_ml471vx9,0.8361344537815126
arxiv_2023_rdeg18ki,0.826585179526356
arxiv_2023_zbihcsvs,0.8214922332569391
arxiv_2023_xfrch59a,0.8194550547491724
arxiv_2023_e3jq8keo,0.8132161955691367
arxiv_2023_aktpmn8b,0.8270944741532977
arxiv_2023_uk4vqdzb,0.8236567354214414
arxiv_2023_k3qttv9c,0.7820218996689585
arxiv_2023_ll8ktwer,0.8076139546727782
arxiv_2023_cxesv8eu,0.8074866310160428
arxiv_2023_jhp66v39,0.7845683728036669
arxiv_2023_89ycixv0,0.8304048892284186
arxiv_2023_k19qonws,0.818436465495289
arxiv_2023_f9pvb1zi,0.82174688057041
arxiv_2023_ot2ufd87,0.8186911128087598
arxiv_2023_a01b1ed0,0.8301502419149478
arxiv_2023_n5cm0mgc,0.8095238095238095
arxiv_2023_w5zqjke6,0.8279857397504456
arxiv_2023_79d17pdi,0.8216195569136746
arxiv_2023_9v36rryh,0.826585179526356
arxiv_2023_7b1dqlt4,0.8225108225108225
arxiv_2023_srrrvbi1,0.8026483320600968
arxiv_2023_f0oe6b6c,0.8288770053475936
arxiv_2023_dfsygihc,0.8221288515406162
arxiv_2023_hng45bmw,0.820855614973262
arxiv_2023_0eul9k01,0.8423733129615483
arxiv_2023_ohlx9n2r,0.8226381461675579
arxiv_2023_xp1qpwpw,0.8218742042271454
arxiv_2023_q8il0psx,0.8226381461675579
arxiv_2023_gs6zidwm,0.8320600967659791
arxiv_2023_gspvfji1,0.8207282913165266
arxiv_2023_lxfsh373,0.8190730837789661
arxiv_2023_d0dnkcar,0.8218742042271454
arxiv_2023_5icwol4i,0.8277310924369747
arxiv_2023_lkaixobg,0.8388082505729565
arxiv_2023_n9ow951r,0.828113063407181
arxiv_2023_nylrwb4a,0.8319327731092437
arxiv_2023_t9dvvh7a,0.8207282913165266
arxiv_2023_69tzuo9r,0.8256939139292081
arxiv_2023_uf65spfi,0.8175451998981411
arxiv_2023_8q26s18t,0.8146167557932263
arxiv_2023_fnbi87s0,0.834733893557423
arxiv_2023_umhwnk0y,0.8228927934810287
arxiv_2023_jxe6r4dx,0.8161446396740515
arxiv_2023_pfffxblt,0.8221288515406162
arxiv_2023_rrhh9fuc,0.7738731856378915
arxiv_2023_5ut8swh8,0.7976827094474154
arxiv_2023_qd4ndvm9,0.810287751464222
arxiv_2023_sy8ffm7x,0.8031576266870385
arxiv_2023_i71ssk89,0.8245480010185893
arxiv_2023_s8k6tzfp,0.8256939139292081
arxiv_2023_mf3hblcu,0.8216195569136746
arxiv_2023_sx636h9e,0.82174688057041
arxiv_2023_8o3ttaxl,0.8254392666157372
arxiv_2023_3z0m0nmi,0.8301502419149478
arxiv_2023_inbph87v,0.8170359052711994
arxiv_2023_bkrzlyei,0.8209829386299975
arxiv_2023_l9y7doxt,0.8218742042271454
arxiv_2023_dsstpjg6,0.8258212375859435
arxiv_2023_0p71uchv,0.8227654698242933
arxiv_2023_h9ba1qn9,0.8144894321364909
arxiv_2023_yzf4r3cw,0.8304048892284186
arxiv_2023_bzt8anpx,0.8253119429590018
arxiv_2023_l6qyzfu7,0.8259485612426789
arxiv_2023_ydc2z5it,0.8321874204227145
arxiv_2023_8yjg6f6x,0.8286223580341228
arxiv_2023_r7771dfh,0.8301502419149478
arxiv_2023_mpai9n8n,0.829895594601477
arxiv_2023_zz2pofxc,0.8109243697478992
arxiv_2023_ttu4qd8w,0.8301502419149478
arxiv_2023_qgyp0m2q,0.8223834988540871
arxiv_2023_dyin00sa,0.8163992869875223
arxiv_2023_5qh5s2n3,0.8293862999745353
arxiv_2023_cu19fstu,0.8340972752737459
arxiv_2023_cp21r1dr_deepwalk,0.8449197860962567
arxiv_2023_6z7pnddb_deepwalk,0.8365164247517188
arxiv_2023_ecv7cfbr_deepwalk,0.8363891010949834
arxiv_2023_c7kg5wum_deepwalk,0.8198370257193787
arxiv_2023_r73drmh8_deepwalk,0.8446651387827858
arxiv_2023_7wamw8ab_deepwalk,0.84593837535014
arxiv_2023_0x52xng5_deepwalk,0.8382989559460148
arxiv_2023_0novdajz_deepwalk,0.8502673796791443
arxiv_2023_phykn4q8_deepwalk,0.8354978354978355
arxiv_2023_r9if217z_deepwalk,0.8357524828113063
arxiv_2023_fhr9e1wk_deepwalk,0.8328240387063917
arxiv_2023_3i9jqwnl_deepwalk,0.8245480010185893
Best,0.8502673796791443
