Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc,base_lr,batch_size,out_channels,hidden_channels,heads,negative_slope,dropout,num_layers,epochs
arxiv_2023_run1xaw1uy9_GAT,0.46,1.52,14.4,42.04,57.45,73.58,5.81,0.46,1.52,14.4,42.04,57.45,73.58,96.24,94.65,94.65,0.01,1024,32,32,4,0.1,0.1,6,1000
arxiv_2023_runu1bdmh0f_GAT,0.46,3.25,14.4,42.04,57.45,73.58,5.81,0.46,3.25,14.4,42.04,57.45,73.58,96.24,94.65,94.65,0.01,1024,32,32,4,0.1,0.1,7,1000
Best,0.46,3.25,14.4,42.04,57.45,73.58,5.81,0.46,3.25,14.4,42.04,57.45,73.58,96.24,94.65,94.65,0.01,1024,32,32,4,0.1,0.1,7,1000
