Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc
ogbn-products_omgb6drv_GAE,0.04 ± nan,0.03 ± nan,0.10 ± nan,0.40 ± nan,1.90 ± nan,3.84 ± nan,0.21 ± nan,0.04 ± nan,0.03 ± nan,0.10 ± nan,0.40 ± nan,1.90 ± nan,3.84 ± nan,79.97 ± nan,75.11 ± nan,64.32 ± nan
ogbn-products_mhzdbums_GAE,0.04 ± nan,0.03 ± nan,0.10 ± nan,0.40 ± nan,1.90 ± nan,3.84 ± nan,0.21 ± nan,0.04 ± nan,0.03 ± nan,0.10 ± nan,0.40 ± nan,1.90 ± nan,3.84 ± nan,79.97 ± nan,75.11 ± nan,64.32 ± nan
ogbn-products_wdecv8fj_GAE,0.04 ± nan,0.03 ± nan,0.10 ± nan,0.40 ± nan,1.90 ± nan,3.84 ± nan,0.21 ± nan,0.04 ± nan,0.03 ± nan,0.10 ± nan,0.40 ± nan,1.90 ± nan,3.84 ± nan,79.97 ± nan,75.11 ± nan,64.32 ± nan
ogbn-products_n04vje0v_GAE,0.04 ± nan,0.03 ± nan,0.10 ± nan,0.40 ± nan,1.90 ± nan,3.84 ± nan,0.21 ± nan,0.04 ± nan,0.03 ± nan,0.10 ± nan,0.40 ± nan,1.90 ± nan,3.84 ± nan,79.97 ± nan,75.11 ± nan,64.32 ± nan
ogbn-products_s897qj5c_GAE,0.04 ± nan,0.03 ± nan,0.10 ± nan,0.40 ± nan,1.90 ± nan,3.84 ± nan,0.21 ± nan,0.04 ± nan,0.03 ± nan,0.10 ± nan,0.40 ± nan,1.90 ± nan,3.84 ± nan,79.97 ± nan,75.11 ± nan,64.32 ± nan
ogbn-products_73pdox5n_GAE,0.04 ± nan,0.03 ± nan,0.10 ± nan,0.40 ± nan,1.90 ± nan,3.84 ± nan,0.21 ± nan,0.04 ± nan,0.03 ± nan,0.10 ± nan,0.40 ± nan,1.90 ± nan,3.84 ± nan,79.97 ± nan,75.11 ± nan,64.32 ± nan
ogbn-products_zyncg1g8_GAE,0.04 ± nan,0.03 ± nan,0.10 ± nan,0.40 ± nan,1.90 ± nan,3.84 ± nan,0.21 ± nan,0.04 ± nan,0.03 ± nan,0.10 ± nan,0.40 ± nan,1.90 ± nan,3.84 ± nan,79.97 ± nan,75.11 ± nan,64.32 ± nan
ogbn-products_76sfa0xh_GAE,0.04 ± nan,0.03 ± nan,0.10 ± nan,0.40 ± nan,1.90 ± nan,3.84 ± nan,0.21 ± nan,0.04 ± nan,0.03 ± nan,0.10 ± nan,0.40 ± nan,1.90 ± nan,3.84 ± nan,79.97 ± nan,75.11 ± nan,64.32 ± nan
ogbn-products_i66owqy2_GAE,0.04 ± nan,0.03 ± nan,0.10 ± nan,0.40 ± nan,1.90 ± nan,3.84 ± nan,0.21 ± nan,0.04 ± nan,0.03 ± nan,0.10 ± nan,0.40 ± nan,1.90 ± nan,3.84 ± nan,79.97 ± nan,75.11 ± nan,64.32 ± nan
ogbn-products_9fp8uxxr_GAE,0.04 ± nan,0.03 ± nan,0.10 ± nan,0.40 ± nan,1.90 ± nan,3.84 ± nan,0.21 ± nan,0.04 ± nan,0.03 ± nan,0.10 ± nan,0.40 ± nan,1.90 ± nan,3.84 ± nan,79.97 ± nan,75.11 ± nan,64.32 ± nan
ogbn-products_emti1pdk_GAE,0.04 ± nan,0.03 ± nan,0.10 ± nan,0.40 ± nan,1.90 ± nan,3.84 ± nan,0.21 ± nan,0.04 ± nan,0.03 ± nan,0.10 ± nan,0.40 ± nan,1.90 ± nan,3.84 ± nan,79.97 ± nan,75.11 ± nan,64.32 ± nan
ogbn-products_r3mqv43c_GAE,0.04 ± nan,0.03 ± nan,0.10 ± nan,0.40 ± nan,1.90 ± nan,3.84 ± nan,0.21 ± nan,0.04 ± nan,0.03 ± nan,0.10 ± nan,0.40 ± nan,1.90 ± nan,3.84 ± nan,79.97 ± nan,75.11 ± nan,64.32 ± nan
ogbn-products_hemsp95e_GAE,0.04 ± nan,0.03 ± nan,0.10 ± nan,0.40 ± nan,1.90 ± nan,3.84 ± nan,0.21 ± nan,0.04 ± nan,0.03 ± nan,0.10 ± nan,0.40 ± nan,1.90 ± nan,3.84 ± nan,79.97 ± nan,75.11 ± nan,64.32 ± nan
Best,0.04,0.07,0.35,0.9,2.8,5.05,0.29,0.04,0.07,0.35,0.9,2.8,5.05,79.97,75.71,64.37
