Metric,node2vec_acc
pubmed_db26bd6d-ac1c-4948-97c4-0d735f279efc,0.7477436823104693
pubmed_d9262f6b-7f6c-4ea3-8671-1e393469e9e2,0.8084386281588448
pubmed_58a65b9c-26c2-432d-888d-3658cad71b3a,0.8167870036101083
pubmed_79b8817f-c3c9-4545-bb5c-321770609d39,0.8088898916967509
pubmed_dd72271f-e47a-45f0-ba7e-94806d874e83,0.8066335740072202
pubmed_705e5d18-de25-4318-9541-5c3b07bded1c,0.8136281588447654
pubmed_486011b5-aa0d-4936-9ed0-3dd7edaf3c16,0.8073104693140795
pubmed_d0231876-8a99-4788-9221-6f569c0ff2cc,0.8088898916967509
pubmed_349e3583-8358-4163-a60d-37d934388e92,0.8129512635379061
pubmed_f100a071-0e22-440c-afbe-0a1229cf23ea,0.8118231046931408
pubmed_9fe1de52-65e8-4aac-88aa-58d66f1f45fc,0.8136281588447654
pubmed_97d9e700-c2fc-44cb-b905-b6b92c93a5c8,0.8125
pubmed_9a14dfbc-b3e5-41cb-b223-a76e2323880b,0.8055054151624549
pubmed_c959ae60-5920-48b5-9ffc-68cd91eeb79e,0.8104693140794224
pubmed_e352d31e-7000-429b-ae34-5d81f0cdf1ad,0.8106949458483754
pubmed_54a025e7-d2b8-49ee-ba04-459c00d1d06b,0.8104693140794224
pubmed_19ebf9bc-0086-4b7d-b44b-037308a70f46,0.7939981949458483
pubmed_b6f06863-5840-42a4-a510-7d2c9e6247f3,0.8136281588447654
pubmed_afeee53f-767c-4c8e-9c4f-c1e15c75a7e4,0.7709837545126353
pubmed_afb9700e-2165-4962-8363-2c13e6c55ecd,0.8066335740072202
pubmed_de5b0e0a-643b-41f7-8a53-dd1995c341c7,0.8131768953068592
pubmed_30649d29-ff08-4882-a6a0-2b278f13b6e9,0.8131768953068592
pubmed_ad02965a-a0d4-451f-ac77-08e812a8f513,0.8163357400722022
pubmed_f82933ed-9554-4aa3-ac1b-2b24a1e543eb,0.8167870036101083
pubmed_c6c27138-609a-4155-a101-494ba0f2b47f,0.8118231046931408
pubmed_a509d640-adca-48a3-8834-d2f72e7cb4b8,0.8111462093862816
pubmed_d069ad6d-ef78-4cf5-b990-24fb4aea2272,0.8084386281588448
pubmed_1de2d26f-88b2-41ff-b767-9aefba93420c,0.8134025270758123
pubmed_798a349b-c66e-4b6b-bb16-9e339f54e890,0.8120487364620939
pubmed_fb5527e6-f6fa-48f2-8deb-412ac5778af1,0.8064079422382672
pubmed_73ac55cc-1830-4d7a-88c9-9f968feebe73,0.8104693140794224
pubmed_db540342-3dd1-4e38-9666-e5ac7672fc37,0.8113718411552346
pubmed_f3121444-7661-4f2c-8ef4-cab45cc269f6,0.8120487364620939
pubmed_c519e8c6-e284-4a4f-acfe-d4a374b4b957,0.8086642599277978
pubmed_d0234963-6fb9-43b0-ae5a-895efd8285ae,0.8070848375451264
pubmed_ffe59b9e-e1a5-4450-a433-d12819d2dead,0.8136281588447654
pubmed_feea998a-e01b-4456-95fe-6b141cd5be90,0.815658844765343
pubmed_904afc2d-0ea6-49e8-a8a7-dd2bc38ad8bf,0.8138537906137184
pubmed_5830abf7-fc56-4a14-a038-cbd4e60e62eb,0.6827617328519856
pubmed_6729039d-1086-4309-b48f-87927463b933,0.7935469314079422
pubmed_70bcbb95-9109-4213-83d1-bfd0c1a596ee,0.8109205776173285
pubmed_464ef567-5bad-48f9-8edd-ea0a87cdec6a,0.7590252707581228
pubmed_3e9e1bbb-c1cc-4302-9d8e-614a53335796,0.7427797833935018
pubmed_ce57f685-037e-45aa-869a-5f1daca947d1,0.7529332129963899
pubmed_b9ff3ee9-dc60-4998-8cf9-c04e3a543177,0.6204873646209387
pubmed_aea3e8a7-3f65-4bf1-8ce7-1b6253a0236e,0.6525270758122743
pubmed_e39a93b1-1c0b-480e-9c78-d3f7e7026f38,0.6701263537906137
pubmed_7bb8abbb-aabd-4a94-90f3-2be3c882cc31,0.6694494584837545
pubmed_6ad1f24c-b337-4bf3-8a97-418fd0b27ac7,0.6286101083032491
pubmed_0a7188bc-3dbc-43d0-be2f-119f03b9a5c2,0.7342057761732852
pubmed_7afb8cff-036e-4ec6-b797-e6dfcc59e502,0.7906137184115524
pubmed_e5552f73-bd89-49c1-8e82-9eaa623d3dce,0.7035198555956679
pubmed_3cda4faa-747d-4755-af3d-f3f10cd9c9c5,0.7691787003610109
pubmed_95643bcf-c0a9-429d-b84b-a7d7ce9cb70e,0.7583483754512635
pubmed_6aa8953d-785b-4c11-a019-3b4ca8b9d88b,0.7515794223826715
pubmed_a2637910-6a9e-4915-8889-f189435efb56,0.7644404332129964
pubmed_86e0dbef-85ed-4696-b1f6-98ce7af1c490,0.75
pubmed_b97b3aa0-6476-4ab8-896b-35f5cc9ac09e,0.6033393501805054
pubmed_420a0302-8e4c-469c-a338-80dcab2d3442,0.7566539923954373
pubmed_065900b7-b923-47e7-9b67-fd908d6786a3,0.7680608365019012
pubmed_6efd619d-205c-4005-9522-9ff0063aff0f,0.7585551330798479
pubmed_e7362f3a-aa08-4a57-ad78-cfc9139c01e4,0.7642585551330798
pubmed_10db1160-bd49-4fea-aea0-6317c0fb6f50,0.7718631178707225
pubmed_ae06e0b5-2e96-4fe1-83c1-2dc060cde073,0.7718631178707225
pubmed_d667faf9-7a1e-4854-99df-3c0210c4f1e3,0.7604562737642585
pubmed_cfd9d346-bafc-4c66-ba15-eabae39939ce,0.7680608365019012
pubmed_b0c9b5b6-9d5e-4e7f-b080-ce5b3f340461,0.7604562737642585
pubmed_1aecb6f6-5f9c-45aa-9341-e752884b837c,0.7661596958174905
pubmed_cbc0a3b9-b6e6-4ce1-8450-9fd31d55ec81,0.7680608365019012
pubmed_b628e35b-337c-46c1-8ac9-4053a239b109,0.7718631178707225
pubmed_17a351f7-4f71-48ce-a5be-a28c6914fd37,0.752851711026616
pubmed_96a6e217-3b72-419b-8328-ced278355dc7,0.7718631178707225
pubmed_bfbd2904-8d5f-4747-b4fd-d3a468d9f301,0.7509505703422054
pubmed_23ba71e3-46b8-4e1b-9e41-f2b92fa4cf16,0.7585551330798479
pubmed_6285a66b-c69d-4fa7-aef3-979dd34e915e,0.8186911128087598
pubmed_f91c9e17-2a24-4721-9e04-1038c035234c,0.7756653992395437
pubmed_cf86ddcc-cb20-48af-b2b3-82d52c42df7b,0.7718631178707225
pubmed_1af103d1-afb7-4314-a856-db74dc4a23c6,0.7585551330798479
pubmed_a821f0ae-20c1-4155-b2d6-18e98cee0265,0.7642585551330798
pubmed_0c4312aa-0669-469b-a52b-2b3d79380e22,0.7650878533231474
pubmed_b312fa42-7a8a-4106-8683-df9f20433ddd,0.7718631178707225
pubmed_450aaa74-a080-43c7-b4f1-df3737f366be,0.7490494296577946
pubmed_a4b574f0-6032-4c5f-b335-7eac98e6cb92,0.7585551330798479
pubmed_997a6ef4-ecdc-49ed-b2a5-33e11a36b81b,0.7604562737642585
pubmed_1bae87ba-9261-4b54-9469-a7c53a324ca8,0.8083778966131907
pubmed_c632ea9b-4d27-44ed-b69f-e1571a6b774a,0.7623574144486692
pubmed_5d83db59-ebbf-4701-a263-b0a6f4d06cdd,0.7585551330798479
pubmed_505dd6e8-e438-46e8-9ac0-3c39d894cc42,0.7642585551330798
pubmed_8be09a48-aec8-4bd4-9370-eac00110f597,0.7509505703422054
pubmed_5c4abe49-b016-4cef-9038-c96334522f8b,0.8114336643748409
pubmed_889aa93c-4fa9-46ee-b600-6ec914fc285f,0.7623574144486692
pubmed_51b66ba5-114e-42f6-85f7-46e5abe8bfa2,0.7813688212927756
pubmed_7ff267b6-2bcf-40fe-b778-e63ca3bf72c5,0.7737642585551331
pubmed_0fae1e50-8757-4a56-a65f-2834105ada8b,0.7680608365019012
pubmed_bff5b9cb-1886-4eb7-81bd-2732fa84521e,0.773109243697479
pubmed_ceef0c71-5dd8-47ed-b307-7d3f82d7a24b,0.7775665399239544
pubmed_9da542a2-3a78-41d4-a9b6-3e2f549bad4d,0.7813688212927756
pubmed_be7ecf91-3d3b-45b9-9956-3570a17e1bfb,0.7756653992395437
pubmed_17f27a95-c168-402f-9520-d71bb390809e,0.8059587471352178
pubmed_15ddfb70-6c88-449a-ba72-3030196b317a,0.7718631178707225
pubmed_000974d0-590b-4e8c-b926-f0fc88606401,0.7604562737642585
pubmed_6fa592c2-4197-4547-b5b2-1d05c0f084fe,0.7623574144486692
pubmed_0c1eb017-39b0-4ed4-a81b-cbb5c2a983ba,0.7661596958174905
pubmed_aaf8fed0-21eb-481d-a326-6d06571cec0e,0.7930990578049402
pubmed_b17b9476-9a3b-4c11-b4e2-b5c4f53ae642,0.7737642585551331
pubmed_e6147979-17d5-41af-b282-0f9cde92ef92,0.8292589763177999
pubmed_1bee1c08-a23f-4d3b-86e9-06516cde4188,0.8082505729564553
pubmed_c63fa3c4-178f-48be-ac78-b92e29ae1928,0.8097784568372803
pubmed_7450460e-d7ef-43f0-90ed-0303c6dea965,0.828113063407181
pubmed_698d3bbc-0c4f-431d-8a3d-8f5ee74f8bfa,0.8142347848230201
pubmed_fd4552bf-6e94-404f-8c74-b3e123cc1408,0.8321874204227145
pubmed_2d2d31eb-5e03-4f1a-b1ac-1445649de45f,0.8276037687802393
pubmed_1d15ee43-6874-4ee0-ab1a-5020917c4ace,0.8263305322128851
pubmed_23678bb3-3d06-4a8d-a993-a165358f0e20,0.8034122740005093
pubmed_a67766c3-9352-410d-934a-2fb385661bd2,0.8157626687038452
pubmed_b87c751c-c4ef-434b-b3c8-fe174c90a750,0.8277310924369747
