Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc,out_channels,hidden_channels,batch_size,batch_size_sampler,walk_length,num_steps,sample_coverage,epochs
arxiv_2023_run2be92owc_VGAE,29.5,41.01,74.6,96.72,100.0,100.0,41.01,29.5,41.01,74.6,96.72,100.0,100.0,64.95,98.66,65.74,16,16,32,1024,10,5,100,400
arxiv_2023_runookymr3o_VGAE,23.74,49.04,67.45,96.72,100.0,100.0,39.79,23.74,49.04,67.45,96.72,100.0,100.0,64.95,98.66,65.74,16,16,32,1024,10,10,100,400
arxiv_2023_runhc6waq4i_VGAE,37.53,49.64,74.83,95.91,100.0,100.0,48.45,37.53,49.64,74.83,95.91,100.0,100.0,74.4,98.82,64.74,16,16,64,1024,10,5,100,400
arxiv_2023_runh0ig0eyj_VGAE,37.53,49.64,74.83,95.91,100.0,100.0,48.45,37.53,49.64,74.83,95.91,100.0,100.0,74.4,98.82,64.74,16,16,64,1024,10,10,100,400
arxiv_2023_runhx3ryk4y_VGAE,37.53,49.64,74.83,95.91,100.0,100.0,48.45,37.53,49.64,74.83,95.91,100.0,100.0,74.4,98.82,64.74,16,16,128,1024,10,5,100,400
arxiv_2023_run5akz11zh_VGAE,32.7,55.65,81.53,99.16,100.0,100.0,48.57,32.7,55.65,81.53,99.16,100.0,100.0,79.42,99.12,76.93,16,16,128,1024,10,10,100,400
Best,37.53,55.65,81.53,99.16,100.0,100.0,48.57,37.53,55.65,81.53,99.16,100.0,100.0,79.42,99.12,76.93,16,16,128,1024,10,10,100,400
