Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc,base_lr,batch_size,out_channels,hidden_channels,epochs
arxiv_2023_run3ux0kkn7_GAE,0.0,20.49,34.99,50.76,71.5,89.45,13.16,0.0,20.49,34.99,50.76,71.5,89.45,95.33,95.93,92.19,0.1,1024,32,256,1000
arxiv_2023_runwvolqo1u_GAE,0.0,20.49,34.99,50.76,71.5,89.45,13.16,0.0,20.49,34.99,50.76,71.5,89.45,95.33,95.93,92.19,0.1,1024,64,32,1000
Best,0.0,20.49,34.99,50.76,71.5,89.45,13.16,0.0,20.49,34.99,50.76,71.5,89.45,95.33,95.93,92.19,0.1,1024,64,256,1000
