Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,out_channels,hidden_channels,heads,negative_slope,dropout,num_layers,base_lr,score_num_layers_predictor,score_gin_mlp_layer,score_hidden_channels,score_out_channels,score_num_layers,score_dropout,product,epochs,train_time,test_time,params
Tune,1.53,15.82,29.58,45.94,69.29,88.72,8.64,1.53,15.82,29.58,45.94,69.29,88.72,98.88,98.48,96.2,16,32,4,0.1,0,1,0.015,2,2,64,1,2,0.1,inner,2000,1.0657567977905271,1.1762645244598389,8048
Tune,1.53,15.82,29.58,45.94,69.29,88.72,8.64,1.53,15.82,29.58,45.94,69.29,88.72,98.88,98.48,96.21,16,32,4,0.1,0,1,0.015,2,2,64,1,2,0.1,dot,2000,1.3024449348449707,1.3807504177093506,9201
Tune,1.53,15.82,29.58,45.94,69.29,88.72,8.64,1.53,15.82,29.58,45.94,69.29,88.72,98.88,98.48,96.21,16,32,4,0.1,0,1,0.015,2,2,64,1,3,0.1,inner,2000,1.0276429653167725,1.1261992454528809,8048
Tune,1.53,15.82,29.58,45.94,69.29,88.72,8.64,1.53,15.82,29.58,45.94,69.29,88.72,98.88,98.48,96.21,16,32,4,0.1,0,1,0.015,2,2,64,1,3,0.1,dot,2000,1.2119078636169434,1.2951295375823977,13361
Tune,1.53,15.82,29.58,45.94,69.29,88.72,8.64,1.53,15.82,29.58,45.94,69.29,88.72,98.88,98.48,96.21,16,32,4,0.1,0,1,0.015,2,2,32,1,1,0.1,inner,2000,1.588062763214111,1.691570520401001,8048
Tune,1.53,15.82,29.58,45.94,69.29,88.72,8.64,1.53,15.82,29.58,45.94,69.29,88.72,98.88,98.48,96.21,16,32,4,0.1,0,1,0.015,2,2,32,1,1,0.1,dot,2000,1.0640361309051514,1.1472344398498535,8065
Tune,1.53,15.82,29.58,45.94,69.29,88.72,8.64,1.53,15.82,29.58,45.94,69.29,88.72,98.88,98.48,96.21,16,32,4,0.1,0,1,0.015,2,2,32,1,2,0.1,inner,2000,0.8950634002685547,1.0007150173187256,8048
Tune,1.53,15.82,29.58,45.94,69.29,88.88,8.64,1.53,15.82,29.58,45.94,69.29,88.88,98.88,98.48,96.2,16,32,4,0.1,0,1,0.015,2,2,32,1,2,0.1,dot,2000,1.3264057636260986,1.410610914230347,8625
Tune,1.53,15.82,29.58,45.94,69.29,88.88,8.64,1.53,15.82,29.58,45.94,69.29,88.88,98.88,98.48,96.2,16,32,4,0.1,0,1,0.015,2,2,32,1,3,0.1,inner,2000,1.093759298324585,1.1669273376464844,8048
Tune,1.53,15.82,29.58,45.94,69.29,88.88,8.64,1.53,15.82,29.58,45.94,69.29,88.88,98.88,98.48,96.2,16,32,4,0.1,0,1,0.015,2,2,32,1,3,0.1,dot,2000,1.1668870449066162,1.2160866260528564,9681
Tune,1.53,15.82,29.58,45.94,69.29,88.88,8.64,1.53,15.82,29.58,45.94,69.29,88.88,98.88,98.48,96.2,16,32,4,0.1,0,1,0.015,2,2,16,1,1,0.1,inner,2000,1.0520999431610107,1.1348190307617188,8048
Tune,1.53,15.82,29.58,45.94,69.29,88.88,8.64,1.53,15.82,29.58,45.94,69.29,88.88,98.88,98.48,96.2,16,32,4,0.1,0,1,0.015,2,2,16,1,1,0.1,dot,2000,1.162543535232544,1.236356258392334,8065
Tune,1.53,15.82,29.58,45.94,69.29,88.88,8.64,1.53,15.82,29.58,45.94,69.29,88.88,98.88,98.48,96.2,16,32,4,0.1,0,1,0.015,2,2,16,1,2,0.1,inner,2000,1.151550054550171,1.1922001838684082,8048
Tune,1.53,15.82,29.58,45.94,69.29,88.88,8.64,1.53,15.82,29.58,45.94,69.29,88.88,98.88,98.48,96.2,16,32,4,0.1,0,1,0.015,2,2,16,1,2,0.1,dot,2000,1.1488590240478516,1.2324371337890625,8337
Tune,1.53,15.82,29.58,45.94,69.29,88.88,8.64,1.53,15.82,29.58,45.94,69.29,88.88,98.88,98.48,96.2,16,32,4,0.1,0,1,0.015,2,2,16,1,3,0.1,inner,2000,1.1115434169769287,1.20763897895813,8048
Tune,1.53,15.82,29.58,45.94,69.29,88.88,8.64,1.53,15.82,29.58,45.94,69.29,88.88,98.88,98.48,96.2,16,32,4,0.1,0,1,0.015,2,2,16,1,3,0.1,dot,2000,1.2109522819519043,1.2882790565490725,8609
Tune,1.53,15.82,29.58,45.94,69.29,88.88,8.64,1.53,15.82,29.58,45.94,69.29,88.88,98.88,98.48,96.2,16,32,4,0.1,0,1,0.015,3,2,64,1,1,0.1,inner,2000,1.6204392910003662,1.795900821685791,8048
Tune,1.53,15.82,29.58,45.94,69.29,88.88,8.64,1.53,15.82,29.58,45.94,69.29,88.88,98.88,98.48,96.2,16,32,4,0.1,0,1,0.015,3,2,64,1,1,0.1,dot,2000,1.1714985370635986,1.2560856342315674,8065
Tune,1.53,15.82,29.58,45.94,69.29,88.88,8.64,1.53,15.82,29.58,45.94,69.29,88.88,98.88,98.48,96.2,16,32,4,0.1,0,1,0.015,3,2,64,1,2,0.1,inner,2000,1.1599783897399902,1.260002851486206,8048
Tune,1.53,15.82,40.07,45.94,83.87,92.15,8.64,1.53,15.82,40.07,45.94,83.87,92.15,99.17,98.85,96.51,16,32,4,0.1,0,1,0.015,3,2,64,1,2,0.1,dot,2000,1.1790194511413574,1.233694314956665,9201
Tune,1.53,15.82,40.07,45.94,83.87,92.15,8.64,1.53,15.82,40.07,45.94,83.87,92.15,99.17,98.85,96.51,16,32,4,0.1,0,1,0.015,3,2,64,1,3,0.1,inner,2000,1.077192783355713,1.1736414432525637,8048
Tune,1.53,15.82,27.3,46.95,83.87,92.15,8.64,1.53,15.82,27.3,46.95,83.87,92.15,99.17,98.85,96.51,16,32,4,0.1,0,1,0.015,3,2,64,1,3,0.1,dot,2000,1.1959784030914309,1.304464340209961,13361
Tune,1.53,15.82,27.3,46.95,83.87,92.15,8.64,1.53,15.82,27.3,46.95,83.87,92.15,99.17,98.85,96.51,16,32,4,0.1,0,1,0.015,3,2,32,1,1,0.1,inner,2000,1.0901267528533936,1.2036004066467283,8048
Tune,1.53,15.82,27.3,46.95,83.87,92.15,8.64,1.53,15.82,27.3,46.95,83.87,92.15,99.17,98.85,96.51,16,32,4,0.1,0,1,0.015,3,2,32,1,1,0.1,dot,2000,1.121633768081665,1.2268047332763672,8065
