Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC
pwc_large_run4_tfidfMLP10000,0.00 ± 0.00,0.00 ± 0.00,62.17 ± 35.11,76.52 ± 5.63,100.00 ± 0.00,100.00 ± 0.00,18.98 ± 8.60,0.00 ± 0.00,16.52 ± 36.94,76.52 ± 5.63,76.52 ± 5.63,100.00 ± 0.00,100.00 ± 0.00,80.00 ± 5.52,75.03 ± 6.65,80.00 ± 5.52
pwc_large_run4_tfidf100000.005,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,15.04 ± 33.63,76.75 ± 4.46,76.75 ± 4.46,7.28 ± 0.64,0.00 ± 0.00,0.00 ± 0.00,15.04 ± 33.63,76.75 ± 4.46,76.75 ± 4.46,100.00 ± 0.00,79.74 ± 2.21,74.30 ± 2.13,79.74 ± 2.21
Best,0.0,0.0,62.17,76.52,100.0,100.0,18.98,0.0,16.52,76.52,76.75,100.0,100.0,80.0,75.03,80.0
