Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP
combined_pwc_small_run1_w2v_nodecoder_5_1,0.05 ± 0.00,0.27 ± 0.00,1.24 ± 0.03,3.32 ± 0.09,9.73 ± 0.04,14.15 ± 0.23,0.88 ± 0.00,0.05 ± 0.00,0.27 ± 0.00,1.24 ± 0.03,3.32 ± 0.09,9.73 ± 0.04,14.15 ± 0.23,58.57 ± 0.10,60.62 ± 0.08
Best,0.05,0.27,1.24,3.32,9.73,14.15,0.88,0.05,0.27,1.24,3.32,9.73,14.15,58.57,60.62
