Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC
arxiv_2023_run4_tfidfMLP10000,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,61.34 ± 34.45,76.49 ± 3.33,3.47 ± 0.32,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,76.49 ± 3.33,76.49 ± 3.33,76.65 ± 1.95,70.47 ± 1.92,76.65 ± 1.95
arxiv_2023_run4_tfidfMLP10000,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,31.03 ± 42.50,1.66 ± 0.17,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,31.03 ± 42.50,75.98 ± 2.20,75.62 ± 1.99,69.36 ± 2.02,75.62 ± 1.99
arxiv_2023_run4_tfidfMLP10000,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,31.03 ± 42.50,1.66 ± 0.17,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,31.03 ± 42.50,75.98 ± 2.20,75.62 ± 1.99,69.36 ± 2.02,75.62 ± 1.99
arxiv_2023_run4_w2v10000_1,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.69 ± 0.09,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,85.22 ± 0.92,80.54 ± 0.59,85.22 ± 0.92
arxiv_2023_run4_w2vconcat1000_1,1.20 ± 0.36,3.15 ± 0.55,5.82 ± 0.24,9.80 ± 0.26,16.74 ± 0.55,24.59 ± 0.51,3.08 ± 0.23,1.20 ± 0.36,3.15 ± 0.55,5.82 ± 0.24,9.80 ± 0.26,16.74 ± 0.55,24.59 ± 0.51,67.46 ± 0.26,69.64 ± 0.13,62.54 ± 0.06
arxiv_2023_run4_tfidfconcat1000_1,11.21 ± 1.47,20.22 ± 1.84,36.55 ± 2.82,51.95 ± 0.83,63.71 ± 1.38,72.15 ± 0.45,18.79 ± 0.97,11.21 ± 1.47,20.22 ± 1.84,36.55 ± 2.82,51.95 ± 0.83,63.71 ± 1.38,72.15 ± 0.45,92.85 ± 0.11,93.51 ± 0.09,85.01 ± 0.35

