Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,out_channels,hidden_channels,epochs,train_time,test_time,params
arxiv_2023_runfe068x5b_SAGE_Variant_hyper077cb3ts,1.83,2.48,42.19,62.27,92.55,98.28,16.76,1.83,2.48,42.19,62.27,92.55,98.28,97.95,97.92,72.19,256,256,1000,9.935050010681152,10.075324296951294,416512
arxiv_2023_runl24dkvqv_SAGE_Variant_hypers8zexv18,0.86,2.38,37.27,57.76,91.89,98.17,11.52,0.86,2.38,37.27,57.76,91.89,98.17,97.8,97.51,96.48,256,256,1000,8.89272689819336,8.973058700561523,416512
Best,1.83,2.48,42.19,62.27,92.55,98.28,16.76,1.83,2.48,42.19,62.27,92.55,98.28,97.95,97.92,96.48,256,256,1000,9.935050010681152,10.075324296951294,416512
