Metric,Hits@1,Hits@3,Hits@10,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit100,AUC,AP,acc
arxiv_2023_aew6jumn_vgae,0.0,0.2363,0.4981,0.875,0.1668,0.0,0.2363,0.4981,0.875,0.9825,0.9829,0.75974
Best,0.0,0.2363,0.4981,0.875,0.1668,0.0,0.2363,0.4981,0.875,0.9825,0.9829,0.75974
