Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc,base_lr,batch_size,out_channels,hidden_channels,epochs
arxiv_2023_runmei3u9ac_GAE,0.0,33.06,35.95,53.8,67.24,84.48,17.18,0.0,33.06,35.95,53.8,67.24,84.48,94.54,95.22,80.76,0.1,1024,32,32,1000
arxiv_2023_rung4o2b1i0_GAE,0.0,16.68,36.46,50.91,71.5,88.39,13.16,0.0,16.68,36.46,50.91,71.5,88.39,95.22,95.7,91.68,0.1,1024,32,64,1000
arxiv_2023_runvl16yav4_GAE,0.0,14.2,36.46,54.36,71.5,88.39,13.16,0.0,14.2,36.46,54.36,71.5,88.39,95.17,95.8,92.12,0.1,1024,32,128,1000
Best,0.0,33.06,36.46,54.36,71.5,88.39,17.18,0.0,33.06,36.46,54.36,71.5,88.39,95.22,95.8,92.12,0.1,1024,32,128,1000
