Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc,base_lr,batch_size,out_channels,hidden_channels,heads,negative_slope,dropout,num_layers,epochs
arxiv_2023_runnxoz53o6_GAT,0.1,1.42,14.96,41.89,57.45,73.58,5.82,0.1,1.42,14.96,41.89,57.45,73.58,96.24,94.65,94.65,0.01,1024,32,32,4,0.1,0.0,5,1000
arxiv_2023_runsx8zjf44_GAT,0.1,1.42,15.31,42.04,57.45,73.58,5.81,0.1,1.42,15.31,42.04,57.45,73.58,96.24,94.65,94.65,0.01,1024,32,32,4,0.1,0.0,6,1000
arxiv_2023_runi39j994o_GAT,0.1,1.42,14.4,42.04,57.45,73.58,5.81,0.1,1.42,14.4,42.04,57.45,73.58,96.24,94.65,94.65,0.01,1024,32,32,4,0.1,0.0,7,1000
arxiv_2023_run8eoifgsl_GAT,0.46,2.99,14.4,42.04,57.45,73.58,5.81,0.46,2.99,14.4,42.04,57.45,73.58,96.24,94.65,94.65,0.01,1024,32,32,4,0.1,0.1,5,1000
Best,0.46,2.99,15.31,42.04,57.45,73.58,5.82,0.46,2.99,15.31,42.04,57.45,73.58,96.24,94.65,94.65,0.01,1024,32,32,4,0.1,0.1,7,1000
