Metric,Hits@1,Hits@3,Hits@10,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit100,AUC,AP,acc
arxiv_2023_loirjjai_gae,0.1317,0.261,0.3374,0.7173,0.2209,0.1317,0.261,0.3374,0.7173,0.9552,0.958,0.74701
Best,0.1317,0.261,0.3374,0.7173,0.2209,0.1317,0.261,0.3374,0.7173,0.9552,0.958,0.74701
