Dataset,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC
arxiv_2023_llama,8.87 ± 2.21,18.09 ± 3.15,44.89 ± 3.58,55.13 ± 3.51,69.45 ± 2.95,80.36 ± 3.69,18.34 ± 2.65,9.92 ± 2.25,18.25 ± 3.35,42.21 ± 8.59,50.79 ± 9.09,65.15 ± 11.32,74.60 ± 12.13,94.77 ± 8.31,95.31 ± 6.60,86.67 ± 6.37
arxiv_2023_bert,6.60 ± 0.26,12.44 ± 0.81,23.80 ± 1.09,30.41 ± 0.95,39.94 ± 2.99,47.83 ± 3.82,10.74 ± 0.67,4.59 ± 1.08,12.10 ± 1.64,21.75 ± 3.77,28.50 ± 2.85,37.93 ± 3.85,46.19 ± 4.26,84.57 ± 1.26,86.67 ± 1.29,68.22 ± 2.89
arxiv_2023_e5,6.34 ± 0.20,9.43 ± 1.22,16.36 ± 2.64,28.82 ± 1.29,37.45 ± 1.51,45.60 ± 1.20,10.60 ± 0.36,6.32 ± 0.07,9.15 ± 0.95,17.87 ± 2.36,29.00 ± 0.93,37.29 ± 0.92,45.71 ± 1.17,86.76 ± 0.65,87.79 ± 0.24,60.82 ± 3.98
arxiv_2023_minilm,4.76 ± 0.41,12.03 ± 0.79,23.71 ± 2.86,31.10 ± 0.83,40.00 ± 0.85,48.64 ± 0.99,11.56 ± 0.19,4.84 ± 0.05,11.85 ± 0.46,25.39 ± 1.90,31.74 ± 0.31,40.88 ± 0.26,49.13 ± 0.31,83.74 ± 0.65,86.82 ± 0.37,62.60 ± 7.80
