Dataset,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC
pubmed_llama,32.47 ± 8.02,44.46 ± 5.56,72.19 ± 3.96,81.79 ± 1.66,92.89 ± 1.96,97.05 ± 0.97,36.42 ± 9.03,19.48 ± 8.70,45.81 ± 11.51,65.92 ± 12.28,75.41 ± 10.50,88.22 ± 9.31,93.95 ± 7.34,99.30 ± 0.94,99.24 ± 1.05,93.00 ± 2.60
pubmed_bert,2.22 ± 0.15,2.99 ± 0.92,8.13 ± 1.18,16.80 ± 2.12,26.33 ± 2.52,38.86 ± 3.45,4.69 ± 0.70,2.17 ± 0.38,3.83 ± 0.95,8.73 ± 1.54,14.44 ± 2.22,23.89 ± 3.00,35.66 ± 3.93,91.74 ± 3.28,90.48 ± 2.82,52.24 ± 5.46
pubmed_e5,6.33 ± 2.29,21.15 ± 6.14,33.29 ± 6.54,54.00 ± 14.70,72.84 ± 9.25,86.82 ± 5.80,19.12 ± 7.67,11.49 ± 6.30,19.69 ± 8.04,32.43 ± 9.63,49.30 ± 16.30,65.62 ± 16.05,76.25 ± 13.65,97.63 ± 1.28,97.38 ± 1.59,88.42 ± 11.92
pubmed_minilm,7.65 ± 4.93,25.82 ± 4.76,40.68 ± 3.29,59.77 ± 8.22,79.94 ± 3.82,91.21 ± 2.28,19.81 ± 5.18,8.87 ± 3.71,22.84 ± 7.60,39.63 ± 9.05,56.40 ± 12.50,73.88 ± 11.13,84.09 ± 8.55,98.26 ± 1.59,98.15 ± 1.53,91.90 ± 6.1

