Metric,Hits@1,Hits@3,Hits@10,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit100,AUC,AP,acc
pubmed_kwhebyyw_vgae,0.0379,0.1363,0.4616,0.8831,0.1554,0.0379,0.1363,0.4616,0.8831,0.9672,0.9694,0.82107
Best,0.0379,0.1363,0.4616,0.8831,0.1554,0.0379,0.1363,0.4616,0.8831,0.9672,0.9694,0.82107
