Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc,base_lr,batch_size,out_channels,hidden_channels,heads,negative_slope,dropout,num_layers,epochs
pubmed_runcki23p6y_GAT,3.5,10.22,37.27,56.88,76.74,82.74,12.96,3.5,10.22,37.27,56.88,76.74,82.74,94.17,95.44,80.72,0.01,1024,64,32,4,0.1,0,5,1000
pubmed_runrqchb4v5_GAT,3.5,10.22,37.27,59.25,78.29,82.24,12.96,3.5,10.22,37.27,59.25,78.29,82.24,94.26,95.37,78.1,0.01,1024,64,32,4,0.1,0,6,1000
Best,3.5,10.22,37.27,59.25,78.29,82.74,12.96,3.5,10.22,37.27,59.25,78.29,82.74,94.26,95.44,80.72,0.01,1024,64,32,4,0.1,0,6,1000
