Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,out_channels,hidden_channels,batch_size,dropout,num_layers,negative_slope,base_lr,score_num_layers_predictor,score_gin_mlp_layer,score_hidden_channels,score_out_channels,score_num_layers,score_dropout,product,epochs,train_time,test_time,params
pubmed_runuik48ybl_GCN_Variant_hypero36ny53j,1.69,22.86,39.19,44.99,71.19,89.76,15.1,1.69,22.86,39.19,44.99,71.19,89.76,98.85,98.63,78.96,16,16,1024,0.1,1,0.1,0.015,1,2,64,1,1,0.1,inner,1000,1.528378963470459,1.7253215312957764,8016
pubmed_runhdl3mb03_GCN_Variant_hyperzobg9q2o,1.69,22.86,39.19,44.99,71.19,89.76,15.1,1.69,22.86,39.19,44.99,71.19,89.76,98.85,98.63,78.96,16,16,1024,0.1,1,0.1,0.015,1,2,64,1,1,0.1,inner,1000,5.081300735473633,5.2457640171051025,8016
Best,1.69,22.86,39.19,44.99,71.19,89.76,15.1,1.69,22.86,39.19,44.99,71.19,89.76,98.85,98.63,78.96,16,16,1024,0.1,1,0.1,0.015,1,2,64,1,1,0.1,inner,1000,5.081300735473633,5.2457640171051025,8016
